Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel system,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Starter,Valves per cylinder,Fuel control,Torque,Ignition,Color options,Max RPM,Diameter,Comments,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,Modifications compared to previous model,Oil capacity,Wheels
Honda CB 750 F,1976,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 8000 RPM,194.0 km/h (120.5 mph),9.0:1,61.0 x 63.0 mm (2.4 x 2.5 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,,240.0 kg (529.1 pounds),,,,,,,,18.00 litres (4.76 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Kawasaki Z 1000,1976,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1015.0 ccm (61.94 cubic inches),"In-line four, four-stroke",85.0 HP (62.0  kW)) @ 8000 RPM,210.0 km/h (130.5 mph),8.7:1,70.0 x 66.0 mm (2.8 x 2.6 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,256.0 kg (564.4 pounds),,,,,,,,16.50 litres (4.36 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
Moto Guzzi 254,1976,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,140.0 km/h (87.0 mph),11.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.00-18 ,3.25-18 ,Single disc,Expanding brake,,125.0 kg (275.6 pounds),,,,,,,,11.50 litres (3.04 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Suzuki GT 550,1976,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",543.0 ccm (33.13 cubic inches),"In-line three, two-stroke",48.0 HP (35.0  kW)) @ 7500 RPM,178.0 km/h (110.6 mph),6.8:1,61.0 x 62.0 mm (2.4 x 2.4 inches),,,Air,6-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Expanding brake,,190.0 kg (418.9 pounds),,,,,,,,15.00 litres (3.96 US gallons),,,Port control,,,,,,,,,,,,,,,
Harley-Davidson SS 175,1976,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",174.0 ccm (10.62 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6750 RPM,115.0 km/h (71.5 mph),10.7:1,61.0 x 59.6 mm (2.4 x 2.3 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,,127.0 kg (280.0 pounds),,,,,,,,10.50 litres (2.77 US gallons),,,Port control,,,,,,,,,,,,,,,
Kawasaki Z 400,1976,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",36.0 HP (26.3  kW)) @ 8820 RPM,149.0 km/h (92.6 mph),9.4:1,64.0 x 62.0 mm (2.5 x 2.4 inches),,,Air,8-speed,Chain   (final drive),,,,,,3 28-18 ,3.50-18 ,Single disc,Expanding brake,,187.0 kg (412.3 pounds),,,,,,,,14.00 litres (3.70 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Laverda 1000 3 C,1976,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",78.0 HP (56.9  kW)) @ 7750 RPM,208.0 km/h (129.2 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-18 ,4.00-18 ,Dual disc,Single disc,,243.0 kg (535.7 pounds),,,,,,,,20.00 litres (5.28 US gallons),,2,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,,,,,,,
Benelli 500 Quattro,1976,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",44.0 HP (32.1  kW)) @ 8500 RPM,173.0 km/h (107.5 mph),10.2:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.50-18 ,4.10-18 ,Single disc,Expanding brake,,230.0 kg (507.1 pounds),,,,,,,,22.00 litres (5.81 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
Moto Guzzi 850 T 3 California,1976,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,150.0 km/h (93.2 mph),9.5:1,83.0 x 78.0 mm (3.3 x 3.1 inches),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,3.50-18 ,4.10-18 ,Dual disc,Single disc,,245.0 kg (540.1 pounds),,,,,,,,24.00 litres (6.34 US gallons),,2,Overhead Valves (OHV),,,,,,,,,,,,,,,
Yamaha RD 200 DX,1976,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",195.0 ccm (11.90 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 8500 RPM,138.0 km/h (85.7 mph),7.1:1,52.0 x 46.0 mm (2.0 x 1.8 inches),,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.25-18 ,Single disc,Expanding brake,,140.0 kg (308.6 pounds),,,,,,,,11.50 litres (3.04 US gallons),,,Membrane,,,,,,,,,,,,,,,
Honda CG 125,1976,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8500 RPM,,,56.5 x 56.5 mm (2.2 x 2.2 inches),Carburettor,wet sump,Air,5-speed,Chain   (final drive),"wet, multiplate",,"open diamond, engine used as stress point",oil damped telescopic,swing arm fork,,,Expanding brake (drum brake),Expanding brake (drum brake),94.0 kg (207.2 pounds),,0.1170 HP/kg,,,,,,,,Kick,2,,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,,"blue, black, red, grey",9000,,,,,,,,,,,
Honda CB 750 F 1,1976,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",736.0 ccm (44.91 cubic inches),"In-line four, four-stroke",67.0 HP (48.9  kW)) @ 8500 RPM,194.0 km/h (120.5 mph),9.2:1,61.0 x 63.0 mm (2.4 x 2.5 inches),,,Air,5-speed,Chain   (final drive),,,,,,3.25-19 ,4.00-18 ,Single disc,Single disc,,247.0 kg (544.5 pounds),,,,,,,,18.00 litres (4.76 US gallons),,2,Overhead Cams (OHC),,,,,,,,,,,,,,,
