Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Color options,Rear brakes,Starter,Alternate seat height,Valves per cylinder,Comments,Ground clearance,Lubrication system,Clutch,Exhaust system,Frame type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Front suspension,Rear suspension,Overall length,Diameter,Max RPM,Front tire,Rear tire,Reserve fuel capacity,Modifications compared to previous model,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,"Weight incl. oil, gas, etc",Oil capacity,Factory warranty,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Driveline,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Belt teeth,Belt width,Engine details,Overall height,Overall width,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Laverda 750 Strike,2000,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,747.0 ccm (45.58 cubic inches),"Twin, four-stroke",92.0 HP (67.2  kW)) @ 9200 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 6500 RPM,,,6-speed,Chain   (final drive),Dual disc,181.0 kg (399.0 pounds),0.5083 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,Single disc,Electric,,,,,,,,,,,,,,,,,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Vigor 650,2000,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",39.0 HP (28.5  kW)) @ 5750 RPM,55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 4500 RPM,,,5-speed,Chain   (final drive),Single disc,161.0 kg (354.9 pounds),0.2422 HP/kg,"845 mm (33.3 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1300 Hayabusa,2000,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",175.0 HP (127.7  kW)) @ 9800 RPM,138.0 Nm (14.1 kgf-m or 101.8 ft.lbs) @ 7000 RPM,300.0 km/h (186.4 mph),Liquid,6-speed,Chain   (final drive),Double disc. Six-piston calipers. ,215.0 kg (474.0 pounds),0.8140 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),24.00 litres (6.34 US gallons),"Blue/silver, red/gray",Single disc. Two-piston calipers. ,Electric,,4,Also called Suzuki GSX1300R Hayabusa.,,Wet sump,"Wet, multiple discs, hydraulic operated",,"Twin-spar, aluminum alloy",11.0:1,81.0 x 63.0 mm (3.2 x 2.5 inches),Injection. Mikuni Denso Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ,"Inverted telescopic, coil spring, fully adjustable spring preload, rebound and compression damping","Link-type, gas/oil damped, fully adjustable spring preload, compression damping, and rebound damping",2140 mm (84.3 inches),240 mm (9.4 inches),,120/70-ZR17 ,190/50-ZR17 ,,,24.2°,98 mm (3.9 inches),120 mm (4.7 inches),140 mm (5.5 inches),248.0 kg (546.7 pounds),3.50 litres (3.7 US quarts),,,,,,,SAE 10W-40,,DOT 4,3.00 litres (0.79 US gallons),,"NGK, CR9E",1150  +/- 100  RPM,530,112,17/40 (front/rear),42 PSI (2.9 Bar or 290 kPa),42 PSI (2.9 Bar or 290 kPa),43 mm (1.7 inches),,,,,,,,,
Triumph Sprint ST,2000,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",110.0 HP (80.3  kW)) @ 9200 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 6200 RPM,240.0 km/h (149.1 mph),Liquid,6-speed,Chain   (final drive),Dual disc,207.0 kg (456.4 pounds),0.5314 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1470 mm (57.9 inches),21.00 litres (5.55 US gallons),"Red, blue, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 996,2000,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",112.0 HP (81.8  kW)) @ 8500 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 8000 RPM,265.0 km/h (164.7 mph),Liquid,6-speed,,Dual disc,198.0 kg (436.5 pounds),0.5657 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),17.00 litres (4.49 US gallons),"Red, yellow",Single disc,,,,"The plain 996 can be delivered as ""biposto"", that is two-seater, or with single saddle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 LC4-E,2000,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7500 RPM,,165.0 km/h (102.5 mph),Liquid,,Chain   (final drive),Single disc,136.0 kg (299.8 pounds),0.3603 HP/kg,,1510 mm (59.4 inches),12.00 litres (3.17 US gallons),"Orange/black, gray/black",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Drifter,2000,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 4700 RPM,113.0 Nm (11.5 kgf-m or 83.3 ft.lbs) @ 2800 RPM,140.0 km/h (87.0 mph),Liquid,6-speed,,Single disc,302.0 kg (665.8 pounds),0.2119 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",1655 mm (65.2 inches),16.00 litres (4.23 US gallons),Red,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 LT,2000,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 6750 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 4750 RPM,200.0 km/h (124.3 mph),Liquid,5-speed,,Dual disc,354.0 kg (780.4 pounds),0.2768 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1633 mm (64.3 inches),23.40 litres (6.18 US gallons),"Red, blue, champagne",Single disc,,"800 mm (31.5 inches) If adjustable, highest setting.",,This bike actually has reverse!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Solo,2000,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5200 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 4800 RPM,,Air,4-speed,Shaft drive (cardan)   (final drive),Expanding brake,225.0 kg (496.0 pounds),0.1422 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 C - R 850 C Avantgarde,2000,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 5250 RPM,71.0 Nm (7.2 kgf-m or 52.4 ft.lbs) @ 4750 RPM,155.0 km/h (96.3 mph),Air,5-speed,,Dual disc,239.0 kg (526.9 pounds),0.2092 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",1650 mm (65.0 inches),17.00 litres (4.49 US gallons),"Green, ivory, gray, black",Single disc,Electric,,,The Avantgarde version has got a wider passenger seat and a grip for the passenger.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp,2000,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 6000 RPM,,,5-speed,Chain   (final drive),Dual disc,196.0 kg (432.1 pounds),0.2551 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha VMX 1200 V-Max,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",102.0 HP (74.5  kW)) @ 8000 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 6000 RPM,160.0 km/h (99.4 mph),Liquid,6-speed,Shaft drive (cardan)   (final drive),Dual disc,262.0 kg (577.6 pounds),0.3893 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",1590 mm (62.6 inches),15.00 litres (3.96 US gallons),Black,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT 600 R,2000,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",43.0 HP (31.4  kW)) @ 6500 RPM,50.0 Nm (5.1 kgf-m or 36.9 ft.lbs) @ 5000 RPM,160.0 km/h (99.4 mph),Air,5-speed,Chain   (final drive),Single disc,131.0 kg (288.8 pounds),0.3282 HP/kg,"945 mm (37.2 inches) If adjustable, lowest setting.",1480 mm (58.3 inches),12.00 litres (3.17 US gallons),Red/white,Single disc,Kick,,,,310 mm (12.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille SL Falco,2000,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",118.0 HP (86.1  kW)) @ 9250 RPM,95.6 Nm (9.7 kgf-m or 70.5 ft.lbs) @ 7000 RPM,255.0 km/h (158.4 mph),Liquid,6-speed,,Dual disc,190.0 kg (418.9 pounds),0.6211 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),21.00 litres (5.55 US gallons),"Red, black",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 R,2000,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 7000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6500 RPM,,,6-speed,Chain   (final drive),Single disc,109.0 kg (240.3 pounds),0.1193 HP/kg,"885 mm (34.8 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 250 Virago,2000,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6500 RPM,,Air,5-speed,Chain   (final drive),Single disc,137.0 kg (302.0 pounds),0.1241 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 Formula S,2000,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"Twin, four-stroke",95.0 HP (69.3  kW)) @ 9200 RPM,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 6500 RPM,,,6-speed,Chain   (final drive),Dual disc,189.0 kg (416.7 pounds),0.5026 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1375 mm (54.1 inches),,,Single disc,Electric,,,,,,,,,,,,,,,,2000 mm (78.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4S,2000,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.4 ccm (45.73 cubic inches),"In-line four, four-stroke",128.0 HP (93.4  kW)) @ 12480 RPM,76.6 Nm (7.8 kgf-m or 56.5 ft.lbs) @ 10510 RPM,270.0 km/h (167.8 mph),Liquid,6-speed,Chain   (final drive),,190.0 kg (418.9 pounds),0.6737 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1398 mm (55.0 inches),20.00 litres (5.28 US gallons),Red/silver,Single disc,Electric,,4,,,,,,,12.0:1,73.8 x 43.8 mm (2.9 x 1.7 inches),,,,,,,210 mm (8.3 inches),,120/65-17 ,190/55-17 ,,,,,118 mm (4.6 inches),135 mm (5.3 inches),218.6 kg (481.9 pounds),,,5.35 litres/100 km (18.7 km/l or 43.97 mpg),124.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,10.35 seconds,,,,,,,,,,,,,,,,,,,,,3.48 seconds,11.43 seconds,52.4,47.6
Triumph Thunderbird Sport,2000,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",83.0 HP (60.6  kW)) @ 8500 RPM,76.0 Nm (7.7 kgf-m or 56.1 ft.lbs) @ 6500 RPM,190.0 km/h (118.1 mph),Liquid,6-speed,Chain   (final drive),Dual disc,224.0 kg (493.8 pounds),0.3705 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1580 mm (62.2 inches),15.00 litres (3.96 US gallons),"Yellow/black, red/black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GTR 1000,2000,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 6000 RPM,,,6-speed,,,270.0 kg (595.2 pounds),0.3630 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",,28.50 litres (7.53 US gallons),,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS Pampera 125,2000,Trial,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),,120.0 km/h (74.6 mph),,,Chain   (final drive),,85.0 kg (187.4 pounds),0.1765 HP/kg,,1400 mm (55.1 inches),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Baghira,2000,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs),160.0 km/h (99.4 mph),Liquid,5-speed,Chain   (final drive),Single disc,158.0 kg (348.3 pounds),0.3165 HP/kg,"930 mm (36.6 inches) If adjustable, lowest setting.",1530 mm (60.2 inches),18.00 litres (4.76 US gallons),,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S Diversion,2000,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",56.0 HP (40.9  kW)) @ 8500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 7500 RPM,170.0 km/h (105.6 mph),Air,6-speed,Chain   (final drive),Dual disc,190.0 kg (418.9 pounds),0.2947 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1445 mm (56.9 inches),17.00 litres (4.49 US gallons),"Green, red",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva River 500,2000,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,44.0 Nm (4.5 kgf-m or 32.5 ft.lbs) @ 4750 RPM,,,5-speed,,Single disc,160.0 kg (352.7 pounds),0.2125 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs XTC-R 125,2000,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 8000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 7750 RPM,,Liquid,6-speed,Chain   (final drive),Single disc,115.0 kg (253.5 pounds),0.1304 HP/kg,,,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4S 1+1,2000,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",126.0 HP (92.0  kW)) @ 12500 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 10500 RPM,275.0 km/h (170.9 mph),Air,6-speed,Chain   (final drive),Dual disc,192.0 kg (423.3 pounds),0.6563 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1398 mm (55.0 inches),22.00 litres (5.81 US gallons),,Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Style,2000,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5250 RPM,32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,,Air,4-speed,,Single disc,149.0 kg (328.5 pounds),0.1544 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,17.00 litres (4.49 US gallons),,,Electric,,,Can be delivered with sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R1,2000,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",150.0 HP (109.5  kW)) @ 10000 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8500 RPM,280.0 km/h (174.0 mph),Liquid,6-speed,Chain   (final drive),Dual disc,175.0 kg (385.8 pounds),0.8571 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),18.00 litres (4.76 US gallons),"Red/white, blue",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 900 Super Sport,2000,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7000 RPM,81.0 Nm (8.3 kgf-m or 59.7 ft.lbs) @ 7000 RPM,205.0 km/h (127.4 mph),Air,6-speed,,Dual disc,188.0 kg (414.5 pounds),0.4255 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),16.00 litres (4.23 US gallons),"Red, yellow",Single disc,,,,,,,,,,,,,,,,,,,,120/60-17 ,160/60-17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GF 125,2000,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.7 HP (10.0  kW)) @ 8600 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 7500 RPM,,Air,5-speed,Chain   (final drive),Single disc,126.0 kg (277.8 pounds),0.1087 HP/kg,"802 mm (31.6 inches) If adjustable, lowest setting.",,,,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Vulcan,2000,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 3300 RPM,170.0 km/h (105.6 mph),Liquid,5-speed,Chain   (final drive),Single disc,232.0 kg (511.5 pounds),0.2371 HP/kg,,1625 mm (64.0 inches),15.00 litres (3.96 US gallons),Red,Expanding brake,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650,2000,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 5000 RPM,,,5-speed,Chain   (final drive),Single disc,168.0 kg (370.4 pounds),0.2500 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,,"Green/blue, red/black",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F4,2000,Sport," 4.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 12500 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 10500 RPM,260.0 km/h (161.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,170.0 kg (374.8 pounds),0.6471 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),18.00 litres (4.76 US gallons),"Blue/red, black/yellow, black/dark gray",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 600,2000,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",,,,Liquid,6-speed,Chain   (final drive),Single disc,106.0 kg (233.7 pounds),,"930 mm (36.6 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Blue/Yellow,Single disc,Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S,2000,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"In-line four, four-stroke",40.0 HP (29.2  kW)) @ 9800 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 8500 RPM,170.0 km/h (105.6 mph),,6-speed,Chain   (final drive),Dual disc,179.0 kg (394.6 pounds),0.2235 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,"Blue, black, red",Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Navigator - Navigator T,2000,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",97.0 HP (70.8  kW)) @ 8400 RPM,88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 7000 RPM,,Liquid,6-speed,,Dual disc,210.0 kg (463.0 pounds),0.4619 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,Single disc,,,,,,,,,,,,,,,,,,,,,,,The engine mounted in the Navigator is a Suzuki TL 1000 engine. The difference between Navigator and Navigator T is that Navigator T comes with top and side bags.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NT 650 V Deauville,2000,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 7750 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 6250 RPM,170.0 km/h (105.6 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,223.0 kg (491.6 pounds),0.2511 HP/kg,"814 mm (32.0 inches) If adjustable, lowest setting.",1473 mm (58.0 inches),19.50 litres (5.15 US gallons),"Red, silver, black",Single disc,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KL250-G4 Super Sherpa,2000,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,Air,6-speed,,Single disc. Hydraulic,113.0 kg (249.1 pounds),,"830 mm (32.7 inches) If adjustable, lowest setting.",1375 mm (54.1 inches),9.00 litres (2.38 US gallons),,Single disc. Hydraulic,,,,,270 mm (10.6 inches),,"Wet, Multi-disc, Manual",,,9.3:1,72.0 x 61.2 mm (2.8 x 2.4 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,,,183 mm (7.2 inches),,2.75-21 4PR ,4.10-17 4PR ,,,,,230 mm (9.1 inches),186 mm (7.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
