Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Fuel system,Torque,1/4 mile (0.4 km),Max RPM,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Starter,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Rear percentage of weight,Alternate seat height,Comments,Modifications compared to previous model,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Chain links,Sprockets,Seat,Instruments,Electrical,Light,Carrying capacity,Wheels,Engine details,Battery,Driveline
Enfield 350 Bullet,1985,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Type 638.5,1985,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 5500 RPM,133.0 km/h (82.6 mph),10.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,156.0 kg (343.9 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 RSD,1985,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,136.0 km/h (84.5 mph),9.3:1,74.0 x 57.8 mm (2.9 x 2.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,148.0 kg (326.3 pounds),13.00 litres (3.43 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 100,1985,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Single cylinder, four-stroke",,,,,Single Overhead Cams (SOHC),Air,6-speed,Chain   (final drive),,,Expanding brake (drum brake). drum,Expanding brake (drum brake). drum,,2.00 litres (0.53 US gallons),2,Carburettor. mikuni stock carb ¿mm,,,,cdi,,,,,single steel,cromoly,,,coil oil dampend,,coil mono shock,152 mm (6.0 inches),,124.7 kg (275.0 pounds),,,,,,,,,,Yellow with blue trim and graphics.,Kick,,,35.0,65.0,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 Sport,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 9500 RPM,204.0 km/h (126.8 mph),9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-19 ,120/90-18 ,Dual disc,Single disc,234.0 kg (515.9 pounds),21.00 litres (5.55 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 M 6 ob one Racing,1985,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, two-stroke",25.0 HP (18.2  kW)) @ 11000 RPM,140.0 km/h (87.0 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),Port control,Liquid,6-speed,Chain   (final drive),2.7 5-16 ,3.00-18 ,Dual disc,Single disc,116.0 kg (255.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NS 400 R,1985,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",387.0 ccm (23.61 cubic inches),"V3, two-stroke",72.0 HP (52.6  kW)) @ 9500 RPM,207.0 km/h (128.6 mph),7.0:1,57.0 x 50.6 mm (2.2 x 2.0 inches),Membrane,Liquid,6-speed,Chain   (final drive),100/90-16 ,110/90-17 ,Dual disc,Single disc,192.0 kg (423.3 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXWG 1340 Wide Glide,1985,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,164.0 km/h (101.9 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MH 90-21 ,MT 90-16 ,Single disc,Single disc,285.0 kg (628.3 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 12 (with sidecar),1985,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,100.0 km/h (62.1 mph),7.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Standing valves,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,370.0 kg (815.7 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH 1000 Sportster,1985,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,170.0 km/h (105.6 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,246.0 kg (542.3 pounds),8.50 litres (2.25 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 E,1985,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1135.0 ccm (69.26 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8100 RPM,224.0 km/h (139.2 mph),9.7:1,74.0 x 66.0 mm (2.9 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-16 ,130/90-17 ,Dual disc,Single disc,243.0 kg (535.7 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 250,1985,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 9000 RPM,143.0 km/h (88.9 mph),11.0:1,74.0 x 58.0 mm (2.9 x 2.3 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),11.00 litres (2.91 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 200 T (reduced effect),1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,194.0 ccm (11.84 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,100.0 km/h (62.1 mph),8.8:1,53.0 x 44.0 mm (2.1 x 1.7 inches),Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.00-17 ,3.50-16 ,Expanding brake,Expanding brake,138.0 kg (304.2 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R80,1985,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,181.0 km/h (112.5 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,207.0 kg (456.4 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 650 E,1985,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",673.0 ccm (41.07 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 8000 RPM,190.0 km/h (118.1 mph),9.8:1,82.5 x 63.0 mm (3.2 x 2.5 inches),Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,235.0 kg (518.1 pounds),19.00 litres (5.02 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 (reduced effect),1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,142.0 km/h (88.2 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Single disc,Expanding brake,167.0 kg (368.2 pounds),12.00 litres (3.17 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1300 DFI,1985,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",130.0 HP (94.9  kW)) @ 8000 RPM,,9.3:1,62.0 x 71.0 mm (2.4 x 2.8 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,324.0 kg (714.3 pounds),27.00 litres (7.13 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha VMX12 V-Max,1985,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",113.5 HP (82.8  kW)) @ 8500 RPM,,10.5:1,76.0 x 66.0 mm (3.0 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-V18 ,150/90-V15 ,Double disc,Single disc,274.0 kg (604.1 pounds),15.00 litres (3.96 US gallons),4,Carburettor. BDS35/Mikuni,83.1 Nm (8.5 kgf-m or 61.3 ft.lbs) @ 6000 RPM,11.75 seconds,9500,TCI,Wet Sump,"Wet, multi disc",7.35 litres/100 km (13.6 km/l or 32.00 mpg),170.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Double cradle steel tube,29.0°,119 mm (4.7 inches),,140 mm (5.5 inches),"Coil spring, oil damper left  and  right",100 mm (3.9 inches),,,,"765 mm (30.1 inches) If adjustable, lowest setting.",1160 mm (45.7 inches),2300 mm (90.6 inches),795 mm (31.3 inches),145 mm (5.7 inches),1590 mm (62.6 inches),3.00 litres (0.79 US gallons),4.70 litres (4.97 US quarts),,Electric,,,,,,1985 is the first year of the V Max line,,,,,,,,,,,,,Split seat with fuel filler cover ,"Analog speedometer, odometer, tachometer",Generayor system; AC magneto,Bulb type,225kg / 496 lb,,,,
Benelli 354 T,1985,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9500 RPM,152.0 km/h (94.4 mph),10.2:1,50.0 x 44.0 mm (2.0 x 1.7 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Dual disc,Single disc,181.0 kg (399.0 pounds),15.50 litres (4.10 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJ 1100 (reduced effect),1985,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1097.0 ccm (66.94 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,220.0 km/h (136.7 mph),9.5:1,74.0 x 63.8 mm (2.9 x 2.5 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,261.0 kg (575.4 pounds),24.00 litres (6.34 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100,1985,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,218.0 km/h (135.5 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,243.0 kg (535.7 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 550 ES,1985,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",64.0 HP (46.7  kW)) @ 10000 RPM,201.0 km/h (124.9 mph),10.0:1,60.0 x 50.6 mm (2.4 x 2.0 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,216.0 kg (476.2 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 RT,1985,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,163.0 km/h (101.3 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,243.0 kg (535.7 pounds),22.00 litres (5.81 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 Klassik,1985,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,140.0 km/h (87.0 mph),11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,3.50-18 ,Single disc,Expanding brake,144.0 kg (317.5 pounds),14.00 litres (3.70 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400 F,1985,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",41.0 HP (29.9  kW)) @ 10500 RPM,157.0 km/h (97.6 mph),9.5:1,52.0 x 47.0 mm (2.0 x 1.9 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-19 ,110/90-18 ,Dual disc,Expanding brake,197.0 kg (434.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 4,1985,Naked bike," 2.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,125.0 km/h (77.7 mph),9.5:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,180.0 kg (396.8 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 900 R,1985,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",115.0 HP (83.9  kW)) @ 9500 RPM,,11.0:1,72.5 x 55.0 mm (2.9 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,257.0 kg (566.6 pounds),22.00 litres (5.81 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ TS 125 Luxus,1985,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,100.0 km/h (62.1 mph),10.1:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),2.75-18 ,3-18 ,Expanding brake (drum brake). Single Leading Shoe,Expanding brake (drum brake). Single Leading Shoe,156.0 kg (343.9 pounds),12.50 litres (3.30 US gallons),,Carburettor. BVF 22 N1-3,21.2 Nm (2.2 kgf-m or 15.6 ft.lbs) @ 5500 RPM,,,Battery and Coil,Petroil Premix (33:1 petrol:oil),Wet multiple,,,Single steel pipe,Pressed Steel,,,Right Side Up telescopic forks,185 mm (7.3 inches),Swinging arm,105 mm (4.1 inches),150 mm (5.9 inches),114.0 kg (251.3 pounds),0.0877 HP/kg,,1125 mm (44.3 inches),2045 mm (80.5 inches),730 mm (28.7 inches),,1305 mm (51.4 inches),,,"Black, blue, red, green",Kick,11.00 seconds,,,,,"Very common still in Eastern Europe - not so much here (UK). An incredibly cheap, simple beginners classic",~1982 front indicators relocated from nacelle side to just below,,,,,,,,,,,,,"Speedometer, Odometer, Tachometer",6v,"Headlight, sidelight, taillight",Optional luggage rack,Wire,,,
Suzuki GSX 750 EF,1985,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9500 RPM,206.0 km/h (128.0 mph),9.6:1,67.0 x 53.0 mm (2.6 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-16 ,120/90-17 ,Dual disc,Single disc,237.0 kg (522.5 pounds),19.00 litres (5.02 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1100,1985,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1089.0 ccm (66.45 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,,9.5:1,72.5 x 66.0 mm (2.9 x 2.6 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 N,1985,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 9000 RPM,178.0 km/h (110.6 mph),9.3:1,75.0 x 50.6 mm (3.0 x 2.0 inches),Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Dual disc,Expanding brake,189.0 kg (416.7 pounds),17.00 litres (4.49 US gallons),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 F,1985,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",116.0 HP (84.7  kW)) @ 10000 RPM,,10.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),100/90-18 ,140/80-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),23.00 litres (6.08 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1985,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,193.0 km/h (119.9 mph),9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),17.00 litres (4.49 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 650 E Nighthawk,1985,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",60.0 HP (43.8  kW)) @ 10000 RPM,200.0 km/h (124.3 mph),,,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Double disc,Expanding brake (drum brake). Drum brake,230.0 kg (507.1 pounds),11.00 litres (2.91 US gallons),4,Carburettor. Keihin 35 mm,,,14000,Mechanical,,Wet plate,6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double aluminium pipes,Aluminium frame,,,,,Adjustable gas charge compresion shocks,,,215.0 kg (474.0 pounds),0.2791 HP/kg,,,,,,,3.00 litres (0.79 US gallons),3.00 litres (3.17 US quarts),"red , black",Electric,,,43.0,57.0,,,No diference comparing to previous year´s model,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35 II,1985,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,151.0 km/h (93.8 mph),10.8:1,66.0 x 50.6 mm (2.6 x 2.0 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,100/90-18 ,Dual disc,Single disc,185.0 kg (407.9 pounds),16.00 litres (4.23 US gallons),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GV 1200 GLF Madura,1985,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1165.0 ccm (71.09 cubic inches),"V4, four-stroke",117.0 HP (85.4  kW)),,,,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,Dual disc,Single disc,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Can be distinguished from the 700 by the four, as opposed to two, exhaust pipes.",,,,,,,,,,,,,,,,,,,,,
Honda XL 600 LM,1985,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",591.0 ccm (36.06 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,144.0 km/h (89.5 mph),8.8:1,97.0 x 80.0 mm (3.8 x 3.1 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),28.00 litres (7.40 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1100 C,1985,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1097.0 ccm (66.94 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 8500 RPM,193.0 km/h (119.9 mph),10.5:1,79.5 x 55.3 mm (3.1 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,140/90-16 ,Dual disc,Single disc,268.0 kg (590.8 pounds),18.00 litres (4.76 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 750 R,1985,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",92.0 HP (67.2  kW)) @ 10000 RPM,224.0 km/h (139.2 mph),10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,255.0 kg (562.2 pounds),22.00 litres (5.81 US gallons),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
