Model,Year,Category,Rating,Displacement,Engine type,Torque,Top speed,Compression,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall height,Overall length,Overall width,Fuel capacity,Reserve fuel capacity,Color options,Starter,Comments,Power,Fuel control,Gearbox,"Weight incl. oil, gas, etc",Ground clearance,Wheelbase,Clutch,Exhaust system,Valves per cylinder,Modifications compared to previous model,Power/weight ratio,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Emission details,Max RPM,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Alternate seat height,Electrical,Coolant,Idle speed,Sprockets,Engine details,Factory warranty,0-100 km/h (0-62 mph),Instruments,Light,Carrying capacity,Chain size,Chain links,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Front percentage of weight,Rear percentage of weight
Kymco Grand Dink 125,2008,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 6000 RPM,,10.0:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor,,,Liquid,Belt   (final drive),Pine under bone,Telescopic fork,80 mm (3.1 inches),Unit swing,45 mm (1.8 inches),120/70-13 ,140/70-12 ,Single disc,200 mm (7.9 inches),Single disc,140.0 kg (308.6 pounds),"775 mm (30.5 inches) If adjustable, lowest setting.",1306 mm (51.4 inches),2090 mm (82.3 inches),760 mm (29.9 inches),9.00 litres (2.38 US gallons),,"Grey, white",Electric & kick,,11.5 HP (8.4  kW)) @ 7500 RPM,Overhead Cams (OHC),Automatic,,140 mm (5.5 inches),1435 mm (56.5 inches),,,,,0.0821 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxon Duel TT 50,2008,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor. Dell´Ortho PHBN,,,Air,,,,,,,80/90-21 ,110/80-18 ,Single disc,200 mm (7.9 inches),Expanding brake (drum brake),83.0 kg (183.0 pounds),,,,,7.50 litres (1.98 US gallons),,,Kick,,,,,,,1335 mm (52.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT 300 Pro,2008,Trial," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",294.0 ccm (17.94 cubic inches),"Single cylinder, two-stroke",,,,79.0 x 60.0 mm (3.1 x 2.4 inches),Carburettor,CDI digital magnetic flywheel,2.5 % Mixture,Liquid,,Eliptic profile made with CR-Mo,40 mm adjustable telehydraulic fork,,"Variable progressivity system, single shock",,,,Single disc,150 mm (5.9 inches),Single disc,68.0 kg (149.9 pounds),"665 mm (26.2 inches) If adjustable, lowest setting.",,,,3.10 litres (0.82 US gallons),,,Kick,,,,6-speed,,,1330 mm (52.4 inches),"Multidisc, hydraulically-operated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCM R45,2008,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,443.0 ccm (27.03 cubic inches),"Single cylinder, four-stroke",,,,95.0 x 62.5 mm (3.7 x 2.5 inches),Carburettor. 36mm Dellorto,Electronic ignition (CDI),Dry Sump,Liquid,, Tubular steel oil in frame,WP 43mm upside down,300 mm (11.8 inches),WP PDS,335 mm (13.2 inches),120/70-17 ,150/70-17 ,Single disc,260 mm (10.2 inches),Single disc,128.0 kg (282.2 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",,,,12.00 litres (3.17 US gallons),,,Electric,,40.0 HP (29.2  kW)),Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,0.3125 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orion AGB-30A,2008,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,,9.2:1,62.0 x 49.0 mm (2.4 x 1.9 inches),Carburettor,CDI,,Air,Chain   (final drive),High Strength Steel,Adjustable Inverted                                                                   Hydraulic Forks,,Adjustable Hydraulic                                                                   w/reservoir,,80/100-16 ,3.25-14 ,Single disc,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),1880 mm (74.0 inches),800 mm (31.5 inches),3.21 litres (0.85 US gallons),,"Apollo Black, Red, Blue                                                        Green, Yellow, Pink, Carbon Look, Orange, White",Electric & kick,,,,5-speed,111.0 kg (244.7 pounds),,1310 mm (51.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamo Turista 300,2008,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",299.0 ccm (18.24 cubic inches),"Single cylinder, four-stroke",,128.7 km/h (80.0 mph),,,Carburettor,,,Liquid,Belt   (final drive),,Dual shock,,Dual shock,,110/90-12 ,110/90-12 ,Single disc. ABS,,Single disc. ABS,167.8 kg (370.0 pounds),"737 mm (29.0 inches) If adjustable, lowest setting.",,,,10.97 litres (2.90 US gallons),,"Black, red, blue, silver",Electric & kick,,18.4 HP (13.4  kW)),,Automatic,,,1549 mm (61.0 inches),,,,,0.1096 HP/kg,3.01 litres/100 km (33.2 km/l or 78.15 mpg),69.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tre 1130K Amazonas,2008,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1131.0 ccm (69.01 cubic inches),"In-line three, four-stroke",112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 5000 RPM,,,88.0 x 62.0 mm (3.5 x 2.4 inches),Injection,Digital - inductive type via electronic engine management,Wet sump,Liquid,Chain   (final drive),,"Upside down fork, adjustable",50 mm (2.0 inches),"ASD  steel tube trellis swingarm, preload adjuster",,110/80-19 ,150/70-17 ,Single disc,240 mm (9.4 inches),Single disc,,"840 mm (33.1 inches) If adjustable, lowest setting.",,2255 mm (88.8 inches),,22.00 litres (5.81 US gallons),4.00 litres (1.06 US gallons),,,,123.4 HP (90.1  kW)) @ 9000 RPM,Double Overhead Cams/Twin Cam (DOHC),6-speed,,,1531 mm (60.3 inches),,,4,,,,,25.0°,127 mm (5.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genuine Scooter Buddy 125,2008,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,96.6 km/h (60.0 mph),,,,,,Air,,,Telescopic fork,,Monoshock,,90/90-10 ,90/90-10 ,Single disc,,Expanding brake (drum brake),,,,,,,,"Black, Red, Light Blue, Seafoam, Orange, Pink",,,,,Automatic,,,,,,,,,2.61 litres/100 km (38.3 km/l or 90.12 mpg),60.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 125 SM Ipone Replica,2008,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",,,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,,,Air,Chain   (final drive),Built from Chrome-molybdenum forming a single structure,Hydraulic telescopic fork Paioli,,"Olle single shock absorber, adjustable in spring preload",,,,Single disc,,Single disc,107.0 kg (235.9 pounds),,,,,7.80 litres (2.06 US gallons),,Red/white/black,,,,Single Overhead Cams (SOHC),5-speed,,280 mm (11.0 inches),1960 mm (77.2 inches),Multidisc in oil bath,Inox steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Zion 125,2008,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 6500 RPM,,,,Carburettor,,Forced feed lubrication,,Belt   (final drive),,,,,,100/80-16 ,120/80-16 ,,,,143.0 kg (315.3 pounds),,1140 mm (44.9 inches),1985 mm (78.1 inches),,4.20 litres (1.11 US gallons),,,Electric & kick,,6.0 HP (4.4  kW)) @ 8000 RPM,,Automatic,,,1330 mm (52.4 inches),,,,,0.0420 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic Caballero Regolarita Casa 50,2008,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor. Dell Orto 16,Ducati ignition,,,,CrMo,Marzocchi USD 40 fork,,"Monshock, adjustable",,,,Single disc,,Single disc,72.0 kg (158.7 pounds),,,,,8.00 litres (2.11 US gallons),,Red/black/gold,Electric & kick,FanticMotor is an Italian brand.,,,6-speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Jog RR Moto GP,2008,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 6500 RPM,,11.4:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Injection. Fuel Injection System,Electronic (CDI),Separate lubrication,Liquid,Belt   (final drive),-,Hydraulic and telescopic fork,,Hydraulic unit swing,,110/70-12 ,120/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),79.0 kg (174.2 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",1065 mm (41.9 inches),1740 mm (68.5 inches),675 mm (26.6 inches),5.50 litres (1.45 US gallons),,,Electric & kick,,2.8 HP (2.1  kW)) @ 7500 RPM,,Automatic,,132 mm (5.2 inches),1210 mm (47.6 inches),,,,,0.0359 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Speedfight R-Cup,2008,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.1 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,,,,,,,,,,Single disc,180 mm (7.1 inches),Single disc,90.0 kg (198.4 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,Electric,Available with both air- and liquid cooled engines.,,,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R1,2008,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",112.7 Nm (11.5 kgf-m or 83.1 ft.lbs),287.0 km/h (178.3 mph),12.7:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Injection. Fuel Injection with YCC-T and YCC-I,TCI,Wet sump,Liquid,Chain   (final drive),"Deltabox V aluminium, twin spar",43mm inverted fork,119 mm (4.7 inches),Single shock w/piggyback reservoir,102 mm (4.0 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc. Six-piston calipers. ,220 mm (8.7 inches),Single disc. Single-piston caliper. ,176.9 kg (390.0 pounds),"836 mm (32.9 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),2060 mm (81.1 inches),719 mm (28.3 inches),17.97 litres (4.75 US gallons),,"Blue/white, raven, candy red",Electric,,177.6 HP (129.6  kW)),Double Overhead Cams/Twin Cam (DOHC),6-speed,190.0 kg (418.9 pounds),135 mm (5.3 inches),1415 mm (55.7 inches),Cable-,,4,,1.0037 HP/kg,,,24.0°,102 mm (4.0 inches),,,#530 O-ring chain,3.10 litres (3.28 US quarts),SAE 10W-40,K & N KN-303,DOT 4,YTZ10S,"NGK, CR9EK",,,,43 mm (1.7 inches),,,3.00 litres (0.79 US gallons),1200  +/- 50  RPM,17/45 (front/rear),,,,,,,530,116,36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),,,,
Aeon AE-9 Pulsar 125,2008,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,,,,,C.D.I. Electronic,,Air,Belt   (final drive),Steel pipes,Telescopic fork,,Hydraulic monoshock,,120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),110.0 kg (242.5 pounds),,1280 mm (50.4 inches),1260 mm (49.6 inches),650 mm (25.6 inches),6.00 litres (1.59 US gallons),,"Red, blue, silver",Electric & kick,,,,Automatic,,,,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V Star 1300,2008,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1311.1 ccm (80.00 cubic inches),"V2, four-stroke",,,9.5:1,100.0 x 83.0 mm (3.9 x 3.3 inches),Injection,TCI,,Liquid,Belt   (final drive),Double Cradle,Telescopic fork,135 mm (5.3 inches),Single shock,109 mm (4.3 inches),130/90-M16 ,170/70-B16 ,Double disc,298 mm (11.7 inches),Single disc,283.0 kg (624.0 pounds),"714 mm (28.1 inches) If adjustable, lowest setting.",1115 mm (43.9 inches),2489 mm (98.0 inches),980 mm (38.6 inches),18.54 litres (4.90 US gallons),,"Raven, Liquid Silver, Candy Red/Black Cherry",Electric,,,Single Overhead Cams (SOHC),5-speed,,,1689 mm (66.5 inches),,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Kingpin,2008,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1638.8 ccm (100.00 cubic inches),"V2, four-stroke",,,8.7:1,101.0 x 102.0 mm (4.0 x 4.0 inches),Injection. Electronic Fuel Injection with 45mm throttle bodies,,,Air,Belt   (final drive),,"Inverted cartridge telescopic fork, 43mm diameter, 5.1in/130mm travel",,"Single, mono-tube gas,cast aluminum with rising rate linkage , 3.9in/100mm travel, preload adjustable spring",,130/70-B18 ,180/55-B18 ,Single disc,300 mm (11.8 inches),Single disc,306.6 kg (676.0 pounds),"673 mm (26.5 inches) If adjustable, lowest setting.",,2527 mm (99.5 inches),,17.03 litres (4.50 US gallons),,"Solid Black, Solid Midnight Cherry, Solid Supersteel Gray",,,,Single Overhead Cams (SOHC),6-speed,,147 mm (5.8 inches),1666 mm (65.6 inches),"Wet, multi-plate",Staggered slash-cut dual exhaust with crossover,,,,,,32.8°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dfang DF150-2,2008,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,100.0 km/h (62.1 mph),,,,,,Air,Chain   (final drive),,,,,,110/90-16 ,130/90-16 ,Single disc,,Expanding brake (drum brake),130.0 kg (286.6 pounds),,,,,,,Black,,Brand also called Dongfang. Chinese bike made by Dongfang Motor. ,8.2 HP (6.0  kW)),,,,,,,,,,0.0631 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orion A30E125M,2008,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,9.7:1,52.4 x 49.5 mm (2.1 x 1.9 inches),Carburettor,CDI,,,Chain   (final drive),High Strength Steel,Adjustable Inverted  Hydraulic Forks,,TAI WAN Adjustable Rear suspension,,,,Single disc,,Single disc,110.0 kg (242.5 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),1880 mm (74.0 inches),800 mm (31.5 inches),3.21 litres (0.85 US gallons),,"
                                                                   Green, Yellow, Pink, Carbon Look, Orange, White",Electric & kick,Also available with 50 cc engine.,,,5-speed,,,1200 mm (47.2 inches),Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BucciMoto BR1R CR 125,2008,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor. Mikuni 24 mm,C.D.I.,,Oil & air,,CrMo,,,,,60/100-14 ,80/100-12 ,,,,,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,3.50 litres (0.92 US gallons),,,,,10.5 HP (7.7  kW)),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Retro Solo 750,2008,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, two-stroke",52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 4000 RPM,130.0 km/h (80.8 mph),,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor,Electronic,,Air,Shaft drive (cardan)   (final drive),Double loop steel tube,Telescopic fork,,Double sided swinging arm with hydraulic spring shock absorbers - 2 x adjustable,,3.50-18 ,3.50-18 ,Single disc,,Expanding brake (drum brake),246.0 kg (542.3 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",1045 mm (41.1 inches),2224 mm (87.6 inches),,19.00 litres (5.02 US gallons),,Black with white stripes,Electric & kick, ,38.9 HP (28.4  kW)) @ 5600 RPM,,4-speed,,,,Dry double disc,,,,0.1580 HP/kg,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adly Super Sonic 125,2008,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,9.2:1,52.4 x 57.8 mm (2.1 x 2.3 inches),,C.D.I.,,Air,,,Up side Down Grease Shock Absorber,,Hydraulic Shock Absorber,,120/70-12 ,120/70-12 ,Double disc,,Single disc,90.0 kg (198.4 pounds),,1160 mm (45.7 inches),1780 mm (70.1 inches),675 mm (26.6 inches),,,,Electric & kick,,8.6 HP (6.3  kW)) @ 7000 RPM,,Automatic,,,1255 mm (49.4 inches),,,,,0.0956 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI Aragon 50 Club,2008,Scooter," 2.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,,,,Air,,,,,,,120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,1145 mm (45.1 inches),1790 mm (70.5 inches),650 mm (25.6 inches),8.00 litres (2.11 US gallons),,,Electric & kick,,3.9 HP (2.8  kW)) @ 6250 RPM,,Automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piaggio X7 250,2008,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",,,11.0:1,72.0 x 60.0 mm (2.8 x 2.4 inches),,,,Liquid,,Tubular steel double cradle,"Ø 35mm hydraulic telescopic fork,",90 mm (3.5 inches),"Two double acting hydraulic shock absorbers with 4 spring preload settings,",90 mm (3.5 inches),120/70-14 ,130/60-13 ,Single disc,240 mm (9.4 inches),Single disc,,"790 mm (31.1 inches) If adjustable, lowest setting.",,2060 mm (81.1 inches),745 mm (29.3 inches),12.00 litres (3.17 US gallons),,,Electric,,22.0 HP (16.1  kW)) @ 8250 RPM,,Automatic,173.0 kg (381.4 pounds),,1480 mm (58.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym GTS 250i,2008,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,,,,Injection,,,Air,Belt   (final drive),,,,,,,,Single disc,220 mm (8.7 inches),Single disc,172.5 kg (380.3 pounds),,1380 mm (54.3 inches),2165 mm (85.2 inches),,13.00 litres (3.43 US gallons),,,Electric,"Model id: LM250W. Sold as Joymax in Italy, Slovenia, Isreal, Macau and Hong Kong. Called FIRENZE in Australia. Sold as Sym RV 125 in Japan, U.S.A, Canada and Hawaii.",,,Automatic,,,1495 mm (58.9 inches),,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dfang DF150-4,2008,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",,100.0 km/h (62.1 mph),,,Carburettor,,,Air,Chain   (final drive),Steel,,,,,110/90-16 ,130/90-16 ,Single disc,,Expanding brake (drum brake),130.0 kg (286.6 pounds),,,,,,,Blue/white,Electric,Brand also called Dongfang.  ,8.2 HP (6.0  kW)) @ 8000 RPM,,,,,,,,,,0.0631 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vento Phantera,2008,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5100 RPM,,,,Carburettor,CDI,,Air,Belt   (final drive),,,,,,130/60-13 ,130/60-13 ,Single disc,,Expanding brake (drum brake),103.9 kg (229.0 pounds),"884 mm (34.8 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),1890 mm (74.4 inches),691 mm (27.2 inches),5.29 litres (1.40 US gallons),,"Red, yellow, graphite grey, green",Electric,,9.4 HP (6.9  kW)) @ 7600 RPM,,Automatic,,,,,Silverstone® High-Performance,,,0.0905 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Boulevard 125,2008,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,11.2:1,57.0 x 48.6 mm (2.2 x 1.9 inches),Carburettor,CDI,Oil pump,Air,Belt   (final drive),,35 mm hydraulic fork. 75 mm. travel,,Lineal  monoshock with adjustable spring preload. 75 mm travel,,130/60-13 ,130/60-13 ,Single disc,140 mm (5.5 inches),Expanding brake (drum brake),116.0 kg (255.7 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1228 mm (48.3 inches),,690 mm (27.2 inches),11.00 litres (2.91 US gallons),,Dark grey,Electric,,,,Automatic,,,1305 mm (51.4 inches),Automated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 200 EXC,2008,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",193.0 ccm (11.78 cubic inches),"Single cylinder, two-stroke",,,12.5:1,64.0 x 60.0 mm (2.5 x 2.4 inches),Carburettor. Keihin PWK 36 S AG,Kokusan digital 2K-3,Mixture oil lubrication 1:60,Liquid,Chain   (final drive),Central double-cradle-type 25CrMo4,WP USD Ã˜ 48 mm (1.89,300 mm (11.8 inches),WP monoshock PDS,335 mm (13.2 inches),90/90-21 ,120/90-18 ,Single disc,,Single disc,97.0 kg (213.8 pounds),"960 mm (37.8 inches) If adjustable, lowest setting.",,,,9.50 litres (2.51 US gallons),,Orange/black,Kick,,,,6-speed,,390 mm (15.4 inches),1471 mm (57.9 inches),"Wet multi-disc clutch, operated hydraulically",Aluminium,,,,,,27.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX100,2008,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.0 ccm (6.04 cubic inches),"Single cylinder, two-stroke",40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 11500 RPM,,9.6:1,52.5 x 45.8 mm (2.1 x 1.8 inches),Carburettor. Keihin PWK28,Digital CDI,,Liquid,Chain   (final drive),High-tensile steel perimeter design with subframe member,36mm inverted telescopic cartridge fork with 18-way compression damping / 10.8 in.,,UNI-TRAK® single shock system with 4-way compression and 18-way rebound damping plus adjustable spring preload / 10.8 in.,,70/70-x19 ,90/90-x16 ,Single disc,240 mm (9.4 inches),Single disc,68.0 kg (149.9 pounds),"871 mm (34.3 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),1910 mm (75.2 inches),734 mm (28.9 inches),5.67 litres (1.50 US gallons),,Lime Green,,,,,6-speed,,381 mm (15.0 inches),1290 mm (50.8 inches),,,4,,,,,27.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
