Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,1/4 mile (0.4 km),Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Color options,Starter,"Weight incl. oil, gas, etc",Fuel capacity,Valves per cylinder,Lubrication system,Clutch,Exhaust system,Frame type,Comments,Modifications compared to previous model,Max RPM,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Diameter,Seat height,Overall length,Overall width,Wheelbase,Oil capacity,Reserve fuel capacity,Ground clearance
Maico MD 250 WK,1981,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,,151.0 km/h (93.8 mph),,11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),,Rotary valves,,Liquid,6-speed,Chain   (final drive),,,,,3.00-18 ,3.25-18 ,Single disc,Single disc,,,,,132.0 kg (291.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CB 650 C,1981,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,,173.0 km/h (107.5 mph),,9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,130/90-16 ,Dual disc,Expanding brake,,,,,220.0 kg (485.0 pounds),14.00 litres (3.70 US gallons),2,,,,,,,,,,,,,,,,,,,
BMW R 100,1981,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",67.0 HP (48.9  kW)) @ 7000 RPM,,191.0 km/h (118.7 mph),,8.2:1,94.0 x 70.6 mm (3.7 x 2.8 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Expanding brake,,,,,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 250 N (reduced effect),1981,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,,125.0 km/h (77.7 mph),,9.4:1,62.0 x 41.4 mm (2.4 x 1.6 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.60-19 ,4.10-18 ,Single disc,Expanding brake,,,,,186.0 kg (410.1 pounds),14.00 litres (3.70 US gallons),3,,,,,,,,,,,,,,,,,,,
Sanglas 400 Y,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,392.0 ccm (23.92 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7100 RPM,,140.0 km/h (87.0 mph),,9.2:1,69.0 x 52.4 mm (2.7 x 2.1 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.25-18 ,3.50-18 ,Dual disc,Single disc,,,,,177.0 kg (390.2 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Dnepr MT 10 (with sidecar),1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",25.0 HP (18.2  kW)) @ 5200 RPM,,110.0 km/h (68.4 mph),,7.8:1,78.0 x 68.0 mm (3.1 x 2.7 inches),,Overhead Valves (OHV),,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),,,,,3.50-18 ,4.00-18 ,Expanding brake,Expanding brake,,,,,350.0 kg (771.6 pounds),21.00 litres (5.55 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki Z 250 J,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8250 RPM,,115.0 km/h (71.5 mph),,9.5:1,55.0 x 52.4 mm (2.2 x 2.1 inches),,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,,,3.00-18 ,3.50-18 ,Single disc,Single disc,,,,,166.0 kg (366.0 pounds),13.50 litres (3.57 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 S Katana,1981,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,,228.0 km/h (141.7 mph),,9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,,,,272.0 kg (599.7 pounds),24.00 litres (6.34 US gallons),4,,,,,,,,,,,,,,,,,,,
Yamaha XS 650 Special,1981,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Twin, four-stroke",48.0 HP (35.0  kW)) @ 7100 RPM,,156.0 km/h (96.9 mph),,8.4:1,75.0 x 74.0 mm (3.0 x 2.9 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,130/90-16 ,Single disc,Expanding brake,,,,,221.0 kg (487.2 pounds),12.00 litres (3.17 US gallons),2,,,,,,,,,,,,,,,,,,,
Dnepr MT-10 36,1981,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,,Shaft drive (cardan)   (final drive),,,,,,,Expanding brake,Expanding brake,,,,,,,,,,,,Dnepr made this bike in Kiev 1975-1984.,,,,,,,,,,,,,,
Suzuki GS 1100 E,1981,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,,221.0 km/h (137.3 mph),,9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,,,,259.0 kg (571.0 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,
Ducati 600 SL Pantah,1981,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",581.0 ccm (35.45 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 8500 RPM,,195.0 km/h (121.2 mph),,9.5:1,80.0 x 57.8 mm (3.1 x 2.3 inches),,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,,,3.25-18 ,3.50-18 ,Dual disc,Single disc,,,,,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 J,1981,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,,211.0 km/h (131.1 mph),,9.2:1,69.4 x 66.0 mm (2.7 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.25-18 ,Dual disc,Single disc,,,,,253.0 kg (557.8 pounds),21.00 litres (5.55 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CBX Pro Link,1981,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1046.0 ccm (63.83 cubic inches),"In-line six, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,,208.0 km/h (129.2 mph),,9.3:1,64.5 x 53.4 mm (2.5 x 2.1 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,130/90-18 ,Dual disc,Single disc,,,,,300.0 kg (661.4 pounds),22.00 litres (5.81 US gallons),4,,,,,,,,,,,,,,,,,,,
CZ 250-485,1981,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 5000 RPM,,103.0 km/h (64.0 mph),,8.0:1,66.0 x 72.0 mm (2.6 x 2.8 inches),,Port control,,Air,4-speed,Chain   (final drive),,,,,3.00-18 ,3.25-18 ,Expanding brake,Expanding brake,,,,,124.0 kg (273.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 S,1981,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,,155.0 km/h (96.3 mph),,10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),,Overhead Valves (OHV),,Air,6-speed,Chain   (final drive),,,,,3.25-18 ,4.10-18 ,Single disc,Expanding brake,,,,,160.0 kg (352.7 pounds),13.00 litres (3.43 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XS 750 Special,1981,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line three, four-stroke",69.0 HP (50.4  kW)) @ 8500 RPM,,175.0 km/h (108.7 mph),,9.2:1,68.0 x 68.6 mm (2.7 x 2.7 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,252.0 kg (555.6 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Yamaha XS 850,1981,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",826.0 ccm (50.40 cubic inches),"In-line three, four-stroke",79.0 HP (57.7  kW)) @ 8500 RPM,,196.0 km/h (121.8 mph),,9.2:1,71.5 x 68.6 mm (2.8 x 2.7 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,258.0 kg (568.8 pounds),24.00 litres (6.34 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CD 200 Road Master,1981,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",194.0 ccm (11.84 cubic inches),"Twin, four-stroke",16.5 HP (12.0  kW)) @ 9000 RPM,,112.5 km/h (69.9 mph),,,,Carburettor,Overhead Cams (OHC),Battery,Air,4-speed,Chain   (final drive),,,,,3.00-17 ,3.00-17 ,Expanding brake (drum brake),Expanding brake (drum brake),140.0 kg (308.6 pounds),0.1179 HP/kg,"Black, Black/Gray, Red, Blue",Electric & kick,,,2,,Wet Plate,,Steel,,,,2.35 litres/100 km (42.6 km/l or 100.09 mpg),54.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,
Honda CB 750 K,1981,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",77.0 HP (56.2  kW)) @ 9000 RPM,,200.0 km/h (124.3 mph),,9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Expanding brake,,,,,256.0 kg (564.4 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000 GL,1981,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,,192.0 km/h (119.3 mph),,9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,4.50-17 ,Dual disc,Single disc,,,,,273.0 kg (601.9 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 C Sport,1981,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",17.0 HP (12.4  kW)) @ 9300 RPM,,120.0 km/h (74.6 mph),,10.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Dual disc,Single disc,,,,,115.0 kg (253.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 LTD,1981,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 8500 RPM,,192.0 km/h (119.3 mph),,9.2:1,69.4 x 66.0 mm (2.7 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,130/90-16 ,Dual disc,Single disc,,,,,254.0 kg (560.0 pounds),15.00 litres (3.96 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 L,1981,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,141.0 km/h (87.6 mph),,9.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.60-19 ,4.60-16 ,Single disc,Expanding brake,,,,,186.0 kg (410.1 pounds),11.50 litres (3.04 US gallons),4,,,,,,,,,,,,,,,,,,,
Suzuki SR 370,1981,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,370.0 ccm (22.58 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5950 RPM,,108.0 km/h (67.1 mph),,8.9:1,85.0 x 65.2 mm (3.3 x 2.6 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,,,,,135.0 kg (297.6 pounds),8.00 litres (2.11 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CX 500 C (reduced effect),1981,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,140.0 km/h (87.0 mph),,10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),,Overhead Valves (OHV),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,3.50-19 ,130/90-16 ,Dual disc,Expanding brake,,,,,216.0 kg (476.2 pounds),11.00 litres (2.91 US gallons),4,,,,,,,,,,,,,,,,,,,
Laverda 1200 TS,1981,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1115.0 ccm (68.04 cubic inches),"In-line three, four-stroke",86.0 HP (62.8  kW)) @ 7350 RPM,,204.0 km/h (126.8 mph),,8.0:1,80.0 x 74.0 mm (3.1 x 2.9 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,4.10-18 ,4.25/85-18 ,Dual disc,Single disc,,,,,247.0 kg (544.5 pounds),19.50 litres (5.15 US gallons),2,,,,,,,,,,,,,,,,,,,
Triumph TR 7 T Tiger Trail,1981,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 6500 RPM,,155.0 km/h (96.3 mph),,9.3:1,76.0 x 82.0 mm (3.0 x 3.2 inches),,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,,,3.00-21 ,4.00-18 ,Single disc,Expanding brake,,,,,185.0 kg (407.9 pounds),12.50 litres (3.30 US gallons),2,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400 J,1981,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,154.0 km/h (95.7 mph),,9.5:1,52.0 x 47.0 mm (2.0 x 1.9 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.25-19 ,3.75-18 ,Dual disc,Expanding brake,,,,,210.0 kg (463.0 pounds),16.50 litres (4.36 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 650 G Katana,1981,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",674.0 ccm (41.13 cubic inches),"In-line four, four-stroke",73.0 HP (53.3  kW)) @ 9500 RPM,,197.0 km/h (122.4 mph),,9.4:1,62.0 x 55.8 mm (2.4 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,3.25-19 ,4.25-17 ,Dual disc,Single disc,,,,,239.0 kg (526.9 pounds),23.00 litres (6.08 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki TS 125 ER,1981,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6400 RPM,,110.0 km/h (68.4 mph),,6.7:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,,Air,6-speed,Chain   (final drive),,,,,2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,,,,,106.0 kg (233.7 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,
Kawasaki KE 175,1981,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,,113.0 km/h (70.2 mph),,6.0:1,62.5 x 57.0 mm (2.5 x 2.2 inches),,Membrane,,Air,5-speed,Chain   (final drive),,,,,2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,,,,,116.0 kg (255.7 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,
Benelli 254 Quattro,1981,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10500 RPM,,150.0 km/h (93.2 mph),,10.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,,,,122.0 kg (269.0 pounds),8.00 litres (2.11 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CM 250 TB,1981,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",,,,,,,Carburettor,,,Air,,,,,,,,,,,,,,,,,,,,,,"Couldn´t find this on your site (found CM 250 C etc.). Have owned this since 1981 (have pictures) less than 3000 miles on the clock. Cost just over £950 new. Basically the CB 250 engine, but customised with shorter exhausts etc.",,,,,,,,,,,,,,
Yamaha SR 500 S (spoked wheels),1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,,135.0 km/h (83.9 mph),,9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,4.00-18 ,Single disc,Expanding brake,,,,,174.0 kg (383.6 pounds),12.00 litres (3.17 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki RM 465,1981,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",464.0 ccm (28.31 cubic inches),"Single cylinder, two-stroke",,,138.4 km/h (86.0 mph),,6.4:1,86.0 x 80.0 mm (3.4 x 3.1 inches),Carburettor. Mikuni vm38ss,,Suzuki ´PEI´,Air,5-speed,Chain   (final drive),Telescopic pneumatic/coil spring,322 mm (12.7 inches),"Full-floating  gas/oil spring preset adjustable, damper 4-way adjustable",280 mm (11.0 inches),3.00-21 ,5.10-18 ,Expanding brake (drum brake). Internal expanding,Expanding brake (drum brake). Internal expanding,102.0 kg (224.9 pounds),,Yellow,Kick,109.7 kg (241.8 pounds),9.00 litres (2.38 US gallons),,Fuel/oil 20:1,Wet multi-plate type,Steel with silencer,Crmo steel,,"5-speed transmission, next model years had 4-speed.",,,,30.0°,122 mm (4.8 inches),,,,,1460 mm (57.5 inches),,,370 mm (14.6 inches)
Hercules K 125 Military,1981,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",12.5 HP (9.1  kW)) @ 7000 RPM,,94.0 km/h (58.4 mph),,9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,,,,,135.0 kg (297.6 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,
Honda CB 750 F,1981,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 9000 RPM,,203.0 km/h (126.1 mph),,9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.25-19 ,4.00-18 ,Dual disc,Single disc,,,,,253.0 kg (557.8 pounds),20.00 litres (5.28 US gallons),4,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35 Imola,1981,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,,150.0 km/h (93.2 mph),,10.8:1,66.0 x 50.6 mm (2.6 x 2.0 inches),,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,90/90-18 ,100/90-18 ,Dual disc,Single disc,,,,,181.0 kg (399.0 pounds),16.00 litres (4.23 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic,1981,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 5800 RPM,,165.0 km/h (102.5 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,,,MT 90-16 ,MT 90-16 ,Dual disc,Single disc,,,,,355.0 kg (782.6 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Moto Morini 125 T,1981,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",9.0 HP (6.6  kW)) @ 9000 RPM,,110.0 km/h (68.4 mph),,11.7:1,59.0 x 45.0 mm (2.3 x 1.8 inches),,Overhead Valves (OHV),,Air,6-speed,Chain   (final drive),,,,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,,,,,115.0 kg (253.5 pounds),12.00 litres (3.17 US gallons),2,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHC 1340 Electra Glide Classic (with sidecar),1981,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6000 RPM,,125.0 km/h (77.7 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,,,MT 90-16 ,MT 90-16 ,Single disc,Single disc,,,,,450.0 kg (992.1 pounds),19.00 litres (5.02 US gallons),2,,,,,,,,,,,,,,,,,,,
Suzuki GS 450 L,1981,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",448.0 ccm (27.34 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 9000 RPM,,165.0 km/h (102.5 mph),,9.0:1,71.0 x 56.6 mm (2.8 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,,,3.60-19 ,4.60-16 ,Single disc,Expanding brake,,,,,189.0 kg (416.7 pounds),11.00 litres (2.91 US gallons),2,,,,,,,,,,,,,,,,,,,
Honda CB 1100 R,1981,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1062.0 ccm (64.80 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 9000 RPM,,,,10.0:1,70.0 x 69.0 mm (2.8 x 2.7 inches),,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,130/90-18 ,Dual disc,Single disc,,,,,259.0 kg (571.0 pounds),26.00 litres (6.87 US gallons),4,,,,,,,,,,,,,,,,,,,
Cagiva SST 125,1981,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7000 RPM,,104.0 km/h (64.6 mph),,10.8:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Port control,,Air,5-speed,Chain   (final drive),,,,,3.00-19 ,3.50-18 ,Single disc,Expanding brake,,,,,116.0 kg (255.7 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000 S,1981,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,,216.0 km/h (134.2 mph),,9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,3.50-19 ,4.25/85-18 ,Dual disc,Single disc,,,,,255.0 kg (562.2 pounds),20.00 litres (5.28 US gallons),2,,,,,,,,,,,,,,,,,,,
