Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Front percentage of weight,Rear percentage of weight,Seat height,Wheelbase,Fuel capacity,Color options,Starter,Comments,Valves per cylinder,Overall height,Overall length,Overall width,Lubrication system,Front wheel travel,Rear wheel travel,Ground clearance,Oil capacity,0-100 km/h (0-62 mph),"Weight incl. oil, gas, etc",Reserve fuel capacity,Max RPM,Alternate seat height,Modifications compared to previous model,Electrical,Driveline,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Fork tube size,Battery,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Wheels,Seat,Factory warranty,Instruments,Engine details
Precision Cycle Works Detroit Chopper Softtail,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1573.3 ccm (96.00 cubic inches),"V2, four-stroke",,,,,,,,,Air,6-speed,,,,,PRC Custom,,40.0°,,,,90/90-21 ,250-18 ,Single disc,,Single disc,,,,,,,,,,S and S engine. Carbon fiber composite gas tank. Wire wheels. Otional billet wheels with matching rotors and belt drive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Dog K-9,2009,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1917.0 ccm (116.98 cubic inches),"V2, four-stroke",,,,9.6:1,,Carburettor,Overhead Valves (OHV),Electronic Single Fire,,6-speed,Belt   (final drive),,,,,,39.0°,110 mm (4.4 inches),41 mm Telescopic,,MH90-21 ,300/35-18 ,Single disc. 4-piston,,Single disc. 4-piston,318.0 kg (701.1 pounds),,,,"616 mm (24.3 inches) If adjustable, lowest setting.",2083 mm (82.0 inches),16.65 litres (4.40 US gallons),,,,,,2743 mm (108.0 inches),,,,,115 mm (4.5 inches),2.80 litres (2.96 US quarts),,,1.51 litres (0.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota DB7,2009,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1098.0 ccm (67.00 cubic inches),"V2, four-stroke",95.0 HP (69.3  kW)) @ 7000 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 5500 RPM,,12.5:1,104.0 x 64.5 mm (4.1 x 2.5 inches),"Injection. Walbro electronic fule injection, 60 mm throttle body",Desmodromic valve control,,Liquid,6-speed,Chain   (final drive),"Dry, multi-disc",,,"2 in 1 in 1, inox. Euro 3.",,25.0°,,Upside-down Marzocchi Fork Full Adjustable,Monoshock Extreme Tech Full Adjustable,120/70-ZR17 ,180/55-ZR17 ,"Double disc. Floating discs Brembo, Radial Caliper Brembo 4-Pistons, 4-Pads",230 mm (9.1 inches),"Single disc. Bimoto 2-pistons, 2-pads Brembo callipers",170.0 kg (374.8 pounds),0.5588 HP/kg,51.0,49.0,"800 mm (31.5 inches) If adjustable, lowest setting.",1435 mm (56.5 inches),16.00 litres (4.23 US gallons),Red/white,,,4,1115 mm (43.9 inches),2100 mm (82.7 inches),700 mm (27.6 inches),Wet sump,120 mm (4.7 inches),120 mm (4.7 inches),135 mm (5.3 inches),,,,4.00 litres (1.06 US gallons),10700,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Prairie 360 4x4 Camo,2009,ATV," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",362.0 ccm (22.09 cubic inches),"Single cylinder, four-stroke",,,,8.3:1,80.0 x 72.0 mm (3.1 x 2.8 inches),Carburettor. Keihin CVK34,Single Overhead Cams (SOHC),,Air,Automatic,Shaft drive (cardan)   (final drive),,,,,Double cradle steel,,,MacPherson strut / 6.7 in.,"Swingarm with single shock, preload adjustment / 7.1 in.",25/8-12 (AT) ,25/10-12 (AT) ,Double disc,,Single disc,290.1 kg (639.5 pounds),,,,"904 mm (35.6 inches) If adjustable, lowest setting.",1252 mm (49.3 inches),13.62 litres (3.60 US gallons),Camoflage,,"Selectable four-wheel drive with Variable Front Differential Control. Continuously variable transmission with Kawasaki Engine Brake Control, high and low range, plus reverse.",,,2065 mm (81.3 inches),1204 mm (47.4 inches),,,,249 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN1700 Classic,2009,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1700.0 ccm (103.73 cubic inches),"V2, four-stroke",,135.0 Nm (13.8 kgf-m or 99.6 ft.lbs) @ 2750 RPM,,9.5:1,102.0 x 104.0 mm (4.0 x 4.1 inches),"Injection. Digital fuel injection, dual 42mm throttle bodies",Single Overhead Cams (SOHC),,Liquid,6-speed,Shaft drive (cardan)   (final drive),"Wet multi-disc, manual",,,,"Double-cradle, steel",30.0°,,43mm hydraulic fork,"Swingarm with twin air-assisted shocks, with 4-way rebound damping",130/90-16 ,170/70-16 ,Double disc,,Single disc,,,,,"721 mm (28.4 inches) If adjustable, lowest setting.",1666 mm (65.6 inches),20.06 litres (5.30 US gallons),Black,Electric,,4,1156 mm (45.5 inches),2499 mm (98.4 inches),1026 mm (40.4 inches),"Forced lubrication, semi-dry sump",140 mm (5.5 inches),79 mm (3.1 inches),130 mm (5.1 inches),,,345.0 kg (760.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Adly Noble 50,2009,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",3.7 HP (2.7  kW)) @ 5500 RPM,4.8 Nm (0.5 kgf-m or 3.5 ft.lbs) @ 5500 RPM,62.0 km/h (38.5 mph),7.2:1,,Carburettor,Single Overhead Cams (SOHC),C.D.I.,Air,Automatic,Belt   (final drive),,,,,,,,Grease shock absorber,Hydraulic shock absorber,120/70-12 ,130/60-13 ,Single disc,,Expanding brake (drum brake),77.0 kg (169.8 pounds),0.0477 HP/kg,,,,1250 mm (49.2 inches),,Silver,Electric & kick,Made in Taiwan.,,1160 mm (45.7 inches),1780 mm (70.1 inches),675 mm (26.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Big Bear 400 4x4 IRS,2009,ATV," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",386.0 ccm (23.55 cubic inches),"Single cylinder, four-stroke",,,,8.6:1,83.0 x 71.5 mm (3.3 x 2.8 inches),Carburettor. Mikuni® 33mm BSR,Single Overhead Cams (SOHC),DC-CDI,Oil & air,5-speed,Shaft drive (cardan)   (final drive),,,,,,,,Independent double wishbone,Independent double wishbone,25/7-AT12 ,25/10-AT12 ,Double disc,,Double disc,269.0 kg (593.0 pounds),,,,"894 mm (35.2 inches) If adjustable, lowest setting.",1229 mm (48.4 inches),15.14 litres (4.00 US gallons),"Black Metalic, Hunter Green, Steel Blue, Realtree® AP HD® Camouflage",Electric,"Pushbutton; 3-way locking differential; 2WD, 4WD, locked 4WD; shaft drive.",,1186 mm (46.7 inches),2017 mm (79.4 inches),1115 mm (43.9 inches),,127 mm (5.0 inches),127 mm (5.0 inches),267 mm (10.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adly Super Sonic 50,2009,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",3.7 HP (2.7  kW)) @ 5500 RPM,,,7.2:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,Single Overhead Cams (SOHC),C.D.I.,Air,Automatic,Belt   (final drive),,,,,,,,Up side Down Grease Shock Absorber,Hydraulic Shock Absorber,120/70-12 ,120/70-12 ,Double disc,,Expanding brake (drum brake),77.0 kg (169.8 pounds),0.0481 HP/kg,,,,,,,Electric & kick,Scooter made in Taiwan.,,1160 mm (45.7 inches),1780 mm (70.1 inches),675 mm (26.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BamX BX125-DB1 Enforcer,2009,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",6.5 HP (4.7  kW)),8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5500 RPM,,9.0:1,52.4 x 57.0 mm (2.1 x 2.2 inches),Carburettor,,CDI,Air,4-speed,Chain   (final drive),Manual,,,,,,,Dual Front Inverted Forks,"Swing Arm, Mono Shock",2.50-10 ,2.75-10 ,Single disc,,Single disc,56.7 kg (125.0 pounds),0.1147 HP/kg,,,"762 mm (30.0 inches) If adjustable, lowest setting.",1041 mm (41.0 inches),,Black,Kick,,,,,,Pressure/Splash,,,305 mm (12.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Rocket III Classic,2009,Classic," 2.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",2294.0 ccm (139.98 cubic inches),"In-line three, four-stroke",,,,8.7:1,101.6 x 94.3 mm (4.0 x 3.7 inches),Injection. Multipoint sequential electonic fuel injection twin butterflies. progressive linkage on primary butterflies,Double Overhead Cams/Twin Cam (DOHC),,Liquid,5-speed,Shaft drive (cardan)   (final drive),Wet. multi-plate,,,,,32.0°,152 mm (6.0 inches),Kayaba 43mm upside down forks. 120mm travel,Kayaba chromed spring twin shocks with 5 position adjustable preload. 105mm wheel travel,150/80-R17 ,240/50-R16 ,Double disc,316 mm (12.4 inches),Single disc,320.0 kg (705.5 pounds),,,,"740 mm (29.1 inches) If adjustable, lowest setting.",1695 mm (66.7 inches),24.00 litres (6.34 US gallons),"Pacific Blue/Aluminium Silver, Cherry Red/New England White",,,,1165 mm (45.9 inches),2500 mm (98.4 inches),970 mm (38.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Vegas,2009,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1638.8 ccm (100.00 cubic inches),"V2, four-stroke",,,,8.7:1,101.0 x 102.0 mm (4.0 x 4.0 inches),Injection. Electronic with 45mm throttle bodies,Single Overhead Cams (SOHC),,Air,6-speed,Belt   (final drive),"Wet, multi-plate",,,Staggered slash-cut dual exhaust with crossover,,32.9°,126 mm (5.0 inches),"Conventional telescopic fork, 43mm diameter, 5.1in/130mm travel","Single, mono-tube gas,cast aluminum with rising rate linkage , 3.9in/100mm travel, preload adjustable spring",90/90-21 ,180/55-B18 ,Single disc. 4-piston caliper,300 mm (11.8 inches),Single disc. 2-piston caliper,291.0 kg (641.5 pounds),,,,"673 mm (26.5 inches) If adjustable, lowest setting.",1684 mm (66.3 inches),17.03 litres (4.50 US gallons),"Solid Black, Solid Blue Ice, Solid Pearl White, Solid Sunset Red. 2 tone Midnight Cherry/Pearl White w/ Carbon stripe, 2 tone Blue Ice/Pearl White w/Carbon stripe.",Electric,,4,,2438 mm (96.0 inches),,,130 mm (5.1 inches),100 mm (3.9 inches),147 mm (5.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polaris Sportsman XP 850 EFI,2009,ATV," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",850.0 ccm (51.87 cubic inches),"Twin, four-stroke",,,,,,"Carburettor. 40mm Dual-Throttle Bodies, EFI",Single Overhead Cams (SOHC),,Liquid,,Shaft drive (cardan)   (final drive),,,,,,,,Short Long Arm (SLA) 9´ / 22.9 cm travel,Short Long Arm (SLA) 10.25´ / 26.0 cm travel,26-8R14 ,26-10R14 ,Single disc. Single-Lever Hydraulic 4-wheel disc,,,355.6 kg (784.0 pounds),,,,"940 mm (37.0 inches) If adjustable, lowest setting.",1346 mm (53.0 inches),19.90 litres (5.26 US gallons),"Stealth Black, Sunset Red,
Sagebrush Green, Mossy Oak Break-Up. Standard Paint or Camo.",Electric,"Automatic PVT, 2WD/AWD/AWD with ADC.",,1289 mm (50.7 inches),2114 mm (83.2 inches),1209 mm (47.6 inches),,,,305 mm (12.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic XOR 50,2009,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",1.5 HP (1.1  kW)) @ 5000 RPM,3.2 Nm (0.3 kgf-m or 2.3 ft.lbs) @ 4000 RPM,,,,Carburettor,,,Liquid,Automatic,Belt   (final drive),,,,,,,,,,120/70-12 ,120/70-12 ,,,,96.0 kg (211.6 pounds),0.0160 HP/kg,,,,1275 mm (50.2 inches),15.14 litres (4.00 US gallons),"Blue, white, black",Electric & kick,,,1085 mm (42.7 inches),1770 mm (69.7 inches),702 mm (27.6 inches),Fresh oil lubrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi DH 2.0,2009,Prototype / concept model," 3.5  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",96.2 ccm (5.87 cubic inches),"Single cylinder, four-stroke",10.7 HP (7.8  kW)) @ 8500 RPM,7.1 Nm (0.7 kgf-m or 5.2 ft.lbs) @ 6000 RPM,,11.0:1,50.0 x 49.0 mm (2.0 x 1.9 inches),,,,Air,1-speed,Chain   (final drive),Wet automatic centrifugal,,,,Aluminium. Integrated fuel tank,,,38 upside down fork. 200 mm travel,"Air monoshock, and flexible carbon cantilever. Wheel travel 150 mm",,,Single disc,,Single disc,40.0 kg (88.1 pounds),0.2683 HP/kg,,,,1296 mm (51.0 inches),2.00 litres (0.53 US gallons),,Kick,,,,,710 mm (28.0 inches),Dry sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 800 ST,2009,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",798.0 ccm (48.69 cubic inches),"Twin, four-stroke",83.8 HP (61.2  kW)) @ 8000 RPM,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 5800 RPM,200.0 km/h (124.3 mph),12.0:1,82.0 x 75.6 mm (3.2 x 3.0 inches),Injection. Electronic intake pipe injection / digital engine management (BMS-K),Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Belt   (final drive),"Multiple-disc clutch in oil bath, mechanically operated",3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-loop 3-way catalytic converter, emission standard EU-3","Bridge-type aluminium frame, load-bearing engine",25.8°,95 mm (3.7 inches),"Telescopic fork, Ø 43 mm","Cast aluminium single-sided swing arm with eccentric adjustment for rear axle, central spring strut, spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",120/70-ZR17 ,180/55-ZR17 ,Double disc. Optional ABS,265 mm (10.4 inches),Single disc. Optional ABS,182.0 kg (401.2 pounds),0.4605 HP/kg,,,"820 mm (32.3 inches) If adjustable, lowest setting.",1466 mm (57.7 inches),16.00 litres (4.23 US gallons),"Champagne metallic, Night blue metallic",,,4,,2082 mm (82.0 inches),860 mm (33.9 inches),Dry sump,140 mm (5.5 inches),140 mm (5.5 inches),,,,201.0 kg (443.1 pounds),2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,
Adly Thunder 50,2009,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",3.7 HP (2.7  kW)) @ 5500 RPM,3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 5500 RPM,,7.2:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,,CDI,Air,Automatic,Belt   (final drive),,,,,,,,Up side Down Grease Shock Absorber,Hydraulic Shock Absorber,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),77.0 kg (169.8 pounds),0.0481 HP/kg,,,,1250 mm (49.2 inches),,Blue,Electric & kick,Scooter made in Taiwan,,1160 mm (45.7 inches),1780 mm (70.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Why,2009,Scooter," 2.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",3.2 HP (2.3  kW)) @ 6500 RPM,3.5 Nm (0.4 kgf-m or 2.6 ft.lbs) @ 6250 RPM,,7.3:1,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,,CDI,Air,Automatic,Belt   (final drive),,,,,,,,Telescopic fork,Unit swing,70/90-16 ,80/90-16 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,,,"765 mm (30.1 inches) If adjustable, lowest setting.",1294 mm (50.9 inches),7.00 litres (1.85 US gallons),,Electric & kick,,,1105 mm (43.5 inches),1940 mm (76.4 inches),685 mm (27.0 inches),Separate lubrication,80 mm (3.1 inches),70 mm (2.8 inches),125 mm (4.9 inches),,,78.0 kg (172.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Pag Barhog,2009,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",300.0 ccm (18.31 cubic inches),"Twin, four-stroke",23.8 HP (17.4  kW)) @ 6500 RPM,18.5 Nm (1.9 kgf-m or 13.6 ft.lbs) @ 6500 RPM,,10.2:1,57.0 x 53.0 mm (2.2 x 2.1 inches),Carburettor. Dual 26mm Keihin Vacuum Carburetor,Double Overhead Cams/Twin Cam (DOHC),,Liquid,5-speed,Chain   (final drive),Multiplate oil bath,3.61 litres/100 km (27.7 km/l or 65.16 mpg),83.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,36.0°,,39 mm forks,"Dual shocks, fully-adjustable.",90/90-21 ,160/90-18 ,Double disc,,Single disc,,,,,"610 mm (24.0 inches) If adjustable, lowest setting.",1626 mm (64.0 inches),,Black,Electric,,2,,,,Forced Lubrication,,,152 mm (6.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung TE 100R,2009,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,99.0 ccm (6.04 cubic inches),"Single cylinder, two-stroke",,,,,,Carburettor,,,Air,,,,,,,,,,,,18/7-7 ,18/7-7 ,Expanding brake (drum brake),,Single disc,100.0 kg (220.5 pounds),,,,,950 mm (37.4 inches),,Red/black,Electric & kick,,,865 mm (34.1 inches),1355 mm (53.3 inches),820 mm (32.3 inches),,,,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki 1400 GTR,2009,Sport touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1352.0 ccm (82.50 cubic inches),"In-line four, four-stroke",,136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 6200 RPM,,10.7:1,84.0 x 61.0 mm (3.3 x 2.4 inches),Injection. Digital,Double Overhead Cams/Twin Cam (DOHC),TCBI with Digital Advance,Liquid,6-speed,Shaft drive (cardan)   (final drive),"Wet multi-disc, manual",,,,"Monocoque, pressed-aluminium",26.1°,112 mm (4.4 inches),"43mm inverted, telescopic fork with adjustable rebound damping and spring preload / 4.4 in.",Tetra-Lever with stepless rebound damping adjustment and remote spring preload adjuster / 5.4 in.,120/70-ZR17 ,190/50-ZR17 ,Double disc,270 mm (10.6 inches),Single disc,304.0 kg (670.3 pounds),,,,"815 mm (32.1 inches) If adjustable, lowest setting.",1519 mm (59.8 inches),21.95 litres (5.80 US gallons),"Blue, gray",Electric,,4,,2271 mm (89.4 inches),780 mm (30.7 inches),"Forced lubrication, wet sump",,,125 mm (4.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motom TranCity 250,2009,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",,,,,,Carburettor,Single Overhead Cams (SOHC),,Liquid,Automatic,Belt   (final drive),,,,,,,,,,,,Single disc,,Single disc,155.0 kg (341.7 pounds),,,,,,,White/red,Electric,Italian made scooter.,,1206 mm (47.5 inches),2225 mm (87.6 inches),753 mm (29.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ6,2009,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",76.4 HP (55.8  kW)),59.7 Nm (6.1 kgf-m or 44.0 ft.lbs) @ 6100 RPM,,12.2:1,65.5 x 44.5 mm (2.6 x 1.8 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI,Liquid,6-speed,Chain   (final drive),"Wet, multiple-disc",,,,"Steel, diamond shaped",,104 mm (4.1 inches),Telescopic fork,Swingarm (monocross),120/70-ZR17 ,160/60-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,,,,"785 mm (30.9 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),17.30 litres (4.57 US gallons),"White, yellow, black",Electric,,,1085 mm (42.7 inches),2120 mm (83.5 inches),770 mm (30.3 inches),Wet sump,130 mm (5.1 inches),130 mm (5.1 inches),140 mm (5.5 inches),3.40 litres (3.59 US quarts),,205.0 kg (451.9 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Garelli Tiesse 50 4T,2009,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",3.0 HP (2.2  kW)) @ 7500 RPM,3.9 Nm (0.4 kgf-m or 2.9 ft.lbs) @ 4500 RPM,,10.0:1,,Carburettor,,CDI,Air,Automatic,Belt   (final drive),,,,Euro II,,,,Telecopic fork,Monoshock,120/70-12 ,130/70-12 ,Single disc,170 mm (6.7 inches),Expanding brake (drum brake),88.0 kg (194.0 pounds),0.0335 HP/kg,,,,,5.00 litres (1.32 US gallons),"Red/black, silver/grey, silver/black",Electric & kick,,,1130 mm (44.5 inches),1855 mm (73.0 inches),780 mm (30.7 inches),,70 mm (2.8 inches),50 mm (2.0 inches),,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garelli Tiesse 125 4T,2009,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",8.7 HP (6.4  kW)) @ 8000 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 6500 RPM,,9.2:1,,,,CDI,Air,Automatic,Belt   (final drive),,,,Euro III,,,,Telecopic fork,Monoshock,120/70-12 ,130/70-12 ,Single disc,170 mm (6.7 inches),Expanding brake (drum brake),102.0 kg (224.9 pounds),0.0854 HP/kg,,,,1270 mm (50.0 inches),5.00 litres (1.32 US gallons),"Red/black, silver/grey, silver/black",Electric & kick,,,1150 mm (45.3 inches),1820 mm (71.7 inches),660 mm (26.0 inches),,70 mm (2.8 inches),50 mm (2.0 inches),,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 450 F Monster Energy,2009,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,,12.5:1,96.0 x 62.1 mm (3.8 x 2.4 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Digital DC-CDI,Liquid,5-speed,,,,,,"Steel, double-cradle with box-section single-tube backbone",26.7°,,"48mm inverted, Kayaba AOS with DLC coated sliders, 22-position compression and 20-position rebound dampening adjustment / 12.4 in.","UNI-TRAK linkage system and Kayaba shock with 22-position low-speed and stepless high-speed compression dampening, 22-position rebound dampening and fully adjustable spring preload / 12.4 in.",90/80-21 ,120/80-19 ,Single disc. Two-piston calipers,240 mm (9.4 inches),Single disc,,,,,"965 mm (38.0 inches) If adjustable, lowest setting.",1481 mm (58.3 inches),7.00 litres (1.85 US gallons),Ebony,,,4,,2184 mm (86.0 inches),820 mm (32.3 inches),,,,340 mm (13.4 inches),,,112.1 kg (247.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT125X,2009,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.8 HP (7.1  kW)) @ 10000 RPM,10.1 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 5500 RPM,,10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,Single Overhead Cams (SOHC),CDI,Air,5-speed,,"Wet, multiple disc",,,,,,78 mm (3.1 inches),Telescopic forks,Swingarm,100/80-S17 ,130/70-S17 ,Single disc,220 mm (8.7 inches),Single disc,,,,,"860 mm (33.9 inches) If adjustable, lowest setting.",1335 mm (52.6 inches),9.00 litres (2.38 US gallons),,Electric & kick,,,,2050 mm (80.7 inches),800 mm (31.5 inches),Wet sump,175 mm (6.9 inches),190 mm (7.5 inches),190 mm (7.5 inches),1.20 litres (1.27 US quarts),,120.0 kg (264.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSR600,2009,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 12000 RPM,64.4 Nm (6.6 kgf-m or 47.5 ft.lbs) @ 9600 RPM,214.0 km/h (133.0 mph),12.5:1,67.0 x 42.5 mm (2.6 x 1.7 inches),Injection. 38 mm,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorised),Liquid,6-speed,Chain   (final drive),,,,,,,,"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",120/70-ZR17 ,180/55-ZR17 ,Double disc. 4-piston caliper,240 mm (9.4 inches),Single disc. 1-piston calipers,183.0 kg (403.4 pounds),0.4918 HP/kg,,,"785 mm (30.9 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),16.50 litres (4.36 US gallons),,Electric,,,1075 mm (42.3 inches),2090 mm (82.3 inches),795 mm (31.3 inches),Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clipic Spillo 49,2009,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,,,Carburettor,,Electronic magnetic ignition,Air,Automatic,,Centrifugue,1.30 litres/100 km (76.9 km/l or 180.94 mpg),30.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Dual shock,Single shock,90/90-10 ,90/90-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),53.0 kg (116.8 pounds),,,,"630 mm (24.8 inches) If adjustable, lowest setting.",,3.00 litres (0.79 US gallons),Black/red,Electric & kick,,,980 mm (38.6 inches),1460 mm (57.5 inches),620 mm (24.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagsta Cruisa 250,2009,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",,,,,,Carburettor,,,,5-speed,Chain   (final drive),,,,,,,,,,,,Single disc,,Single disc,,,,,"660 mm (26.0 inches) If adjustable, lowest setting.",,,"Red, black, silver",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
