Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Starter,Clutch,Frame type,Rear suspension,Dry weight,Power/weight ratio,Color options,Max RPM,Ignition,Exhaust system,Oil capacity,Torque,Rake (fork angle),Trail,Seat height,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Lubrication system,Fuel consumption,Greenhouse gases,Front suspension,Front wheel travel,Rear wheel travel,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Modifications compared to previous model,Diameter,Reserve fuel capacity,Comments,"60-140 km/h (37-87 mph), highest gear",Emission details,Wheels,Seat,Front percentage of weight,Rear percentage of weight,Alternate seat height,Instruments,Electrical,Light,Carrying capacity
Chang-Jiang 750 BG (with sidecar),1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",27.0 HP (19.7  kW)) @ 5000 RPM,110.0 km/h (68.4 mph),7.0:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive,1988,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",34.0 HP (24.8  kW)) @ 10000 RPM,152.0 km/h (94.4 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 250,1988,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"In-line four, four-stroke",45.0 HP (32.8  kW)) @ 14500 RPM,180.0 km/h (111.8 mph),12.0:1,48.0 x 34.5 mm (1.9 x 1.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/80-17  52H ,120/80-17  61H ,Single disc. 4-piston calipers,Single disc. 2-piston calipers,,12.00 litres (3.17 US gallons),Carburettor. MIKUNI  BDS26,Electric,Wet plate,Steel,,141.0 kg (310.9 pounds),0.3191 HP/kg,,17000,,4 in to 1  with EXUP valve,,25.0 Nm (2.5 kgf-m or 18.4 ft.lbs) @ 11500 RPM,25.5°,88 mm (3.5 inches),"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,1120 mm (44.1 inches),2010 mm (79.1 inches),680 mm (26.8 inches),135 mm (5.3 inches),1375 mm (54.1 inches),,210 mm (8.3 inches),2.00 litres (0.53 US gallons),Only released in Japan but used bikes were exported to many countries as ´grey import´,,,,,,,,,,,
Kawasaki GPZ 550,1988,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",65.0 HP (47.4  kW)) @ 10500 RPM,196.0 km/h (121.8 mph),10.0:1,58.0 x 52.4 mm (2.3 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600,1988,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,146.0 km/h (90.7 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 600 LC 4,1988,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 7000 RPM,162.0 km/h (100.7 mph),10.0:1,95.0 x 78.0 mm (3.7 x 3.1 inches),4,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-18 ,Single disc,Single disc,134.0 kg (295.4 pounds),8.70 litres (2.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S (reduced effect),1988,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9300 RPM,187.0 km/h (116.2 mph),10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,120/90-16 ,Single disc,Expanding brake,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 Le Mans V,1988,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",81.0 HP (59.1  kW)) @ 7400 RPM,214.0 km/h (133.0 mph),9.8:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1988,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,142.0 km/h (88.2 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Single disc,Expanding brake,167.0 kg (368.2 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 TS (with sidecar),1988,Classic," 2.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),10.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3 50-18 ,Expanding brake,Expanding brake,223.0 kg (491.6 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS ABS,1988,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",980.0 ccm (59.80 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,,10.0:1,,,,,,,,,,,,,,,,,,,,,8650,,,,86.0 Nm (8.8 kgf-m or 63.4 ft.lbs) @ 6000 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80,1988,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,181.0 km/h (112.5 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,207.0 kg (456.4 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger,1988,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Dual disc,Single disc,195.0 kg (429.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva T4 350 E,1988,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,145.0 km/h (90.1 mph),9.5:1,82.0 x 65.0 mm (3.2 x 2.6 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 Z Ténéré,1988,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,186.0 kg (410.1 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650 (reduced effect),1988,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5800 RPM,136.0 km/h (84.5 mph),9.5:1,100.0 x 83.0 mm (3.9 x 3.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,189.0 kg (416.7 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C,1988,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5500 RPM,163.0 km/h (101.3 mph),8.5:1,87.5 x 91.4 mm (3.4 x 3.6 inches),3,Overhead Cams (OHC),Liquid,4-speed,Shaft drive (cardan)   (final drive),110/90-19 ,170/80-15 ,Single disc,Expanding brake,265.0 kg (584.2 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 V Transalp (reduced effect),1988,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,163.0 km/h (101.3 mph),9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Expanding brake,205.0 kg (451.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 450 LTD,1988,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",454.0 ccm (27.70 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9500 RPM,162.0 km/h (100.7 mph),10.7:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,199.0 kg (438.7 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuareg 600 Wind,1988,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 7000 RPM,175.0 km/h (108.7 mph),9.4:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,130/80-17 ,Single disc,Single disc,178.0 kg (392.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 501-2 Camel,1988,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",507.0 ccm (30.94 cubic inches),"V2, four-stroke",41.0 HP (29.9  kW)) @ 8500 RPM,149.0 km/h (92.6 mph),11.5:1,71.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Single disc,189.0 kg (416.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXLR 1340 Low Rider Custom,1988,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,165.0 km/h (102.5 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-21 ,MT 90-16 ,Single disc,Single disc,280.0 kg (617.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 F1,1988,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,206.0 km/h (128.0 mph),9.3:1,88.0 x 61.5 mm (3.5 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,189.0 kg (416.7 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 600 R (reduced effect #2),1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,161.0 km/h (100.0 mph),11.0:1,60.0 x 52.4 mm (2.4 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/90-16 ,130/90-16 ,Dual disc,Single disc,217.0 kg (478.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 (reduced effect),1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,136.0 km/h (84.5 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,148.0 kg (326.3 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RG 250 Gamma,1988,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",45.0 HP (32.8  kW)) @ 8500 RPM,172.0 km/h (106.9 mph),7.1:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane & variable discharge openings,Liquid,6-speed,Chain   (final drive),100/90-16 ,100/90-18 ,Dual disc,Single disc,153.0 kg (337.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donghai 350 F3,1988,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 9700 RPM,164.0 km/h (101.9 mph),10.0:1,66.0 x 51.0 mm (2.6 x 2.0 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-16 ,120/80-18 ,Dual disc,Single disc,190.0 kg (418.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 750 Twin,1988,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",65.0 HP (47.4  kW)) @ 7500 RPM,185.0 km/h (115.0 mph),10.3:1,84.9 x 66.2 mm (3.3 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/90-15 ,Dual disc,Expanding brake,244.0 kg (537.9 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1100 G,1988,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",94.0 HP (68.6  kW)) @ 8000 RPM,207.0 km/h (128.6 mph),8.3:1,72.0 x 66.0 mm (2.8 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,268.0 kg (590.8 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 450 LTD (reduced effect),1988,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,454.0 ccm (27.70 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,132.0 km/h (82.0 mph),10.1:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,199.0 kg (438.7 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera XR1-125,1988,Enduro / offroad," 4.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",22.7 HP (16.6  kW)) @ 9500 RPM,134.9 km/h (83.8 mph),,56.0 x 50.5 mm (2.2 x 2.0 inches),,,Liquid,6-speed,Chain   (final drive),,,Single disc,Single disc,141.0 kg (310.9 pounds),22.00 litres (5.81 US gallons),Carburettor. Dell´Ortho,Electric & kick,,,Boge single shock,,,,,,,,,,,,,17.00 seconds,,5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Paioli upside down forks, 230mm wheel travel",230 mm (9.1 inches),,,,,,,,,,,,,,,,,,,,,
Honda VF 750 C Super Magna V45,1988,Custom / cruiser," 4.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",79.0 HP (57.7  kW)) @ 9250 RPM,198.0 km/h (123.0 mph),8.0:1,,4,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,Single disc,Expanding brake (drum brake),,13.10 litres (3.46 US gallons),,Electric,,,,228.0 kg (502.7 pounds),0.3465 HP/kg,,12000,,,,,,,,,,,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,2.30 litres (0.61 US gallons),,,,,,,,,,,,
Suzuki GSX-R 750 (reduced effect),1988,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10200 RPM,230.0 km/h (142.9 mph),10.9:1,73.0 x 44.7 mm (2.9 x 1.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),120/70-17 ,160/60-17 ,Dual disc,Single disc,228.0 kg (502.7 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive (reduced effect),1988,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",306.0 ccm (18.67 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,140.0 km/h (87.0 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Hugger,1988,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,151.0 km/h (93.8 mph),9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,223.0 kg (491.6 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 R - RC 30 (reduced effect),1988,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,748.0 ccm (45.64 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 11000 RPM,234.0 km/h (145.4 mph),11.0:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-18 ,Dual disc,Single disc,210.0 kg (463.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250,1988,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5200 RPM,130.0 km/h (80.8 mph),10.0:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.50-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera 500 Dakota,1988,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 7250 RPM,150.0 km/h (93.2 mph),9.5:1,92.0 x 74.0 mm (3.6 x 2.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90190-21 ,4.60-17/62 ,Single disc,Expanding brake,181.0 kg (399.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Hugger (reduced effect),1988,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4800 RPM,,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,223.0 kg (491.6 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Mille GT (reduced effect),1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,156.0 km/h (96.9 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,Dual disc,Single disc,246.0 kg (542.3 pounds),22.50 litres (5.94 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang SM 750 (with sidecar),1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, four-stroke",26.0 HP (19.0  kW)) @ 4500 RPM,119.0 km/h (73.9 mph),7.0:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),4.00-17 ,4.00-17 ,Expanding brake,Expanding brake,400.0 kg (881.8 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic 125 Sport HP 1 (reduced effect),1988,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,125.0 km/h (77.7 mph),12.0:1,55.2 x 52.0 mm (2.2 x 2.0 inches),,Port control,Liquid,6-speed,Chain   (final drive),3.25-16 ,3.25-18 ,Dual disc,Expanding brake,110.0 kg (242.5 pounds),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZX 750,1988,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",94.0 HP (68.6  kW)) @ 9500 RPM,216.0 km/h (134.2 mph),11.2:1,68.0 x 51.6 mm (2.7 x 2.0 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/90-16 ,140/90-15 ,Dual disc,Single disc,225.0 kg (496.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
