Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Starter,"Weight incl. oil, gas, etc",Top speed,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Diameter,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Oil capacity,Color options,Comments,Engine oil,Oil filter,Chain size,Chain links,Sprockets,Clutch,Exhaust system,Ground clearance,Reserve fuel capacity,Modifications compared to previous model,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,Max RPM,Rake (fork angle),Trail,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Coolant,Tire pressure front,Tire pressure rear,"60-140 km/h (37-87 mph), highest gear"
Harley-Davidson Electra Glide Standard,1996,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",61.2 HP (44.7  kW)) @ 5000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3000 RPM,2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,322.0 kg (709.9 pounds),0.1901 HP/kg,"779 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 N,1996,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",598.0 ccm (36.49 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 8500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 7500 RPM,2,,6-speed,,Single disc,Single disc,187.0 kg (412.3 pounds),0.3262 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 600,1996,Sport touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 11500 RPM,62.8 Nm (6.4 kgf-m or 46.3 ft.lbs) @ 9500 RPM,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,196.0 kg (432.1 pounds),0.5102 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Saxon Voyager 500,1996,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)),35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 6500 RPM,4,Air,5-speed,Chain   (final drive),Single disc,Expanding brake,221.0 kg (487.2 pounds),0.1538 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,"This model is basically the same as the Saxon Tour 500, but with mounted sidecar.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint 900,1996,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,4,Liquid,6-speed,,Dual disc,Single disc,215.0 kg (474.0 pounds),0.4558 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1500 Gold Wing Aspencade,1996,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)) @ 5200 RPM,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 4000 RPM,2,Liquid,5-speed,,Double disc. Two-piston calipers. ,Single disc. Two-piston calipers. ,370.0 kg (815.7 pounds),0.2703 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",Electric,,159.0 km/h (98.8 mph),9.8:1,71.0 x 64.0 mm (2.8 x 2.5 inches),Carburettor. 2 x 36 mm Keihin CV,Single Overhead Cams (SOHC),,,7.50 litres/100 km (13.3 km/l or 31.36 mpg),174.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Tubular steel cradle,Air adjustable telescopic forks,,Pro-link air adjustable,,130/70-18 ,160/80-16 ,316 mm (12.4 inches),,,,,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 S Diversion,1996,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",89.0 HP (65.0  kW)) @ 8250 RPM,77.5 Nm (7.9 kgf-m or 57.2 ft.lbs) @ 7000 RPM,2,,5-speed,,Dual disc,Single disc,239.0 kg (526.9 pounds),0.3724 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 1200,1996,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",59.8 HP (43.6  kW)) @ 5200 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 3500 RPM,2,Air,5-speed,Belt   (final drive),Single disc,Single disc,223.0 kg (491.6 pounds),0.2682 HP/kg,"736 mm (29.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F,1996,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 10000 RPM,72.6 Nm (7.4 kgf-m or 53.5 ft.lbs) @ 8000 RPM,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,209.0 kg (460.8 pounds),0.4785 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Super III,1996,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",115.0 HP (83.9  kW)) @ 9500 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 8500 RPM,5,Liquid,6-speed,,Dual disc,Single disc,211.0 kg (465.2 pounds),0.5450 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TRX 850,1996,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",849.0 ccm (51.81 cubic inches),"Twin, four-stroke",80.0 HP (58.4  kW)) @ 7500 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 6000 RPM,5,,5-speed,,Dual disc,Single disc,190.0 kg (418.9 pounds),0.4211 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia AF1,1996,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",80.0 ccm (4.88 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7500 RPM,,,Liquid,,Chain   (final drive),,,,,,,,,,,Carburettor. 21mm Dell`Ortho,,digital,gearbox oil,,,steel,inverted forks,,non-adjustable,,,,,,,,,,,,"I dont know 100% all specifications
",,,,,,wet plate,single pipes,,,aprilia af1 1993 and 1994,,,,,,,,,13000,,,,,,,,
Honda CB 1000,1996,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,87.3 Nm (8.9 kgf-m or 64.4 ft.lbs) @ 6000 RPM,4,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,235.0 kg (518.1 pounds),0.4170 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Silver Star 500,1996,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)),35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 6500 RPM,4,Air,5-speed,,Single disc,Expanding brake,146.0 kg (321.9 pounds),0.2329 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Can be sold with mounted sidecar, and will then weigh 221 kg.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RF 900 R,1996,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",937.0 ccm (57.18 cubic inches),"In-line four, four-stroke",126.0 HP (92.0  kW)) @ 10000 RPM,100.2 Nm (10.2 kgf-m or 73.9 ft.lbs) @ 9000 RPM,4,,5-speed,Chain   (final drive),Dual disc,Single disc,203.0 kg (447.5 pounds),0.6207 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda Ghost 650,1996,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",668.0 ccm (40.76 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 8900 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6500 RPM,4,,6-speed,Chain   (final drive),Dual disc,Single disc,200.0 kg (440.9 pounds),0.3500 HP/kg,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1100,1996,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",153.0 HP (111.7  kW)) @ 10000 RPM,116.4 Nm (11.9 kgf-m or 85.9 ft.lbs) @ 9000 RPM,4,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,221.0 kg (487.2 pounds),0.6923 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 F,1996,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 12000 RPM,62.8 Nm (6.4 kgf-m or 46.3 ft.lbs) @ 10500 RPM,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,185.0 kg (407.9 pounds),0.5405 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650,1996,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.0 ccm (39.72 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)) @ 7000 RPM,46.1 Nm (4.7 kgf-m or 34.0 ft.lbs) @ 5000 RPM,4,,5-speed,Chain   (final drive),Single disc,Single disc,168.0 kg (370.4 pounds),0.2500 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 750 Virago,1996,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",52.0 HP (38.0  kW)) @ 7000 RPM,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 6000 RPM,2,Air,5-speed,,Dual disc,Expanding brake,220.0 kg (485.0 pounds),0.2364 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda Formula 650,1996,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",668.0 ccm (40.76 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 7000 RPM,4,,6-speed,Chain   (final drive),Dual disc,Single disc,185.0 kg (407.9 pounds),0.3784 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan-European,1996,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,110.8 Nm (11.3 kgf-m or 81.7 ft.lbs) @ 6000 RPM,4,,5-speed,,Dual disc,Single disc,287.0 kg (632.7 pounds),0.3484 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500 E,1996,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",42.5 HP (31.0  kW)) @ 9000 RPM,87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 7400 RPM,4,,6-speed,,Single disc,Single disc,169.0 kg (372.6 pounds),0.2515 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 400 Elduro,1996,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,,4,Liquid,6-speed,Chain   (final drive),Single disc,Single disc,115.0 kg (253.5 pounds),,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-7R Ninja,1996,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",,,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,203.0 kg (447.5 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 640 Sport 350,1996,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",23.6 HP (17.2  kW)) @ 5250 RPM,38.2 Nm (3.9 kgf-m or 28.2 ft.lbs) @ 4500 RPM,,Air,4-speed,Chain   (final drive),Single disc,Expanding brake,160.0 kg (352.7 pounds),0.1475 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Classic,1996,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",23.5 HP (17.2  kW)) @ 5800 RPM,40.2 Nm (4.1 kgf-m or 29.7 ft.lbs) @ 5100 RPM,2,Air,4-speed,,Expanding brake,Expanding brake,310.0 kg (683.4 pounds),0.0758 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,Comes with mounted sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 916 Biposto,1996,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,,4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,204.0 kg (449.7 pounds),0.5588 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 410 Enduro,1996,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",414.0 ccm (25.26 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)),,4,,6-speed,Chain   (final drive),Single disc,Single disc,116.0 kg (255.7 pounds),0.3793 HP/kg,"885 mm (34.8 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RF 600 R,1996,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",102.8 HP (75.0  kW)) @ 11600 RPM,,4,,6-speed,Chain   (final drive),Dual disc,Single disc,195.0 kg (429.9 pounds),0.5272 HP/kg,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Bullet,1996,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5220 RPM,34.3 Nm (3.5 kgf-m or 25.3 ft.lbs) @ 3000 RPM,2,Air,4-speed,Chain   (final drive),Expanding brake,Expanding brake,163.0 kg (359.4 pounds),0.1350 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 G,1996,Unspecified category," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1127.0 ccm (68.77 cubic inches),"In-line four, four-stroke",95.9 HP (70.0  kW)) @ 8000 RPM,,4,Oil & air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,261.0 kg (575.4 pounds),0.3674 HP/kg,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 750 R,1996,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 12000 RPM,80.4 Nm (8.2 kgf-m or 59.3 ft.lbs) @ 9500 RPM,5,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,196.0 kg (432.1 pounds),0.6378 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 180 Roland,1996,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",176.0 ccm (10.74 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 5500 RPM,,,,4-speed,Chain   (final drive),Single disc,Expanding brake,130.0 kg (286.6 pounds),0.1000 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Kick,,110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Classic,1996,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 4700 RPM,110.8 Nm (11.3 kgf-m or 81.7 ft.lbs) @ 3300 RPM,4,,4-speed,,Single disc,Single disc,257.0 kg (566.6 pounds),0.2490 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Springer Softail,1996,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,2,Air,5-speed,Belt   (final drive),Single disc,Single disc,284.0 kg (626.1 pounds),0.2007 HP/kg,"699 mm (27.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Ultra Classic Electra Glide,1996,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",61.2 HP (44.7  kW)) @ 5000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3000 RPM,2,Air,5-speed,Belt   (final drive),Dual disc,Single disc,,,"779 mm (30.7 inches) If adjustable, lowest setting.",Electric,340.0 kg (749.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati SS 600 C,1996,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 8250 RPM,,2,Air,5-speed,Chain   (final drive),Single disc,Single disc,172.0 kg (379.2 pounds),0.3081 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 1200 Custom,1996,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",59.8 HP (43.6  kW)) @ 5200 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 3500 RPM,2,Air,5-speed,Belt   (final drive),Single disc,Single disc,222.0 kg (489.4 pounds),0.2694 HP/kg,"736 mm (29.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C2 Shadow ACE,1996,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 4500 RPM,88.3 Nm (9.0 kgf-m or 65.1 ft.lbs) @ 2500 RPM,3,,5-speed,,Single disc,Single disc,260.0 kg (573.2 pounds),0.1923 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 535 S Virago,1996,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"V2, four-stroke",44.0 HP (32.1  kW)) @ 7500 RPM,48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 6000 RPM,2,Air,5-speed,,Single disc,Expanding brake,182.0 kg (401.2 pounds),0.2418 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 RS,1996,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5500 RPM,4,,5-speed,,Dual disc,Single disc,,,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,268.0 kg (590.8 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 GS PD Classic,1996,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",980.0 ccm (59.80 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,74.5 Nm (7.6 kgf-m or 55.0 ft.lbs) @ 3750 RPM,2,,5-speed,,Single disc,Single disc,,,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,236.0 kg (520.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Triple 900,1996,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 6500 RPM,4,Liquid,6-speed,,Dual disc,Single disc,209.0 kg (460.8 pounds),0.4689 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva E 900 Elefant,1996,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 6500 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 5500 RPM,2,,6-speed,Chain   (final drive),Single disc,Single disc,188.0 kg (414.5 pounds),0.3617 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 883,1996,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 2500 RPM,2,Air,5-speed,Belt   (final drive),Single disc,Single disc,222.0 kg (489.4 pounds),0.2252 HP/kg,"723 mm (28.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
