Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Exhaust system,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Color options,Starter,Modifications compared to previous model,Top speed,Bore x stroke,Valves per cylinder,Fuel capacity,Max RPM,Rake (fork angle),Trail,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Torque,1/4 mile (0.4 km),Diameter,Dry weight,Power/weight ratio,Fuel consumption,Greenhouse gases,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Rear wheel travel,Comments,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight
Honda VT 500 E,1987,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,10.5:1,,Overhead Cams (OHC),,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,120/80-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),,,,187.0 km/h (116.2 mph),71.0 x 62.0 mm (2.8 x 2.4 inches),3,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZX 750,1987,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",94.0 HP (68.6  kW)) @ 9500 RPM,11.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,110/90-16 ,140/90-15 ,Dual disc,Single disc,225.0 kg (496.0 pounds),,,,216.0 km/h (134.2 mph),68.0 x 51.6 mm (2.7 x 2.0 inches),5,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 125 KJ Kanguro,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 10000 RPM,11.7:1,,Overhead Valves (OHV),,,Air,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.00-18 ,Single disc,Expanding brake,119.0 kg (262.4 pounds),,,,110.0 km/h (68.4 mph),59.0 x 45.0 mm (2.3 x 1.8 inches),2,7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 F,1987,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,9.6:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),,,,221.0 km/h (137.3 mph),68.5 x 60.5 mm (2.7 x 2.4 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 75 S Special,1987,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,740.0 ccm (45.15 cubic inches),"In-line three, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,130/90-17 ,Dual disc,Single disc,235.0 kg (518.1 pounds),,,,210.0 km/h (130.5 mph),67.0 x 70.0 mm (2.6 x 2.8 inches),2,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horex Columbus 500,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,9.2:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,110/90-16 ,130/90-16 ,Dual disc,Single disc,166.0 kg (366.0 pounds),,,,155.0 km/h (96.3 mph),89.0 x 79.4 mm (3.5 x 3.1 inches),4,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet,1987,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,6.5:1,,Overhead Valves (OHV),,,Air,4-speed,Chain   (final drive),,,,,,3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),,,,110.0 km/h (68.4 mph),70.0 x 90.0 mm (2.8 x 3.5 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPX 750 R,1987,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 10500 RPM,11.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,100/90-16 ,140/70-18 ,Dual disc,Single disc,222.0 kg (489.4 pounds),,,,235.0 km/h (146.0 mph),68.0 x 51.5 mm (2.7 x 2.0 inches),4,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 450 LTD (reduced effect),1987,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",454.0 ccm (27.70 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,10.7:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Belt   (final drive),,,,,,100/90-19 ,140/90-15 ,Single disc,Expanding brake,199.0 kg (438.7 pounds),,,,132.0 km/h (82.0 mph),72.5 x 55.0 mm (2.9 x 2.2 inches),4,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1000 Virago,1987,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",981.0 ccm (59.86 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 6500 RPM,8.3:1,,Overhead Cams (OHC),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-19 ,140/90-15 ,Dual disc,Expanding brake,235.0 kg (518.1 pounds),,,,171.0 km/h (106.3 mph),95.0 x 69.2 mm (3.7 x 2.7 inches),2,14.50 litres (3.83 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S (reduced effect),1987,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9300 RPM,10.8:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,100/90-16 ,120/90-16 ,Single disc,Expanding brake,196.0 kg (432.1 pounds),,,,165.0 km/h (102.5 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Enduro 125 VC,1987,Classic," 2.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6500 RPM,10.0:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,90/90-21 ,120/90-18 ,Single disc,Single disc,105.0 kg (231.5 pounds),,,,85.0 km/h (52.8 mph),54.0 x 54.0 mm (2.1 x 2.1 inches),,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 Ténéré,1987,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,8.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-18 ,Single disc,Expanding brake,177.0 kg (390.2 pounds),,,,150.0 km/h (93.2 mph),95.0 x 84.0 mm (3.7 x 3.3 inches),4,23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 1000 Genesis (reduced effect),1987,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",989.0 ccm (60.35 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,11.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Chain   (final drive),,,,,,120/70-17 ,160/60-18 ,Dual disc,Single disc,234.0 kg (515.9 pounds),,,,231.0 km/h (143.5 mph),75.0 x 56.0 mm (3.0 x 2.2 inches),5,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 TS (with sidecar),1987,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,10.2:1,,Port control,,,Air,4-speed,Chain   (final drive),,,,,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,223.0 kg (491.6 pounds),,,,100.0 km/h (62.1 mph),58.0 x 65.0 mm (2.3 x 2.6 inches),,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S (reduced effect #2),1987,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,10.8:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,100/90-16 ,120/90-16 ,Single disc,Expanding brake,196.0 kg (432.1 pounds),,,,154.0 km/h (95.7 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 650 Elefant,1987,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8400 RPM,10.0:1,,Desmodromic valve control,,,Air,5-speed,Chain   (final drive),,,,,,90/90-21 ,130/80-17 ,Single disc,Expanding brake,208.0 kg (458.6 pounds),,,,168.0 km/h (104.4 mph),82.0 x 61.5 mm (3.2 x 2.4 inches),2,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 750 Genesis,1987,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,11.2:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,120/80-16 ,130/80-18 ,Dual disc,Single disc,229.0 kg (504.9 pounds),,,,,68.0 x 51.6 mm (2.7 x 2.0 inches),5,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 EF,1987,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1135.0 ccm (69.26 cubic inches),"In-line four, four-stroke",122.0 HP (89.1  kW)) @ 8500 RPM,9.7:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Chain   (final drive),,,,,,110/90-16 ,130/90-17 ,Dual disc,Single disc,256.0 kg (564.4 pounds),,,,,74.0 x 66.0 mm (2.9 x 2.6 inches),4,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600 (reduced effect),1987,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,8.5:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3 00-21 ,4.60-18 ,Single disc,Expanding brake,148.0 kg (326.3 pounds),,,,136.0 km/h (84.5 mph),95.0 x 84.0 mm (3.7 x 3.3 inches),4,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta TR 34-125,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5800 RPM,11.0:1,,Membrane,,,Air,6-speed,Chain   (final drive),,,,,,2.75-21 ,4.00-18 ,Single disc,Single disc,82.0 kg (180.8 pounds),,,,79.0 km/h (49.1 mph),54.0 x 54.0 mm (2.1 x 2.1 inches),,3.80 litres (1.00 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 RM,1987,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",591.0 ccm (36.06 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,8.8:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-21 ,5.10-17 ,Single disc,Expanding brake,169.0 kg (372.6 pounds),,,,142.0 km/h (88.2 mph),97.0 x 80.0 mm (3.8 x 3.1 inches),4,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 11 (with sidecar),1987,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5900 RPM,8.5:1,,Overhead Valves (OHV),,,Air,4-speed with reverse,Shaft drive (cardan)   (final drive),,,,,,3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),,,,125.0 km/h (77.7 mph),78.0 x 68.0 mm (3.1 x 2.7 inches),2,19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 S,1987,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",44.0 HP (32.1  kW)) @ 9000 RPM,9.3:1,,Overhead Cams (OHC),,,Air,6-speed,Chain   (final drive),,,,,,100/90-18 ,110/90-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),,,,163.0 km/h (101.3 mph),75.0 x 50.6 mm (3.0 x 2.0 inches),3,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 TS,1987,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,10.2:1,,Port control,,,Air,4-speed,Chain   (final drive),,,,,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,150.0 kg (330.7 pounds),,,,130.0 km/h (80.8 mph),58.0 x 65.0 mm (2.3 x 2.6 inches),,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900,1987,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",891.0 ccm (54.37 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,9.6:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,100/90-18 ,120/90-18 ,Dual disc,Single disc,242.0 kg (533.5 pounds),,,,217.0 km/h (134.8 mph),68.5 x 60.5 mm (2.7 x 2.4 inches),2,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 550 EF,1987,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",64.0 HP (46.7  kW)) @ 10000 RPM,10.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Air,6-speed,Chain   (final drive),,,,,,100/90-16 ,110/90-18 ,Dual disc,Single disc,220.0 kg (485.0 pounds),,,,194.0 km/h (120.5 mph),60.0 x 50.6 mm (2.4 x 2.0 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATK NX 250,1987,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,Carburettor. Keihin 24mm,Double Overhead Cams/Twin Cam (DOHC),CDI,Wet sump,Liquid,6-speed,Chain   (final drive),Wet plate,Supertrapp,,WP USD,WP Multi Adjuster Shock,80/100-21 ,100/100-18 ,Single disc. 2-piston calipers,Expanding brake (drum brake),,Blue Frame - Red tank - White Fenders - 1 Inox radiatorcap,,,,,4,8.70 litres (2.30 US gallons),,,,"940 mm (37.0 inches) If adjustable, lowest setting.",,1473 mm (58.0 inches),820 mm (32.3 inches),323 mm (12.7 inches),1473 mm (58.0 inches),,,,240 mm (9.4 inches),128.0 kg (282.2 pounds),,,,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,Uses a Honda 4-stroke engine.,,,
Kawasaki KLR 250 (reduced effect),1987,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,3.00-21 ,4.60-17 ,Single disc,Expanding brake,134.0 kg (295.4 pounds),,,,133.0 km/h (82.6 mph),74.0 x 58.0 mm (2.9 x 2.3 inches),4,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera RX 200 Arizona,1987,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",183.0 ccm (11.17 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,12.5:1,,Membrane,,,Liquid,6-speed,Chain   (final drive),,,,,,2.45-21 ,4.60-17/62 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),,,,105.0 km/h (65.2 mph),68.0 x 50.5 mm (2.7 x 2.0 inches),,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXR 1340 Super Glide,1987,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MJ 90-19 ,MT 90-16 ,Single disc,Single disc,276.0 kg (608.5 pounds),,,,170.0 km/h (105.6 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ490,1987,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",490.0 ccm (29.90 cubic inches),"Single cylinder, two-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,,Carburettor,,,,Air,5-speed,Chain   (final drive),wet plate,,steel,,,,,Single disc,Expanding brake (drum brake),,"red seat, white tank and plastics",,,,,,,,,,,,,,,,,,,,107.0 kg (236.0 pounds),0.5138 HP/kg,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 900 R,1987,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",115.0 HP (83.9  kW)) @ 9500 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,120/80-16 ,130/80-18 ,Dual disc,Expanding brake,257.0 kg (566.6 pounds),,,,,72.5 x 55.0 mm (2.9 x 2.2 inches),4,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 500 SE,1987,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",494.0 ccm (30.14 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 8000 RPM,9.3:1,,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,,,,,3.00-19 ,130/90-16 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),,,,152.0 km/h (94.4 mph),73.0 x 59.0 mm (2.9 x 2.3 inches),2,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 Le Mans IV,1987,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",81.0 HP (59.1  kW)) @ 7400 RPM,9.8:1,,Overhead Valves (OHV),,,Air,5-speed,Shaft drive (cardan)   (final drive),,,,,,120/80-16 ,130/80-18 ,Dual disc,Single disc,245.0 kg (540.1 pounds),,,,217.0 km/h (134.8 mph),88.0 x 78.0 mm (3.5 x 3.1 inches),2,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 450 S (reduced effect),1987,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",447.0 ccm (27.28 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,9.1:1,,Overhead Cams (OHC),,,Air,6-speed,Chain   (final drive),,,,,,100/90-18 ,110/90-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),,,,141.0 km/h (87.6 mph),75.0 x 50.6 mm (3.0 x 2.0 inches),3,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RX 135,1987,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",132.0 ccm (8.05 cubic inches),"Single cylinder, two-stroke",11.0 HP (8.0  kW)),,,,,Wet sump,Oil & air,4-speed,Chain   (final drive),Wet plate,,,,,,,,,,Red/Black/blue,,,,,,,,,,,,,,,,,,,,109.0 kg (240.3 pounds),0.1009 HP/kg,,,,,,,,,,,,,,,,,,,,,
Beta KR 250,1987,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,239.0 ccm (14.58 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7900 RPM,9.0:1,,Membrane,,,Liquid,5-speed,Chain   (final drive),,,,,,3.00-21 ,4.00-18 ,Single disc,Expanding brake,116.0 kg (255.7 pounds),,,,87.0 km/h (54.1 mph),72.8 x 57.5 mm (2.9 x 2.3 inches),,9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRS 1340 Low Rider,1987,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5000 RPM,8.5:1,,Overhead Valves (OHV),,,Air,5-speed,Belt   (final drive),,,,,,MJ 90-19 ,MT 90-16 ,Single disc,Single disc,276.0 kg (608.5 pounds),,,,160.0 km/h (99.4 mph),88.8 x 108.0 mm (3.5 x 4.3 inches),2,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler Mustang 125,1987,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7250 RPM,10.0:1,,Port control,,,Liquid,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.25-18 ,Single disc,Expanding brake,110.0 kg (242.5 pounds),,,,110.0 km/h (68.4 mph),55.0 x 52.0 mm (2.2 x 2.0 inches),,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 600 R,1987,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 10500 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,110/90-16 ,130/90-16 ,Dual disc,Single disc,217.0 kg (478.4 pounds),,,,216.0 km/h (134.2 mph),60.0 x 52.4 mm (2.4 x 2.1 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ ETZ 250 (with sidecar),1987,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",22.0 HP (16.1  kW)) @ 5800 RPM,10.0:1,,Port control,,,Air,5-speed,Chain   (final drive),,,,,,2.75-18 ,3.50-18 ,Single disc,Expanding brake,240.0 kg (529.1 pounds),,,,100.0 km/h (62.1 mph),69.0 x 65.0 mm (2.7 x 2.6 inches),,17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 600 R (reduced effect #2),1987,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,592.0 ccm (36.12 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8500 RPM,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),,,,,,110/90-16 ,130/90-16 ,Dual disc,Single disc,217.0 kg (478.4 pounds),,,,161.0 km/h (100.0 mph),60.0 x 52.4 mm (2.4 x 2.1 inches),4,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
