Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Bore x stroke,Valves per cylinder,Fuel system,Gearbox,Transmission type,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Wheelbase,Fuel capacity,Cooling system,Starter,"Weight incl. oil, gas, etc",Compression,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Trail,Front suspension,Rear suspension,Alternate seat height,Overall height,Reserve fuel capacity,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Overall width,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Front percentage of weight,Fuel control,Rake (fork angle),Ground clearance,Color options,Chain size,Max RPM,Exhaust system,Comments,Driveline,Battery,Rear percentage of weight,Engine details,Modifications compared to previous model
Yamaha XV 1600 A Wild Star,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1602.0 ccm (97.75 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 4000 RPM,134.0 Nm (13.7 kgf-m or 98.8 ft.lbs) @ 2250 RPM,170.0 km/h (105.6 mph),95.0 x 113.0 mm (3.7 x 4.4 inches),4,Carburettor,5-speed,Belt   (final drive),140 mm (5.5 inches),110 mm (4.3 inches),130/90-16 ,150/80-16 ,Dual disc,320 mm (12.6 inches),Single disc,307.0 kg (676.8 pounds),0.2052 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",1685 mm (66.3 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR 426 F,2001,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",426.0 ccm (25.99 cubic inches),"Single cylinder, four-stroke",47.0 HP (34.3  kW)) @ 9800 RPM,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 7800 RPM,,95.0 x 60.1 mm (3.7 x 2.4 inches),5,Carburettor,5-speed,Chain   (final drive),300 mm (11.8 inches),315 mm (12.4 inches),90/90-21 ,130/90-18 ,Single disc,240 mm (9.4 inches),Single disc,,,"960 mm (37.8 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),8.00 litres (2.11 US gallons),Liquid,Kick,122.0 kg (269.0 pounds),12.5:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borile B 500 CR,2001,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),,160.0 km/h (99.4 mph),87.0 x 85.0 mm (3.4 x 3.3 inches),4,Carburettor,5-speed,Chain   (final drive),130 mm (5.1 inches),145 mm (5.7 inches),120/70-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,104.0 kg (229.3 pounds),0.4808 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1380 mm (54.3 inches),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Husky 125,2001,Custom / cruiser," 2.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8500 RPM,,100.0 km/h (62.1 mph),57.0 x 48.8 mm (2.2 x 1.9 inches),2,Carburettor,5-speed,Chain   (final drive),150 mm (5.9 inches),73 mm (2.9 inches),90/90-18 ,130/80-15 ,Dual disc,150 mm (5.9 inches),Expanding brake,146.0 kg (321.9 pounds),0.0753 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Roadster 650,2001,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6750 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 6200 RPM,170.0 km/h (105.6 mph),100.0 x 82.0 mm (3.9 x 3.2 inches),4,Carburettor,5-speed,Chain   (final drive),120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 ,160/60-ZR17 ,Single disc,220 mm (8.7 inches),Single disc,165.0 kg (363.8 pounds),0.3030 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1490 mm (58.7 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille R,2001,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",128.0 HP (93.4  kW)) @ 9500 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 7250 RPM,270.0 km/h (167.8 mph),97.0 x 67.5 mm (3.8 x 2.7 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),135 mm (5.3 inches),120/65-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,183.0 kg (403.4 pounds),0.6995 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),18.00 litres (4.76 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Quota 1100 ES,2001,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",69.0 HP (50.4  kW)) @ 6200 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 3800 RPM,190.0 km/h (118.1 mph),92.0 x 80.0 mm (3.6 x 3.1 inches),2,Injection,5-speed,Shaft drive (cardan)   (final drive),170 mm (6.7 inches),185 mm (7.3 inches),90/90-H21 ,130/80-H17 ,Dual disc,260 mm (10.2 inches),Single disc,245.0 kg (540.1 pounds),0.2816 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",1600 mm (63.0 inches),20.00 litres (5.28 US gallons),Air,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troll Supertwin,2001,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",79.0 HP (57.7  kW)) @ 7500 RPM,76.0 Nm (7.7 kgf-m or 56.1 ft.lbs) @ 6500 RPM,225.0 km/h (139.8 mph),92.0 x 68.0 mm (3.6 x 2.7 inches),2,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),135 mm (5.3 inches),120/65-ZR17 ,180/55-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,177.0 kg (390.2 pounds),0.4463 HP/kg,,1415 mm (55.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1200 R,2001,Allround," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",122.0 HP (89.1  kW)) @ 8500 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 7000 RPM,230.0 km/h (142.9 mph),79.0 x 59.4 mm (3.1 x 2.3 inches),4,Carburettor,5-speed,Chain   (final drive),120 mm (4.7 inches),123 mm (4.8 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,250 mm (9.8 inches),Single disc,227.0 kg (500.4 pounds),0.5374 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1465 mm (57.7 inches),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna Husky Boy Jr,2001,"Minibike, cross"," 2.8  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,,Automatic,Chain   (final drive),,,,,,,,,,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM EXE 125 Supermoto,2001,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7500 RPM,,110.0 km/h (68.4 mph),54.0 x 54.5 mm (2.1 x 2.1 inches),,Carburettor,6-speed,Chain   (final drive),220 mm (8.7 inches),260 mm (10.2 inches),,,Single disc,220 mm (8.7 inches),Single disc,104.0 kg (229.3 pounds),0.1442 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",1461 mm (57.5 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Super Glide T-Sport,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5500 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,170.0 km/h (105.6 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Carburettor,5-speed,Belt   (final drive),155 mm (6.1 inches),125 mm (4.9 inches),,,Dual disc,292 mm (11.5 inches),Single disc,,,"755 mm (29.7 inches) If adjustable, lowest setting.",1604 mm (63.1 inches),18.60 litres (4.91 US gallons),Air,Electric,310.0 kg (683.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 400 E,2001,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,,150.0 km/h (93.2 mph),,,,,Chain   (final drive),,,,,Single disc,,Single disc,112.0 kg (246.9 pounds),,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Standard,2001,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5400 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,165.0 km/h (102.5 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Carburettor,5-speed,Belt   (final drive),117 mm (4.6 inches),76 mm (3.0 inches),,,Dual disc,292 mm (11.5 inches),Single disc,,,"692 mm (27.2 inches) If adjustable, lowest setting.",1612 mm (63.5 inches),18.90 litres (4.99 US gallons),Air,Electric,345.0 kg (760.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Standard,2001,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 5300 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3200 RPM,170.0 km/h (105.6 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Carburettor,5-speed,Belt   (final drive),142 mm (5.6 inches),103 mm (4.1 inches),,,Single disc,292 mm (11.5 inches),Single disc,,,"662 mm (26.1 inches) If adjustable, lowest setting.",1697 mm (66.8 inches),18.90 litres (4.99 US gallons),Air,Electric,305.0 kg (672.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Cougar,2001,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,100.0 km/h (62.1 mph),,,Carburettor,5-speed,Chain   (final drive),,,,,Single disc,,Expanding brake (drum brake),,,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Super Glide,2001,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 5500 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 2900 RPM,170.0 km/h (105.6 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Carburettor,5-speed,Belt   (final drive),155 mm (6.1 inches),109 mm (4.3 inches),,,Single disc,292 mm (11.5 inches),Single disc,,,"673 mm (26.5 inches) If adjustable, lowest setting.",1595 mm (62.8 inches),18.60 litres (4.91 US gallons),Air,Electric,290.0 kg (639.3 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Elyseo,2001,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",12.2 HP (8.9  kW)) @ 8750 RPM,,,57.0 x 48.9 mm (2.2 x 1.9 inches),,Carburettor,,Belt   (final drive),,,120/70-12 ,130/70-12 ,,,,140.0 kg (308.6 pounds),0.0874 HP/kg,,1368 mm (53.9 inches),8.50 litres (2.25 US gallons),,,,11.7:1,CDI,Wet Sump,,,,,,,,,1230 mm (48.4 inches),,,,,,,,,,,,,,,1900 mm (74.8 inches),720 mm (28.3 inches),,,,,,,,,,,,,,,,
MZ RT 125,2001,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 9000 RPM,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8500 RPM,115.0 km/h (71.5 mph),60.0 x 44.0 mm (2.4 x 1.7 inches),4,Carburettor,6-speed,Chain   (final drive),130 mm (5.1 inches),130 mm (5.1 inches),110/70-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,,,"770 mm (30.3 inches) If adjustable, lowest setting.",1355 mm (53.3 inches),13.50 litres (3.57 US gallons),,,133.0 kg (293.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki FXR 150,2001,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",147.0 ccm (8.97 cubic inches),"Single cylinder, four-stroke",20.1 HP (14.7  kW)) @ 13000 RPM,,150.0 km/h (93.2 mph),62.0 x 48.8 mm (2.4 x 1.9 inches),4,Carburettor. Mikuni BS2955,6-speed,Chain   (final drive),,,80/90-17 ,100/90-17 ,Single disc,,Single disc,118.0 kg (260.1 pounds),0.1704 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1325 mm (52.2 inches),15.00 litres (3.96 US gallons),Oil & air,Electric & kick,,10.7:1,"CDI, 9 degree BTDC at 1500rpm",Wet sump,Wet multi-plate type,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,85 mm (3.3 inches),"telescopic, coil spring, oil damped forks","swinging arm, coil spring, oil damped, spring pre-load 4-way adjustable",,1080 mm (42.5 inches),3.40 litres (0.90 US gallons),,,,,,,,,,,,,,1985 mm (78.1 inches),665 mm (26.2 inches),,,,Double Overhead Cams/Twin Cam (DOHC),24.0°,,blue,,15000,,"manurfactured in singapore, popular engine for bucket racers, digital display",,,,,
Kymco Zing 125,2001,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.9 HP (8.0  kW)) @ 9000 RPM,9.3 Nm (0.9 kgf-m or 6.9 ft.lbs) @ 6500 RPM,99.0 km/h (61.5 mph),57.0 x 48.8 mm (2.2 x 1.9 inches),2,Carburettor,5-speed,Chain   (final drive),125 mm (4.9 inches),70 mm (2.8 inches),,,Single disc,140 mm (5.5 inches),Expanding brake,165.0 kg (363.8 pounds),0.0661 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YP 250 Majesty - Majesty A,2001,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",21.0 HP (15.3  kW)) @ 7500 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6000 RPM,,,,,Automatic,Belt   (final drive),,,,,,,,156.0 kg (343.9 pounds),0.1346 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Majesty A version comes with ABS brakes.,,,,,
BMW R 1150 GS,2001,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",85.0 HP (62.0  kW)) @ 6750 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 5250 RPM,194.0 km/h (120.5 mph),101.0 x 70.5 mm (4.0 x 2.8 inches),4,Injection,6-speed,Shaft drive (cardan)   (final drive),190 mm (7.5 inches),200 mm (7.9 inches),110/80-R19 ,150/70-R17 ,Dual disc,276 mm (10.9 inches),Single disc,,,"840 mm (33.1 inches) If adjustable, lowest setting.",1509 mm (59.4 inches),22.00 litres (5.81 US gallons),,Electric,267.0 kg (588.6 pounds),,,,,,,,,,,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Varadero 125,2001,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",15.0 HP (10.9  kW)) @ 11000 RPM,10.7 Nm (1.1 kgf-m or 7.9 ft.lbs) @ 9500 RPM,115.0 km/h (71.5 mph),42.0 x 45.0 mm (1.7 x 1.8 inches),4,Carburettor,5-speed,Chain   (final drive),150 mm (5.9 inches),150 mm (5.9 inches),100/90-18 ,130/80-17 ,Single disc,220 mm (8.7 inches),Single disc,149.0 kg (328.5 pounds),0.1007 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 750,2001,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",62.0 HP (45.3  kW)) @ 7500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6500 RPM,195.0 km/h (121.2 mph),88.0 x 61.5 mm (3.5 x 2.4 inches),2,Carburettor,5-speed,Chain   (final drive),120 mm (4.7 inches),144 mm (5.7 inches),120/60-ZR17 ,160/60-ZR17 ,Dual disc,245 mm (9.6 inches),Single disc,178.0 kg (392.4 pounds),0.3483 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati MH900e,2001,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",75.0 HP (54.7  kW)),76.0 Nm (7.7 kgf-m or 56.1 ft.lbs),,,,,6-speed,Chain   (final drive),,,,,Dual disc,,Single disc,186.0 kg (410.1 pounds),0.4032 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Tourist,2001,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5200 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 4800 RPM,,,,,4-speed,,,,,,Expanding brake,,Expanding brake,340.0 kg (749.6 pounds),0.0941 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comes with mounted sidecar.,,,,,
Harley-Davidson Road Glide,2001,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1450.0 ccm (88.48 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5200 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,,,,,5-speed,Belt   (final drive),,,,,Dual disc,,Single disc,355.0 kg (782.6 pounds),0.1887 HP/kg,"684 mm (26.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB 8 R,2001,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",133.0 HP (97.1  kW)) @ 10000 RPM,93.0 Nm (9.5 kgf-m or 68.6 ft.lbs) @ 8500 RPM,260.0 km/h (161.6 mph),98.0 x 66.0 mm (3.9 x 2.6 inches),4,Injection,6-speed,Chain   (final drive),120 mm (4.7 inches),130 mm (5.1 inches),120/65-ZR17 ,180/55-ZR17 ,Dual disc,230 mm (9.1 inches),Single disc,178.0 kg (392.4 pounds),0.7472 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1390 mm (54.7 inches),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 C Avantgarde,2001,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 5250 RPM,71.0 Nm (7.2 kgf-m or 52.4 ft.lbs) @ 4750 RPM,160.0 km/h (99.4 mph),87.5 x 70.5 mm (3.4 x 2.8 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),144 mm (5.7 inches),100 mm (3.9 inches),100/90-ZR18 ,170/80-ZR15 ,Dual disc,285 mm (11.2 inches),Single disc,,,"740 mm (29.1 inches) If adjustable, lowest setting.",1650 mm (65.0 inches),17.00 litres (4.49 US gallons),Air,Electric,256.0 kg (564.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim VL 125 Classic,2001,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.2 HP (9.6  kW)) @ 9000 RPM,11.1 Nm (1.1 kgf-m or 8.2 ft.lbs) @ 7500 RPM,112.0 km/h (69.6 mph),56.5 x 49.5 mm (2.2 x 1.9 inches),4,Carburettor,5-speed,Chain   (final drive),,,90/90-18 ,130/90-15 ,Single disc,130 mm (5.1 inches),Expanding brake,154.0 kg (339.5 pounds),0.0857 HP/kg,"715 mm (28.1 inches) If adjustable, lowest setting.",1505 mm (59.3 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RT,2001,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7250 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,196.0 km/h (121.8 mph),99.0 x 70.5 mm (3.9 x 2.8 inches),4,Injection,5-speed,Shaft drive (cardan)   (final drive),120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,160/60-ZR18 ,Dual disc,276 mm (10.9 inches),Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1485 mm (58.5 inches),25.00 litres (6.61 US gallons),Air,Electric,282.0 kg (621.7 pounds),,,,,,,,,,,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 RS,2001,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 7000 RPM,118.0 Nm (12.0 kgf-m or 87.0 ft.lbs) @ 5500 RPM,225.0 km/h (139.8 mph),70.5 x 75.0 mm (2.8 x 3.0 inches),4,Injection,6-speed,Shaft drive (cardan)   (final drive),115 mm (4.5 inches),150 mm (5.9 inches),120/70-ZR17 ,170/60-ZR17 ,Dual disc,285 mm (11.2 inches),Single disc,,,"770 mm (30.3 inches) If adjustable, lowest setting.",1555 mm (61.2 inches),21.00 litres (5.55 US gallons),,,285.0 kg (628.3 pounds),,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Heritage Springer,2001,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5500 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 2800 RPM,175.0 km/h (108.7 mph),95.3 x 101.6 mm (3.8 x 4.0 inches),2,Carburettor,5-speed,Belt   (final drive),107 mm (4.2 inches),103 mm (4.1 inches),,,Single disc,292 mm (11.5 inches),Single disc,,,"657 mm (25.9 inches) If adjustable, lowest setting.",1630 mm (64.2 inches),18.90 litres (4.99 US gallons),Air,Electric,340.0 kg (749.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 600 F Hornet,2001,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 12000 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 10000 RPM,218.0 km/h (135.5 mph),65.0 x 45.2 mm (2.6 x 1.8 inches),4,Carburettor,6-speed,Chain   (final drive),120 mm (4.7 inches),128 mm (5.0 inches),120/70-ZR17 ,180/55-ZR17 ,Dual disc,220 mm (8.7 inches),Single disc,176.0 kg (388.0 pounds),0.5568 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",1425 mm (56.1 inches),16.00 litres (4.23 US gallons),Liquid,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
