Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Ignition,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Dry weight,Power/weight ratio,Color options,Starter,Rake (fork angle),Trail,Front suspension,Rear suspension,Overall height,Overall length,Overall width,Modifications compared to previous model,Lubrication system,Seat height,Alternate seat height,Ground clearance,Wheelbase,Torque,1/4 mile (0.4 km),Diameter,Wheels,Carrying capacity,Rear wheel travel,Oil capacity,Electrical,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front wheel travel,Reserve fuel capacity,Driveline,Comments,Engine details,Coolant
Moto Guzzi V 50 C,1982,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,490.0 ccm (29.90 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 7600 RPM,151.0 km/h (93.8 mph),10.4:1,74.0 x 57.0 mm (2.9 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-16 ,Dual disc,Single disc,192.0 kg (423.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRS 1340 Super Glide II,1982,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,162.0 km/h (100.7 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,284.0 kg (626.1 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic,1982,Touring," 2.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 5800 RPM,165.0 km/h (102.5 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),MT 90-16 ,MT 90-16 ,Dual disc,Single disc,355.0 kg (782.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250 S,1982,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,111.0 km/h (69.0 mph),9.1:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-23 ,4.60-18 ,Expanding brake,Expanding brake,132.0 kg (291.0 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TR 6 Thunderbird,1982,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",648.0 ccm (39.54 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),9.0:1,76.0 x 71.5 mm (3.0 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-10 36,1982,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dnepr made this bike in Kiev from 1975 to 1984.,,
Laverda 1200 TS,1982,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1115.0 ccm (68.04 cubic inches),"In-line three, four-stroke",86.0 HP (62.8  kW)) @ 7350 RPM,204.0 km/h (126.8 mph),8.0:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 125 S,1982,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 9500 RPM,95.0 km/h (59.0 mph),9.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),100/80-17 ,130/70-17 ,Expanding brake (drum brake),Expanding brake,112.0 kg (246.9 pounds),8.50 litres (2.25 US gallons),,Injection,Electronic ignition (transistorised),,,,,,121.0 kg (266.8 pounds),0.0826 HP/kg,Bl7white,,,,"Telescopic, coil spring, oil damped","Swingarm type, coil spring, oil and gas damped",1135 mm (44.7 inches),2040 mm (80.3 inches),800 mm (31.5 inches),,,"820 mm (32.3 inches) If adjustable, lowest setting.",,,1340 mm (52.8 inches),9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 7500 RPM,,,,,,1.00 litres (1.06 US quarts),,SAE 10W-40,K&N KN-132,,,NGK D8EA,1450  +/- 50  RPM,,122,14/47 (front/rear),22 PSI (1.5 Bar or 150 kPa),26 PSI (1.8 Bar or 180 kPa),32 mm (1.3 inches),,,,,,
Benelli 354 T,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 9500 RPM,150.0 km/h (93.2 mph),10.2:1,50.0 x 44.0 mm (2.0 x 1.7 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Dual disc,Single disc,206.0 kg (454.2 pounds),15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SXT 125,1982,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,100.0 km/h (62.1 mph),12.1:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Membrane,Air,6-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Single disc,Expanding brake,120.0 kg (264.6 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 RS,1982,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 8500 RPM,146.0 km/h (90.7 mph),9.3:1,74.0 x 57.8 mm (2.9 x 2.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,4.10-18 ,Single disc,Expanding brake,148.0 kg (326.3 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 125 C,1982,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",10.0 HP (7.3  kW)) @ 9000 RPM,91.0 km/h (56.5 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,110/90-16 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 250F Interga,1982,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"V2, four-stroke",35.0 HP (25.5  kW)) @ 11000 RPM,,11.0:1,60.0 x 44.0 mm (2.4 x 1.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,,100/90-16 ,110/80-18 ,Single disc,Expanding brake (drum brake),,12.00 litres (3.17 US gallons),14000,Carburettor,,,,,,Aluminium Frame,149.0 kg (328.5 pounds),0.2349 HP/kg,,Electric,,,,,1175 mm (46.3 inches),2000 mm (78.7 inches),750 mm (29.5 inches),,Wet sump,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,21.5 Nm (2.2 kgf-m or 15.9 ft.lbs) @ 10000 RPM,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500 E,1982,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,172.0 km/h (106.9 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Dual disc,Single disc,228.0 kg (502.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1000 J,1982,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,211.0 km/h (131.1 mph),9.2:1,69.4 x 66.0 mm (2.7 x 2.6 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.25-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 Jota,1982,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",85.0 HP (62.0  kW)) @ 7600 RPM,210.0 km/h (130.5 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,258.0 kg (568.8 pounds),20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 Sport,1982,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 7600 RPM,110.0 km/h (68.4 mph),10.3:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,127.0 kg (280.0 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 250 S,1982,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7800 RPM,117.0 km/h (72.7 mph),9.0:1,72.0 x 61.2 mm (2.8 x 2.4 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,129.0 kg (284.4 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 CS WK,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 10800 RPM,136.0 km/h (84.5 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Liquid,6-speed,Chain   (final drive),80/90-18 ,80/90-18 ,Dual disc,Single disc,110.0 kg (242.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLX 1000-61,1982,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,159.0 km/h (98.8 mph),8.8:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Dual disc,Single disc,244.0 kg (537.9 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 500 SL Pantah,1982,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,180.0 km/h (111.8 mph),9.5:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horex 1400 TI,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1338.0 ccm (81.64 cubic inches),"In-line four, four-stroke",140.0 HP (102.2  kW)) @ 7200 RPM,250.0 km/h (155.3 mph),6.0:1,80.0 x 66.6 mm (3.1 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),120/90-18 ,130/80-18 ,Dual disc,Single disc,296.0 kg (652.6 pounds),36.00 litres (9.51 US gallons),,Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000,1982,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",85.0 HP (62.0  kW)) @ 7600 RPM,210.0 km/h (130.5 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 450 A Hondamatic,1982,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",450.0 ccm (27.46 cubic inches),"Twin, four-stroke",,,9.1:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.50-18 ,4.00-16 ,Single disc,Expanding brake (drum brake),,13.00 litres (3.43 US gallons),,Carburettor. Keihin,,Automatic,3.68 litres/100 km (27.2 km/l or 63.92 mpg),85.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Dual,Steel,177.0 kg (390.2 pounds),,,Electric & kick,31.0°,114 mm (4.5 inches),Telescopic Forks,Dual Shock,,,855 mm (33.7 inches),,,,,,,,13.80 seconds,,,,,,,,,,,,,,,,,,,,2.00 litres (0.53 US gallons),,,,
Suzuki GS 125 ESZ,1982,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",13.5 HP (9.9  kW)) @ 8500 RPM,114.7 km/h (71.3 mph),,,2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),,,,,,11.60 litres (3.06 US gallons),10000,Carburettor,coil pack,5 wet plate,,,,,,,,Electric,,,,,,,,,wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,1.30 litres (0.34 US gallons),,,,
Yamaha RD 80 LC,1982,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",79.0 ccm (4.82 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 8500 RPM,128.7 km/h (80.0 mph),7.1:1,49.0 x 42.0 mm (1.9 x 1.7 inches),,,Oil & air,6-speed,Chain   (final drive),2.50 -18 ,2.76 -18 ,Single disc. Single sliding piston caliper,Expanding brake (drum brake),,10.00 litres (2.64 US gallons),12000,Carburettor. Mikuni VM18,CDI,Wet plate,,,Single expansion chamber,Steel cradle,78.0 kg (172.0 pounds),0.1282 HP/kg,White or blue,Kick,,,Telescopic forks,Yamaha monoshock,790 mm (31.1 inches),2035 mm (80.1 inches),685 mm (27.0 inches),No changes in any year (Europe got a different model a RD125LC lookalike).,Wet sump,"765 mm (30.1 inches) If adjustable, lowest setting.",,195 mm (7.7 inches),1230 mm (48.4 inches),9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 6000 RPM,,,,,,,,,,,,,,,,,,,,,1.10 litres (0.29 US gallons),,This is the UK model. Only in production for 4 years 1979/82.,,
Yamaha RD 250 LC (reduced effect),1982,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 8100 RPM,149.0 km/h (92.6 mph),6.2:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,158.0 kg (348.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva SST 350,1982,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 5750 RPM,136.0 km/h (84.5 mph),9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,Port control,Air,5-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 TL Pantah,1982,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",581.0 ccm (35.45 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 8500 RPM,195.0 km/h (121.2 mph),9.5:1,80.0 x 57.8 mm (3.1 x 2.3 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,195.0 kg (429.9 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 F,1982,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 9000 RPM,203.0 km/h (126.1 mph),9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,253.0 kg (557.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 G 5,1982,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,157.0 km/h (97.6 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB450SC Nighthawk,1982,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",447.0 ccm (27.28 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)) @ 9000 RPM,,9.1:1,75.0 x 50.6 mm (3.0 x 2.0 inches),3,,Air,6-speed,Chain   (final drive),,,,,,,10000,Carburettor,Solid State,,,,Double Stainless Steel Pipes,,,,Burgundy and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 stroke parellel twin SOHC 3 valves per cylinder,
Cagiva SX 350,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,342.0 ccm (20.87 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,132.0 km/h (82.0 mph),9.6:1,80.0 x 68.0 mm (3.1 x 2.7 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,139.0 kg (306.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXB 1340 Sturgis,1982,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,170.0 km/h (105.6 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),,,Single disc,Single disc,278.0 kg (612.9 pounds),15.50 litres (4.10 US gallons),,Carburettor. Keihin,Analogue CDI, Wet 9-plate,,,,,,,,Electric,,,Telescopic forks,Swinging fork.,,,,,,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 3000 RPM,,255 mm (10.0 inches),,,,3.80 litres (4.02 US quarts),,SAE 50W,,,,NGK BPR5ES-11,900  RPM,,,23/51 (front/rear),,,35 mm (1.4 inches),,,,,,
Moto Guzzi V 1000 SP,1982,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,181.0 km/h (112.5 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,252.0 kg (555.6 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 Le Mans 111,1982,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 7700 RPM,214.0 km/h (133.0 mph),10.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1300 (reduced effect),1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,217.0 km/h (134.8 mph),9.9:1,62.0 x 71.0 mm (2.4 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,130/90-17 ,Dual disc,Single disc,322.0 kg (709.9 pounds),27.00 litres (7.13 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet De Luxe,1982,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 185 S,1982,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",180.0 ccm (10.98 cubic inches),"Single cylinder, four-stroke",16.0 HP (11.7  kW)) @ 8000 RPM,115.0 km/h (71.5 mph),9.2:1,63.0 x 57.8 mm (2.5 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Expanding brake,Expanding brake,118.0 kg (260.1 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 LC,1982,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7000 RPM,109.0 km/h (67.7 mph),7.2:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Liquid,6-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Expanding brake,Expanding brake,108.0 kg (238.1 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400 SE,1982,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",392.0 ccm (23.92 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,139.0 km/h (86.4 mph),9.3:1,69.0 x 52.4 mm (2.7 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,120/90-16 ,Single disc,Expanding brake,178.0 kg (392.4 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
