Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Fuel system,Ignition,Lubrication system,Clutch,Exhaust system,Reserve fuel capacity,Starter,Torque,Front suspension,Rear suspension,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Color options,Frame type,Diameter,Max RPM,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,Comments,Modifications compared to previous model,0-100 km/h (0-62 mph),Fuel consumption,Greenhouse gases,Oil capacity,Front percentage of weight,Rear percentage of weight,Seat height,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Driveline,Electrical,Idle speed,Wheels,Factory warranty
Moto Morini 500 M,1978,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,170.0 km/h (105.6 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.50-18 ,4.50-18 ,Dual disc,Expanding brake,184.0 kg (405.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 350 S,1978,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,349.0 ccm (21.30 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,150.0 km/h (93.2 mph),9.0:1,63.0 x 56.0 mm (2.5 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Dual disc,Single disc,157.0 kg (346.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 350 GTV,1978,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",350.0 ccm (21.36 cubic inches),"Twin, four-stroke",24.0 HP (17.5  kW)) @ 7500 RPM,140.0 km/h (87.0 mph),9.6:1,71.8 x 43.2 mm (2.8 x 1.7 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,195.0 kg (429.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80-7,1978,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",55.0 HP (40.1  kW)) @ 7000 RPM,186.0 km/h (115.6 mph),9.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 K 2nd. edition,1978,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",77.0 HP (56.2  kW)) @ 9000 RPM,200.0 km/h (124.3 mph),9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,256.0 kg (564.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silk 700S Sabre Mk2,1978,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,653.0 ccm (39.85 cubic inches),"Twin, two-stroke",54.0 HP (39.4  kW)) @ 6000 RPM,177.0 km/h (110.0 mph),,,,,Liquid,4-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Single disc,Expanding brake (drum brake),,,Carburettor,Electronic,50:1 petroil mix,,"Exhaust pipes,Ossa silencer",,Kick,,Cerriani style forks,Twin shocks,140.0 kg (308.6 pounds),0.3857 HP/kg,,,,,,Black,,180 mm (7.1 inches),,,,,,Silk Engineering was British company. ,,,,,,,,,,,,,,,,,,,,,,,Six-spoke Campagnolo cast wheel,
Yamaha IT 250 E,1978,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",26.1 HP (19.1  kW)) @ 7500 RPM,110.0 km/h (68.4 mph),7.8:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,,Air,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,12.11 litres (3.20 US gallons),Carburettor. VM 36 SC,CDI magneto,Pre-mix,Wet plate,,,Kick,26.5 Nm (2.7 kgf-m or 19.5 ft.lbs) @ 7000 RPM,Oil shocks,Monoshock,111.6 kg (246.0 pounds),0.2339 HP/kg,,,832 mm (32.8 inches),254 mm (10.0 inches),,Sky blue/black,Steel,,12000,279 mm (11.0 inches),254 mm (10.0 inches),,,,,,3.92 litres/100 km (25.5 km/l or 60.01 mpg),90.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,
Ducati 350 S Desmo,1978,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",350.0 ccm (21.36 cubic inches),"Twin, four-stroke",26.0 HP (19.0  kW)) @ 8000 RPM,148.0 km/h (92.0 mph),10.0:1,71.8 x 43.2 mm (2.8 x 1.7 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,193.0 kg (425.5 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 350 Twin,1978,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 5000 RPM,125.0 km/h (77.7 mph),9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT-10 36,1978,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5600 RPM,,,78.0 x 68.0 mm (3.1 x 2.7 inches),,,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,This model was made by Dnepr 1975-1984.,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 400,1978,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, two-stroke",43.0 HP (31.4  kW)) @ 7500 RPM,175.0 km/h (108.7 mph),6.0:1,64.0 x 62.0 mm (2.5 x 2.4 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Single disc,175.0 kg (385.8 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 400 E,1978,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",398.0 ccm (24.29 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,150.0 km/h (93.2 mph),8.5:1,65.0 x 60.0 mm (2.6 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 850 Magni,1978,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,837.0 ccm (51.07 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,,10.3:1,68.6 x 55.9 mm (2.7 x 2.2 inches),,Double Overhead Cams/Twin Cam (DOHC),Air,,,110/80-18 ,150/70-18 ,Double disc,Double disc,,18.90 litres (4.99 US gallons),Carburettor. Dell´Orto ,,,,,,,,"Telescopic, Forcelle",Dual Koni Shocks Preload Adjustable,200.0 kg (440.9 pounds),0.5498 HP/kg,,,,,,Red,Steel ,280 mm (11.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CJ 360 T,1978,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",357.0 ccm (21.78 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,145.0 km/h (90.1 mph),9.3:1,67.0 x 50.6 mm (2.6 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,184.0 kg (405.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 250-1 (with sidecar),1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,100.0 km/h (62.1 mph),8.5:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-16 ,Expanding brake,Expanding brake,234.0 kg (515.9 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 125 MX,1978,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 7000 RPM,110.0 km/h (68.4 mph),,56.0 x 50.0 mm (2.2 x 2.0 inches),,Membrane,Air,6-speed,Chain   (final drive),2.75-21 ,3.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),102.0 kg (224.9 pounds),7.00 litres (1.85 US gallons),Carburettor. Mikuni VM 24 SH,,Autolube,,,1.00 litres (0.26 US gallons),Kick,9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 6500 RPM,Hydraulic telescopic fork,Monocross,95.0 kg (209.4 pounds),0.1474 HP/kg,1120 mm (44.1 inches),2085 mm (82.1 inches),865 mm (34.1 inches),265 mm (10.4 inches),,,,130 mm (5.1 inches),8000,180 mm (7.1 inches),145 mm (5.7 inches),30.0°,,,,,,,1.00 litres (1.06 US quarts),,,"845 mm (33.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,
BMW R 65,1978,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Two cylinder boxer, four-stroke",45.0 HP (32.8  kW)) @ 7250 RPM,177.0 km/h (110.0 mph),9.2:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,210.0 kg (463.0 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 500 GTV,1978,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"Twin, four-stroke",39.0 HP (28.5  kW)) @ 7500 RPM,165.0 km/h (102.5 mph),9.6:1,78.0 x 52.0 mm (3.1 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,195.0 kg (429.9 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RT,1978,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",65.0 HP (47.4  kW)) @ 6600 RPM,174.0 km/h (108.1 mph),9.0:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,261.0 kg (575.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 550 E,1978,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",549.0 ccm (33.50 cubic inches),"In-line four, four-stroke",49.0 HP (35.8  kW)) @ 9000 RPM,184.0 km/h (114.3 mph),8.6:1,56.0 x 55.8 mm (2.2 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Dual disc,Expanding brake,218.0 kg (480.6 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250,1978,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 7200 RPM,145.0 km/h (90.1 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Single disc,158.0 kg (348.3 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maico MD 250 WK,1978,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,151.0 km/h (93.8 mph),11.7:1,76.0 x 54.0 mm (3.0 x 2.1 inches),,Rotary valves,Liquid,6-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Single disc,132.0 kg (291.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 S (J),1978,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 10000 RPM,116.0 km/h (72.1 mph),9.4:1,56.5 x 49.5 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-17 ,Single disc,Expanding brake,105.0 kg (231.5 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500,1978,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,176.0 km/h (109.4 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,3.75-18 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 I-Convert,1978,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,168.0 km/h (104.4 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,2-speed automatic,Shaft drive (cardan)   (final drive),4.10-18 ,4.10-18 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 TE,1978,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Two cylinder boxer, four-stroke",17.0 HP (12.4  kW)),160.0 km/h (99.4 mph),,,3,,Air,5-speed,Chain   (final drive),3.60-19 ,3.60-18 ,Single disc,Expanding brake (drum brake),,,Carburettor. KeiKhin,,Engine oil,Wet plates,Double steel cilencers,,Electric,,,Double shock,,,,,,,,Red/black,,,,,,,,,,50.00 seconds,,,,,,,,,,,,,,,,,,,,,,
Honda ST 70 DAX,1978,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",72.0 ccm (4.39 cubic inches),"Single cylinder, four-stroke",5.2 HP (3.8  kW)) @ 8000 RPM,75.0 km/h (46.6 mph),8.8:1,47.0 x 41.4 mm (1.9 x 1.6 inches),2,Overhead Cams (OHC),Air,3-speed,Chain   (final drive),3.50-10 ,3.50-10 ,Expanding brake,Expanding brake,75.0 kg (165.3 pounds),2.50 litres (0.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80-7 (reduced effect),1978,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,186.0 km/h (115.6 mph),8.0:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1000 LTD Gold Wing,1978,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",999.0 ccm (60.96 cubic inches),"Four cylinder boxer, four-stroke",82.0 HP (59.9  kW)) @ 7500 RPM,196.0 km/h (121.8 mph),9.2:1,72.0 x 61.4 mm (2.8 x 2.4 inches),2,Overhead Cams (OHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,295.0 kg (650.4 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 125 SS,1978,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 8500 RPM,120.0 km/h (74.6 mph),10.0:1,53.0 x 56.0 mm (2.1 x 2.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,108.0 kg (238.1 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KM 100,1978,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",100.0 ccm (6.10 cubic inches),"Single cylinder, two-stroke",8.8 HP (6.4  kW)) @ 6500 RPM,86.0 km/h (53.4 mph),7.2:1,49.5 x 51.8 mm (1.9 x 2.0 inches),,Rotary valves,Air,5-speed,Chain   (final drive),2.50-16 ,3.00-14 ,Expanding brake,Expanding brake,89.0 kg (196.2 pounds),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 N,1978,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",250.0 ccm (15.26 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8500 RPM,125.0 km/h (77.7 mph),9.4:1,62.0 x 41.4 mm (2.4 x 1.6 inches),3,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake,186.0 kg (410.1 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 250,1978,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",32.0 HP (23.4  kW)) @ 8500 RPM,149.0 km/h (92.6 mph),,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,155.0 kg (341.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLCR 1000 Cafe Racer,1978,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.0 ccm (60.84 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 6000 RPM,180.0 km/h (111.8 mph),9.0:1,81.0 x 96.8 mm (3.2 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.75-19 ,4.25-18 ,Dual disc,Single disc,218.0 kg (480.6 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules W 2000,1978,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,294.0 ccm (17.94 cubic inches),Single disk Wankel,27.0 HP (19.7  kW)) @ 6500 RPM,148.0 km/h (92.0 mph),8.5:1,,,,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,176.0 kg (388.0 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 250,1978,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 8100 RPM,115.0 km/h (71.5 mph),9.6:1,55.0 x 52.4 mm (2.2 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,178.0 kg (392.4 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 800 S America,1978,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,789.0 ccm (48.14 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,216.0 km/h (134.2 mph),9.5:1,67.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 550 K 3,1978,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",544.0 ccm (33.19 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,175.0 km/h (108.7 mph),9.0:1,58.5 x 50.6 mm (2.3 x 2.0 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Single disc,Expanding brake,208.0 kg (458.6 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KH 125,1978,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6300 RPM,100.0 km/h (62.1 mph),6.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),,Rotary valves,Air,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,106.0 kg (233.7 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 1100,1978,Touring," 4.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1101.0 ccm (67.18 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 8500 RPM,215.0 km/h (133.6 mph),9.2:1,71.5 x 68.6 mm (2.8 x 2.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,286.0 kg (630.5 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 175,1978,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",175.0 ccm (10.68 cubic inches),"Single cylinder, four-stroke",,,,,,,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 500 Pantah,1978,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,178.0 km/h (110.6 mph),9.5:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,201.0 kg (443.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 SS,1978,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 7000 RPM,200.0 km/h (124.3 mph),9.5:1,80.0 x 74.4 mm (3.1 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,120/90-18 ,Dual disc,Single disc,210.0 kg (463.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
