Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Reserve fuel capacity,Starter,Power,Torque,Top speed,Valves per cylinder,Transmission type,Front suspension,Rear suspension,Power/weight ratio,Seat height,Fuel control,Ground clearance,Ignition,Driveline,"Weight incl. oil, gas, etc",Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Oil filter,Battery,Sprockets,Belt teeth,Belt width,Pulley teeth,Comments,Alternate seat height,Front percentage of weight,Rear percentage of weight,Frame type,Exhaust system,Color options,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Max RPM,Modifications compared to previous model,Chain size,Chain links,Carrying capacity,Engine details,Seat
Suzuki DL 1000 V-Strom,2002,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",11.3:1,98.0 x 66.0 mm (3.9 x 2.6 inches),Injection,Liquid,6-speed,,,110/80-R19 ,150/70-R17 ,Dual disc,,Single disc,207.0 kg (456.4 pounds),1340 mm (52.8 inches),2290 mm (90.2 inches),865 mm (34.1 inches),1550 mm (61.0 inches),22.00 litres (5.81 US gallons),,,,,,4,Chain   (final drive),,,,"830 mm (32.7 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1300,2002,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1251.0 ccm (76.34 cubic inches),"In-line four, four-stroke",9.7:1,79.0 x 63.8 mm (3.1 x 2.5 inches),,Air,,130 mm (5.1 inches),120 mm (4.7 inches),120/70-ZR17 58W ,180/55-ZR17 73W ,Dual disc,267 mm (10.5 inches),Single disc,224.0 kg (493.8 pounds),1115 mm (43.9 inches),2175 mm (85.6 inches),775 mm (30.5 inches),1510 mm (59.4 inches),,,Electric,106.2 HP (77.5  kW)) @ 8000 RPM,104.7 Nm (10.7 kgf-m or 77.2 ft.lbs) @ 6000 RPM,,,,,,0.4741 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna Husky Boy,2002,"Minibike, cross"," 3.1  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,39.0 x 41.7 mm (1.5 x 1.6 inches),Carburettor,Air,1-speed,,,,,Expanding brake,90 mm (3.5 inches),Expanding brake,33.5 kg (73.9 pounds),,,,,,,Kick,,,,,,,,,"570 mm (22.4 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS Pampera 250,2002,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",247.7 ccm (15.11 cubic inches),"Single cylinder, two-stroke",,72.5 x 60.0 mm (2.9 x 2.4 inches),,Liquid,6-speed,,,-21 ,-18 ,Single disc,200 mm (7.9 inches),Single disc,,,,,1350 mm (53.1 inches),9.00 litres (2.38 US gallons),,,,,,,Chain   (final drive),,,,"860 mm (33.9 inches) If adjustable, lowest setting.",,310 mm (12.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 400 E,2002,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",12.0:1,92.0 x 60.1 mm (3.6 x 2.4 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),90/90-21 ,140/80-18 ,Single disc,220 mm (8.7 inches),Single disc,109.8 kg (242.1 pounds),,,,1490 mm (58.7 inches),,,Electric & kick,,,,4,,,,,"930 mm (36.6 inches) If adjustable, lowest setting.",,380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell X1W White Lightning,2002,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",10.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),Injection,Air,5-speed,119 mm (4.7 inches),117 mm (4.6 inches),120/70-ZR17 ,170/60-ZR17 ,Single disc,230 mm (9.1 inches),Single disc,200.0 kg (440.9 pounds),,,,1397 mm (55.0 inches),15.80 litres (4.17 US gallons),1.90 litres (0.50 US gallons),Electric,101.0 HP (73.7  kW)) @ 6000 RPM,122.0 Nm (12.4 kgf-m or 90.0 ft.lbs) @ 5500 RPM,,2,Belt   (final drive),,,0.5050 HP/kg,"787 mm (31.0 inches) If adjustable, lowest setting.",,125 mm (4.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Serow 225 WE,2002,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",9.5:1,70.0 x 58.0 mm (2.8 x 2.3 inches),,Air,6-speed,,,,,Single disc,,Single disc,108.0 kg (238.1 pounds),1140 mm (44.9 inches),2070 mm (81.5 inches),805 mm (31.7 inches),1350 mm (53.1 inches),10.00 litres (2.64 US gallons),,,20.0 HP (14.6  kW)) @ 8000 RPM,19.0 Nm (1.9 kgf-m or 14.0 ft.lbs) @ 7000 RPM,,2,Chain   (final drive),,,0.1852 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),285 mm (11.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Intruder LC 250,2002,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",10.5:1,52.0 x 58.5 mm (2.0 x 2.3 inches),Carburettor,Air,5-speed,,,90/90-18 51P ,150/80-15 M/C 70P ,Single disc,,Expanding brake,143.0 kg (315.3 pounds),1110 mm (43.7 inches),2240 mm (88.2 inches),880 mm (34.6 inches),1520 mm (59.8 inches),12.00 litres (3.17 US gallons),,,24.0 HP (17.5  kW)) @ 8000 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 6000 RPM,,3,,,,0.1678 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDR 125,2002,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",6.6:1,56.0 x 50.7 mm (2.2 x 2.0 inches),,Liquid,,180 mm (7.1 inches),180 mm (7.1 inches),100/90-18 56P ,130/80-17 65P ,Single disc,220 mm (8.7 inches),Single disc,128.0 kg (282.2 pounds),1295 mm (51.0 inches),2120 mm (83.5 inches),840 mm (33.1 inches),1405 mm (55.3 inches),,,,15.0 HP (10.9  kW)) @ 7000 RPM,14.7 Nm (1.5 kgf-m or 10.8 ft.lbs) @ 7000 RPM,,,,,,0.1172 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,270 mm (10.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 400 E,2002,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",12.2:1,90.0 x 62.6 mm (3.5 x 2.5 inches),Carburettor,Liquid,5-speed,,,80/100-21 ,110/100-18 ,Single disc,,Single disc,119.0 kg (262.4 pounds),1245 mm (49.0 inches),2235 mm (88.0 inches),825 mm (32.5 inches),1475 mm (58.1 inches),10.00 litres (2.64 US gallons),,,,,,4,Chain   (final drive),,,,"945 mm (37.2 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),325 mm (12.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan VN750,2002,Custom / cruiser," 2.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",10.3:1,84.9 x 66.2 mm (3.3 x 2.6 inches),Carburettor. 2 Keihin CVK34,Liquid,5-speed,,,,,Double disc. Drum,,,219.1 kg (483.0 pounds),,,,,13.62 litres (3.60 US gallons),,Electric,,,201.0 km/h (124.9 mph),4,Shaft drive (cardan)   (final drive),,,,,Double Overhead Cams/Twin Cam (DOHC),,Electronic,,,,,,,,,,,,,wet,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,double,,,,8500,,,,,,
Kawasaki ZZ-R 600,2002,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,,Liquid,6-speed,,,,,Dual disc,,Single disc,195.0 kg (429.9 pounds),,,,,,,Electric,100.0 HP (73.0  kW)),,,2,Chain   (final drive),,,0.5128 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FC 550-4,2002,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",550.0 ccm (33.56 cubic inches),"Single cylinder, four-stroke",12.6:1,100.0 x 70.0 mm (3.9 x 2.8 inches),Carburettor,Liquid,4-speed,295 mm (11.6 inches),320 mm (12.6 inches),80/100-21 ,110/100-19 ,Single disc,220 mm (8.7 inches),Single disc,103.5 kg (228.2 pounds),,,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),,Electric & kick,,,,4,,,,,"930 mm (36.6 inches) If adjustable, lowest setting.",,380 mm (15.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R 225,2002,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",9.5:1,70.0 x 58.0 mm (2.8 x 2.3 inches),Carburettor.  40 mm Mikuni CV with throttle position sensor,Air,6-speed,,,80/100-18 ,100/100-18 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),118.0 kg (260.1 pounds),1150 mm (45.3 inches),2070 mm (81.5 inches),820 mm (32.3 inches),1350 mm (53.1 inches),10.00 litres (2.64 US gallons),,,,17.7 Nm (1.8 kgf-m or 13.1 ft.lbs) @ 6500 RPM,,2,Chain   (final drive),Telescopic fork,Single shock,,,Single Overhead Cams (SOHC),,CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1100 XX Super Blackbird,2002,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1137.0 ccm (69.38 cubic inches),"In-line four, four-stroke",11.0:1,79.0 x 58.0 mm (3.1 x 2.3 inches),Injection,,6-speed,120 mm (4.7 inches),120 mm (4.7 inches),120/70-ZR17 58W ,180/55-ZR17 73W ,Dual disc,256 mm (10.1 inches),Single disc,224.0 kg (493.8 pounds),1200 mm (47.2 inches),2160 mm (85.0 inches),720 mm (28.3 inches),1490 mm (58.7 inches),23.00 litres (6.08 US gallons),4.00 litres (1.06 US gallons),,153.4 HP (112.0  kW)) @ 9500 RPM,119.0 Nm (12.1 kgf-m or 87.8 ft.lbs) @ 7250 RPM,,4,Chain   (final drive),,,0.6850 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT Boy 50 (with power-boost kit),2002,Trial,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,68.2 ccm (4.16 cubic inches),"Single cylinder, two-stroke",,47.0 x 39.3 mm (1.9 x 1.5 inches),Carburettor,Liquid,2-speed,140 mm (5.5 inches),155 mm (6.1 inches),-16 ,-14 ,Single disc,130 mm (5.1 inches),Single disc,,,,,,,,Kick,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta F4 S I+I,2002,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.4 ccm (45.73 cubic inches),"In-line four, four-stroke",12.0:1,73.8 x 43.8 mm (2.9 x 1.7 inches),,Liquid,6-speed,118 mm (4.6 inches),120 mm (4.7 inches),120/65-ZR17 56W ,190/50-ZR17 73W ,Dual disc,210 mm (8.3 inches),Single disc,192.0 kg (423.3 pounds),,2007 mm (79.0 inches),685 mm (27.0 inches),1398 mm (55.0 inches),21.00 litres (5.55 US gallons),4.00 litres (1.06 US gallons),Electric,137.0 HP (100.0  kW)) @ 12600 RPM,81.4 Nm (8.3 kgf-m or 60.0 ft.lbs) @ 10500 RPM,283.0 km/h (175.8 mph),4,Chain   (final drive),,,0.7135 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva V-Raptor 1000,2002,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",,98.0 x 66.0 mm (3.9 x 2.6 inches),,Liquid,6-speed,,,120/70-17 ,180/50-17 ,Dual disc,220 mm (8.7 inches),Single disc,197.0 kg (434.3 pounds),,,,1440 mm (56.7 inches),15.20 litres (4.02 US gallons),,Electric,112.0 HP (81.8  kW)) @ 8500 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 7000 RPM,,,Chain   (final drive),,,0.5685 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SH 150,2002,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",153.0 ccm (9.34 cubic inches),"Single cylinder, four-stroke",11.0:1,58.0 x 57.8 mm (2.3 x 2.3 inches),Carburettor,,Automatic,120 mm (4.7 inches),70 mm (2.8 inches),100/80-16 50P ,120/80-16 60P ,Single disc,130 mm (5.1 inches),Expanding brake,123.1 kg (271.4 pounds),1145 mm (45.1 inches),2020 mm (79.5 inches),705 mm (27.8 inches),1335 mm (52.6 inches),8.30 litres (2.19 US gallons),,,15.9 HP (11.6  kW)) @ 8500 RPM,14.2 Nm (1.4 kgf-m or 10.5 ft.lbs) @ 7000 RPM,,,,,,0.1292 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,126 mm (5.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1200 SS,2002,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1156.0 ccm (70.54 cubic inches),"In-line four, four-stroke",9.5:1,79.0 x 59.0 mm (3.1 x 2.3 inches),,,5-speed,,,120/70-ZR17 58W ,170/60-ZR17 72W ,Dual disc,,Single disc,210.0 kg (463.0 pounds),1220 mm (48.0 inches),2115 mm (83.3 inches),765 mm (30.1 inches),1460 mm (57.5 inches),20.00 litres (5.28 US gallons),,,100.0 HP (73.0  kW)) @ 8000 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 6500 RPM,,4,,,,0.4762 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Double Overhead Cams/Twin Cam (DOHC),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Multistrada 1000,2002,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",,94.0 x 71.5 mm (3.7 x 2.8 inches),,Air,6-speed,165 mm (6.5 inches),160 mm (6.3 inches),120/70-ZR17 ,190/50-ZR17 ,Dual disc,320 mm (12.6 inches),245,195.0 kg (429.9 pounds),,,,1450 mm (57.1 inches),20.00 litres (5.28 US gallons),4.00 litres (1.06 US gallons),,,,,2,Chain   (final drive),,,,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF R1,2002,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",11.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),,Liquid,,120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 M/C 58W ,190/50-ZR17 M/C 73W ,Dual disc,220 mm (8.7 inches),Single disc,174.0 kg (383.6 pounds),1105 mm (43.5 inches),2035 mm (80.1 inches),705 mm (27.8 inches),1395 mm (54.9 inches),,,Electric,152.0 HP (110.9  kW)) @ 10500 RPM,104.9 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 8500 RPM,,5,Chain   (final drive),,,0.8736 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-9R Ninja,2002,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",12.2:1,75.0 x 50.9 mm (3.0 x 2.0 inches),,Liquid,6-speed,120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 M/C 58W ,190/50-ZR17 M/C 73W ,Dual disc,220 mm (8.7 inches),Single disc,186.0 kg (410.1 pounds),1152 mm (45.4 inches),2058 mm (81.0 inches),747 mm (29.4 inches),1417 mm (55.8 inches),18.00 litres (4.76 US gallons),,Electric,144.0 HP (105.1  kW)) @ 11000 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 9200 RPM,,4,Chain   (final drive),,,0.7742 HP/kg,"827 mm (32.6 inches) If adjustable, lowest setting.",,158 mm (6.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TC 570,2002,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.3 ccm (35.17 cubic inches),"Single cylinder, four-stroke",,98.0 x 76.4 mm (3.9 x 3.0 inches),Carburettor,Liquid,4-speed,,,80/100-21 ,110/90-19 ,Single disc,220 mm (8.7 inches),Single disc,111.3 kg (245.4 pounds),,,,1488 mm (58.6 inches),10.00 litres (2.64 US gallons),,Kick,,,,4,Chain   (final drive),,,,"920 mm (36.2 inches) If adjustable, lowest setting.",,368 mm (14.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California EV Touring,2002,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",9.5:1,92.0 x 80.0 mm (3.6 x 3.1 inches),,Air,5-speed,,,110/90-VB18 ,150/80-VB17 ,Dual disc,282 mm (11.1 inches),Single disc,257.0 kg (566.6 pounds),1150 mm (45.3 inches),2380 mm (93.7 inches),815 mm (32.1 inches),1560 mm (61.4 inches),19.00 litres (5.02 US gallons),,Electric,74.0 HP (54.0  kW)) @ 6400 RPM,94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5000 RPM,,2,Shaft drive (cardan)   (final drive),,,0.2879 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CL 400,2002,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",397.0 ccm (24.22 cubic inches),"Single cylinder, four-stroke",8.8:1,85.0 x 70.0 mm (3.3 x 2.8 inches),Carburettor,Air,5-speed,,,90/100-19 55P ,110/90-18 61P ,Single disc,,Expanding brake,140.0 kg (308.6 pounds),1135 mm (44.7 inches),2175 mm (85.6 inches),825 mm (32.5 inches),1410 mm (55.5 inches),12.00 litres (3.17 US gallons),,,29.0 HP (21.2  kW)) @ 7000 RPM,34.0 Nm (3.5 kgf-m or 25.1 ft.lbs) @ 5500 RPM,,4,,,,0.2071 HP/kg,,Overhead Cams (OHC),185 mm (7.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS SM 400 FSE,2002,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,90.0 x 62.6 mm (3.5 x 2.5 inches),Carburettor,Liquid,6-speed,295 mm (11.6 inches),320 mm (12.6 inches),120/60-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,,,,,1475 mm (58.1 inches),9.50 litres (2.51 US gallons),,,47.0 HP (34.3  kW)) @ 9940 RPM,43.2 Nm (4.4 kgf-m or 31.8 ft.lbs) @ 6570 RPM,,,Chain   (final drive),,,,"900 mm (35.4 inches) If adjustable, lowest setting.",,290 mm (11.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLE 500,2002,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",,,,,6-speed,,,,,Single disc,,Single disc,181.0 kg (399.0 pounds),,,,,,,,48.0 HP (35.0  kW)),,,4,Chain   (final drive),,,0.2652 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR 125 R,2002,Cross / motocross," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",8.7:1,54.0 x 54.5 mm (2.1 x 2.1 inches),,Liquid,5-speed,305 mm (12.0 inches),318 mm (12.5 inches),80/100-21 ,100/90-19 ,Single disc,240 mm (9.4 inches),Single disc,87.5 kg (192.9 pounds),,,,1458 mm (57.4 inches),9.10 litres (2.40 US gallons),,,,,,,Chain   (final drive),,,,"947 mm (37.3 inches) If adjustable, lowest setting.",,345 mm (13.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1200 S,2002,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1164.0 ccm (71.03 cubic inches),"In-line four, four-stroke",,,,Liquid,5-speed,,,,,Dual disc,,Single disc,227.0 kg (500.4 pounds),,,,,,,Electric,122.0 HP (89.1  kW)),,,4,Chain   (final drive),,,0.5374 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 1200 S Sportster 1200 Sport,2002,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",10.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),Carburettor,Air,,,,,,Dual disc,292 mm (11.5 inches),Single disc,240.0 kg (529.1 pounds),,2250 mm (88.6 inches),,1515 mm (59.6 inches),12.50 litres (3.30 US gallons),1.90 litres (0.50 US gallons),,,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 3000 RPM,,,Belt   (final drive),,,,"711 mm (28.0 inches) If adjustable, lowest setting.",,170 mm (6.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 400 E,2002,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",12.0:1,92.0 x 60.1 mm (3.6 x 2.4 inches),Carburettor,Liquid,6-speed,260 mm (10.2 inches),287 mm (11.3 inches),120/60-17 ,150/60-17 ,Single disc,220 mm (8.7 inches),Single disc,111.9 kg (246.7 pounds),,,,1490 mm (58.7 inches),9.00 litres (2.38 US gallons),,Electric & kick,,,,4,,,,,"870 mm (34.3 inches) If adjustable, lowest setting.",,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RX 50,2002,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",12.0:1,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor,Liquid,6-speed,250 mm (9.8 inches),260 mm (10.2 inches),80/90-21 ,110/80-18 ,Single disc,220 mm (8.7 inches),Single disc,92.0 kg (202.8 pounds),1350 mm (53.1 inches),2060 mm (81.1 inches),810 mm (31.9 inches),1360 mm (53.5 inches),9.50 litres (2.51 US gallons),1.50 litres (0.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C3 Shadow Aero,2002,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",8.0:1,87.5 x 91.4 mm (3.4 x 3.6 inches),,Liquid,5-speed,150 mm (5.9 inches),94 mm (3.7 inches),140/80-17 ,170/80-15 ,Single disc,,Single disc,279.0 kg (615.1 pounds),,,,1679 mm (66.1 inches),19.10 litres (5.05 US gallons),5.00 litres (1.32 US gallons),,,,,3,Shaft drive (cardan)   (final drive),,,,"724 mm (28.5 inches) If adjustable, lowest setting.",Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 750 C2 Shadow,2002,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",9.0:1,79.0 x 76.0 mm (3.1 x 3.0 inches),Carburettor,,5-speed,116 mm (4.6 inches),90 mm (3.5 inches),120/90-17 64S ,170/80-15M/C 77S ,Single disc,180 mm (7.1 inches),Expanding brake,229.0 kg (504.9 pounds),1110 mm (43.7 inches),2455 mm (96.7 inches),980 mm (38.6 inches),1615 mm (63.6 inches),14.00 litres (3.70 US gallons),3.60 litres (0.95 US gallons),,45.2 HP (33.0  kW)) @ 5500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 3000 RPM,,3,Chain   (final drive),,,0.1974 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,145 mm (5.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
