Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Comments,Valves per cylinder,Torque,Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Oil capacity,Electrical,1/4 mile (0.4 km),Modifications compared to previous model,Wheels,Alternate seat height,Carrying capacity
Honda CB 125 Disc,1977,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",12.0 HP (8.8  kW)) @ 10500 RPM,108.0 km/h (67.1 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Single disc,Expanding brake,133.0 kg (293.2 pounds),9.00 litres (2.38 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 650,1977,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"In-line four, four-stroke",,,,,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton Commando 850 Interstate MK 3,1977,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",828.0 ccm (50.52 cubic inches),"Twin, four-stroke",51.0 HP (37.2  kW)) @ 5600 RPM,190.0 km/h (118.1 mph),8.5:1,77.0 x 89.0 mm (3.0 x 3.5 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),4.10-19 ,4.10-19 ,Single disc,Single disc,233.0 kg (513.7 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100-7,1977,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",60.0 HP (43.8  kW)) @ 6500 RPM,192.0 km/h (119.3 mph),9.0:1,94.0 x 70.6 mm (3.7 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS 100 DX,1977,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",10.5 HP (7.7  kW)) @ 7500 RPM,104.0 km/h (64.6 mph),6.8:1,52.0 x 45.6 mm (2.0 x 1.8 inches),Membrane,Air,5-speed,Chain   (final drive),2.50-18 ,2.75-18 ,Expanding brake,Expanding brake,93.0 kg (205.0 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 400,1977,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7400 RPM,150.0 km/h (93.2 mph),8.5:1,65.0 x 60.0 mm (2.6 x 2.4 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,185.0 kg (407.9 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CT 125,1977,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,91.7 km/h (57.0 mph),8.0:1,56.5 x 49.5 mm (2.2 x 1.9 inches),,Air,5-speed,Chain   (final drive),3.00-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,6.05 litres (1.60 US gallons),,,,,Carburettor,Kick,,Manual,,,Single black exaust,,28.7°,110 mm (4.3 inches),Inverted Forks,108.0 kg (238.1 pounds),,"813 mm (32.0 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2035 mm (80.1 inches),900 mm (35.4 inches),,1295 mm (51.0 inches),1.51 litres (0.40 US gallons),Orange,Kick,,Twin Rear Spring,,,,,,This Motorcycle was made for one year only.,,"813 mm (32.0 inches) If adjustable, highest setting.",
Moto Morini 3 1-2 Touring,1977,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,153.0 km/h (95.1 mph),10.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.10-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),16.00 litres (4.23 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda Alpino 500,1977,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Twin, four-stroke",44.0 HP (32.1  kW)) @ 9500 RPM,172.5 km/h (107.2 mph),,72.0 x 61.0 mm (2.8 x 2.4 inches),Double Overhead Cams/Twin Cam (DOHC),Air,,Chain   (final drive),90/90-17 ,110/90-18 ,Double disc,Single disc,,13.50 litres (3.57 US gallons),,,44.7 Nm (4.6 kgf-m or 33.0 ft.lbs) @ 5200 RPM,,Injection. Dell´Orto 2x32mm,CDI,,,,,,,,,Telescopic,175.0 kg (385.8 pounds),0.2514 HP/kg,,,,,,,,Blue,Electric,,Marzocchi 5-Way Adjustable Shocks,,260 mm (10.2 inches),,,,,,,
Honda CJ 250 T,1977,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 9500 RPM,135.0 km/h (83.9 mph),9.5:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,183.0 kg (403.4 pounds),14.00 litres (3.70 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KH 125,1977,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 6770 RPM,109.0 km/h (67.7 mph),7.0:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Rotary valves,Air,6-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,106.0 kg (233.7 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 900 S Arturo Magni - Cento Valli,1977,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",105.0 HP (76.6  kW)) @ 10000 RPM,230.0 km/h (142.9 mph),10.0:1,70.0 x 58.0 mm (2.8 x 2.3 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,245.0 kg (540.1 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr K-750M,1977,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",746.0 ccm (45.52 cubic inches),"Two cylinder boxer, four-stroke",26.0 HP (19.0  kW)) @ 4900 RPM,,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,Shaft drive (cardan)   (final drive),,,Expanding brake,Expanding brake,,,Military motorcyle manufactured at the Dnepr Kiev factory 1963-1977.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 550 F,1977,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",544.0 ccm (33.19 cubic inches),"In-line four, four-stroke",,,9.0:1,58.5 x 50.6 mm (2.3 x 2.0 inches),,,,,3.25-S 19 (4 PR) ,3.75-S 18 (4 PR) ,,,,16.00 litres (4.23 US gallons),,,,,,,,,,,,,26.0°,105 mm (4.1 inches),,191.0 kg (421.1 pounds),,,1100 mm (43.3 inches),2115 mm (83.3 inches),835 mm (32.9 inches),,1405 mm (55.3 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,
Suzuki GT 500,1977,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Twin, two-stroke",38.0 HP (27.7  kW)) @ 6000 RPM,169.0 km/h (105.0 mph),8.5:1,70.0 x 64.0 mm (2.8 x 2.5 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,195.0 kg (429.9 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zündapp KS 125 Sport,1977,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7600 RPM,125.0 km/h (77.7 mph),12.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Port control,Air,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Expanding brake,Expanding brake,116.0 kg (255.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSK 175 W21B2S2,1977,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",173.8 ccm (10.61 cubic inches),"Single cylinder, two-stroke",14.0 HP (10.2  kW)) @ 6300 RPM,100.0 km/h (62.1 mph),9.0:1,61.0 x 59.5 mm (2.4 x 2.3 inches),Port control,Air,4-speed,Chain   (final drive),3.00-19 ,3.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,8.00 litres (2.11 US gallons),,,16.7 Nm (1.7 kgf-m or 12.3 ft.lbs) @ 5800 RPM,6600,Carburettor. Bing 1/26/125/II  26 mm,Magneto,Mixture 1 : 30,Wet 4 plate,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel single pipe,"Single, steel welded tubes",,,Coil springs with oil shock absorbers in fork,111.0 kg (244.7 pounds),0.1261 HP/kg,,1080 mm (42.5 inches),2020 mm (79.5 inches),860 mm (33.9 inches),,1320 mm (52.0 inches),2.00 litres (0.53 US gallons),Orange only,Kick,150 mm (5.9 inches),Trailing arms with two coil springs and oil shock absorbers,,135 mm (5.3 inches),,,,Face lifting of W21B2S1.,,,
Honda CB 550 Four K,1977,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",544.0 ccm (33.19 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)),,,,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),"3,25-19 ","3,75-18 ",Single disc,Expanding brake (drum brake),,,"all the not completed specification are virtually the same as for the 1978 CB 550 Four K3 model, I do not know everything by heart.",2,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Compared to previous model CB 500 Four, the following was modified:
- engine capacity
- shape of exhaust pipes 
- tank shape and cap
- gear shifting fork
- clutch adjustment
- colors  and  trim",,,
Harley-Davidson SX 250,1977,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",20.0 HP (14.6  kW)) @ 7000 RPM,115.0 km/h (71.5 mph),10.3:1,72.0 x 59.6 mm (2.8 x 2.3 inches),Port control,Air,5-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 3 C,1977,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",78.0 HP (56.9  kW)) @ 7750 RPM,208.0 km/h (129.2 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,243.0 kg (535.7 pounds),20.00 litres (5.28 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 800 SS Super America,1977,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",789.0 ccm (48.14 cubic inches),"In-line four, four-stroke",82.0 HP (59.9  kW)) @ 9000 RPM,220.0 km/h (136.7 mph),10.0:1,67.0 x 56.0 mm (2.6 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60-7,1977,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"Two cylinder boxer, four-stroke",40.0 HP (29.2  kW)) @ 6400 RPM,167.0 km/h (103.8 mph),9.2:1,73.5 x 70.6 mm (2.9 x 2.8 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400T,1977,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,395.0 ccm (24.10 cubic inches),"Twin, four-stroke",34.2 HP (24.9  kW)) @ 9500 RPM,175.0 km/h (108.7 mph),9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),Single Overhead Cams (SOHC),Air,,Chain   (final drive),3.60-19 ,4.10-18 ,Single disc,Expanding brake (drum brake),177.0 kg (390.2 pounds),14.00 litres (3.70 US gallons),,,28.5 Nm (2.9 kgf-m or 21.0 ft.lbs),,,Electronic,,,,,,Diamond,,,Telescopic fork,,,"800 mm (31.5 inches) If adjustable, lowest setting.",1125 mm (44.3 inches),2131 mm (83.9 inches),729 mm (28.7 inches),,1389 mm (54.7 inches),,Blue,Electric,,Swingarm Twin Shock Absorbers,,153 mm (6.0 inches),,,,,,,
Sanglas 500 S,1977,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5930 RPM,140.0 km/h (87.0 mph),8.0:1,89.5 x 79.0 mm (3.5 x 3.1 inches),Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,203.0 kg (447.5 pounds),18.00 litres (4.76 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35,1977,Touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,148.0 km/h (92.0 mph),10.8:1,66.0 x 50.6 mm (2.6 x 2.0 inches),Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-18 ,3.25-18 ,Dual disc,Single disc,175.0 kg (385.8 pounds),16.00 litres (4.23 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 550,1977,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",549.0 ccm (33.50 cubic inches),"In-line four, four-stroke",49.0 HP (35.8  kW)) @ 9000 RPM,184.0 km/h (114.3 mph),8.6:1,56.0 x 55.8 mm (2.2 x 2.2 inches),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Dual disc,Expanding brake,218.0 kg (480.6 pounds),17.00 litres (4.49 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 250,1977,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 5400 RPM,109.0 km/h (67.7 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos APN 4,1977,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",48.8 ccm (2.98 cubic inches),"Single cylinder, two-stroke",3.5 HP (2.6  kW)) @ 6200 RPM,55.0 km/h (34.2 mph),10.0:1,38.0 x 43.0 mm (1.5 x 1.7 inches),Membrane,Air,4-speed,Chain   (final drive),,,,,67.0 kg (147.7 pounds),5.00 litres (1.32 US gallons),,,3.8 Nm (0.4 kgf-m or 2.8 ft.lbs) @ 5800 RPM,,Carburettor,,,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,1850 mm (72.8 inches),,,,,,Kick,,,,,,,,,,,130 kg
Benelli 500 LS,1977,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"In-line four, four-stroke",44.0 HP (32.1  kW)) @ 8500 RPM,173.0 km/h (107.5 mph),10.2:1,56.0 x 50.6 mm (2.2 x 2.0 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-18 ,4.10-18 ,Dual disc,Expanding brake,230.0 kg (507.1 pounds),19.00 litres (5.02 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1977,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),9.00 litres (2.38 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 500 S Desmo,1977,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 8000 RPM,180.0 km/h (111.8 mph),9.6:1,78.0 x 52.0 mm (3.1 x 2.0 inches),Desmodromic valve control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,186.0 kg (410.1 pounds),19.00 litres (5.02 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 125,1977,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 9400 RPM,114.0 km/h (70.8 mph),9.4:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,3.50-18 ,Expanding brake,Expanding brake,110.0 kg (242.5 pounds),6.00 litres (1.59 US gallons),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
