Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Compression,Valves per cylinder,Fuel control,Fuel consumption,Greenhouse gases,Trail,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Factory warranty,Comments,Top speed,Wheels,Power/weight ratio,Electrical,Exhaust system,Carrying capacity,Seat,Instruments,Emission details,Reserve fuel capacity,Light,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front percentage of weight,Alternate seat height,Max RPM,1/4 mile (0.4 km),Oil filter,Battery
Hyosung GV250,2012,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",57.0 x 48.8 mm (2.2 x 1.9 inches),Carburettor. 2 x BDS26 Mikuni,,  Wet sump,Oil & air,5-speed,Chain   (final drive),,Constant mesh,,25.0°,Conventional fork,,Swing arm with Hydraulic Double shock absorber (Preload adjustable),,110/90-16 ,150/80-15 ,Single disc. 2 pistons caliper,,Expanding brake (drum brake),176.0 kg (388.0 pounds),"709 mm (27.9 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1435 mm (56.5 inches),14.00 litres (3.70 US gallons),"Black, white/black, red/black, black/orange",Electric,75° V-twin,25.0 HP (18.2  kW)) @ 10000 RPM,22.0 Nm (2.2 kgf-m or 16.3 ft.lbs) @ 7500 RPM,10.3:1,4,Double Overhead Cams/Twin Cam (DOHC),,,,,1092 mm (43.0 inches),1514 mm (59.6 inches),719 mm (28.3 inches),24 months,,,,0.1421 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TMAX Tech Max,2012,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",66.0 x 73.0 mm (2.6 x 2.9 inches),Injection,TCI,Dry sump,Liquid,Automatic,Belt   (final drive),,V-Belt Automatic,Die-cast aluminium chassis,,Telescopic fork,120 mm (4.7 inches),Swingarm,,120/70-15 ,160/60-15 ,Double disc. 4-piston. Hydraulic. Optional ABS.,267 mm (10.5 inches),Single disc. Hydraulic. Optional ABS.,,"800 mm (31.5 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1580 mm (62.2 inches),15.00 litres (3.96 US gallons),Tech bronze,Electric,Forward-inclined parallel 2-cylinder,42.9 HP (31.3  kW)) @ 7500 RPM,46.4 Nm (4.7 kgf-m or 34.2 ft.lbs) @ 6500 RPM,11.0:1,2,Double Overhead Cams/Twin Cam (DOHC),,,,221.0 kg (487.2 pounds),1445 mm (56.9 inches),2195 mm (86.4 inches),775 mm (30.5 inches),,ABS brakes ads 4 kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ6 Diversion   ,2012,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",65.5 x 44.5 mm (2.6 x 1.8 inches),Injection,TCI,Wet sump,Liquid,6-speed,Chain   (final drive),"Wet, Multiple Disc",,"Steel, Diamond Shaped",26.0°,Telescopic forks,130 mm (5.1 inches),Linked monoshock with spring preload adjustment,130 mm (5.1 inches),120/70-ZR17 ,160/60-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"785 mm (30.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),"Blue, white, black",Electric,,76.4 HP (55.8  kW)) @ 10000 RPM,59.7 Nm (6.1 kgf-m or 44.0 ft.lbs) @ 6100 RPM,12.2:1,4,Double Overhead Cams/Twin Cam (DOHC),,,103 mm (4.1 inches),211.0 kg (465.2 pounds),,2120 mm (83.5 inches),770 mm (30.3 inches),,,,,,,,,,,Three-way catalyser with O2 sensor,,,3.40 litres (3.59 US quarts),,,,,,,,,,,,,,,,,
Kymco G-Dink 300i,2012,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",270.6 ccm (16.51 cubic inches),"Single cylinder, four-stroke",72.7 x 65.2 mm (2.9 x 2.6 inches),Injection,C.D.I.,,Liquid,Automatic,,,CVT,,,Telescopic fork,,Double swing,,120/70-12 ,140/70-12 ,Single disc. Wavy,200 mm (7.9 inches),Single disc,140.0 kg (308.6 pounds),"760 mm (29.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1450 mm (57.1 inches),9.00 litres (2.38 US gallons),"Black, gray, blue, red, white, silver",Electric,,17.4 HP (12.7  kW)) @ 8000 RPM,23.5 Nm (2.4 kgf-m or 17.3 ft.lbs) @ 6250 RPM,10.6:1,,Overhead Cams (OHC),,,,,1360 mm (53.5 inches),2090 mm (82.3 inches),770 mm (30.3 inches),2 Year Warranty,Made in Taiwan. Also called Grand Dink 125i.,,Aluminium,0.1245 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna CR125,2012,Cross / motocross," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",144.0 ccm (8.79 cubic inches),"Single cylinder, two-stroke",58.0 x 58.0 mm (2.3 x 2.3 inches),Carburettor. Mikuni TMX38,,,,6-speed,Chain   (final drive),Wet multi-plate,Constant mesh,Chromoly single tube frame cradle utilizes rounded-rectangle elliptical tubing.,,Marzocchi 48mm forks. Upside down (USD) forks with compression and rebound adjustment ,,"Sachs single shock with remote reservoir, adjustable spring preload, compression and rebound damping.",,90/90-21 ,2.15-18 ,Single disc,240 mm (9.4 inches),Single disc,92.0 kg (202.8 pounds),"985 mm (38.8 inches) If adjustable, lowest setting.",325 mm (12.8 inches),1460 mm (57.5 inches),7.00 litres (1.85 US gallons),Red/White,Kick,Reed valve in crankcase with power valve,,,8.8:1,,,,,,,,2215 mm (87.2 inches),820 mm (32.3 inches),2 Years,The model comes with a 144cc top-end kit complete with cylinder and piston for adding 19cc. ,,,,,,,,,,,,0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,
Vespa S 150 i.e.,2012,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",62.5 x 48.5 mm (2.5 x 1.9 inches),Injection,,"Wet sump, chain-driven lobe pump",Air,Automatic,Belt   (final drive),Automatic dry centrifuge with damper buffers,CVT transformer with torque slave,Load-bearing steel chassis,,Single arm with coil spring,,Helical spring with adjustable 4-position pre-load,,110/70-11 ,120/70-10 ,Single disc. Hydraulic,110 mm (4.3 inches),Expanding brake (drum brake),110.0 kg (242.5 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",,1280 mm (50.4 inches),8.20 litres (2.17 US gallons),"Black, Orange, Blue/White, White/Red, Red ",Electric & kick,Leader engine,11.7 HP (8.5  kW)) @ 7750 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 6000 RPM,,3,Single Overhead Cams (SOHC),3.24 litres/100 km (30.9 km/l or 72.60 mpg),75.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1801 mm (70.9 inches),,,,95.0 km/h (59.0 mph),,0.1060 HP/kg,,,,,,EPA and CARB,,,,,,,DOT 4,"NGK CR8EB, NGK CR8EIX",,,,,,,,,,,,
Yamaha Raptor 250R,2012,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",74.0 x 58.0 mm (2.9 x 2.3 inches),Carburettor. Mikuni  29mm BSR,,,Oil & air,5-speed,Chain   (final drive),Wet multiplate,"2WD; sealed O-ring chain, eccentric adjustment",,,Independent double wishbone,191 mm (7.5 inches),"Swingarm, preload-adjustable",201 mm (7.9 inches),20/7-10 ,19/10-9 ,Double disc,,Single disc,,"729 mm (28.7 inches) If adjustable, lowest setting.",99 mm (3.9 inches),1110 mm (43.7 inches),9.08 litres (2.40 US gallons),Team Yamaha Blue/White w/Piggyback Shocks,Electric,Ceramic-composite cylinder liner,,,9.5:1,2,Single Overhead Cams (SOHC),,,,149.7 kg (330.0 pounds),1039 mm (40.9 inches),1626 mm (64.0 inches),1069 mm (42.1 inches),6 Month (Limited Factory Warranty),,,,,,,,,,,,Dual 30W Krypton multireflector headlights  and  21/5W brakelight,,,,,,,,,,,,,,,,,,
Honda CRF230L,2012,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",65.5 x 66.2 mm (2.6 x 2.6 inches),Carburettor. 30mm CV carbureto,CD,Dry sump,Air,6-speed,Chain   (final drive),,#520 O-ring-sealed chain,,26.8°,37mm leading-axle Showa  fork,229 mm (9.0 inches),Pro-link Showa  single shock with adjustable spring preload adjustability,160 mm (6.3 inches),2.75-21 ,120/80-18 ,Single disc. Twin-piston caliper,220 mm (8.7 inches),Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",241 mm (9.5 inches),1340 mm (52.8 inches),8.71 litres (2.30 US gallons),Red,,,,65.5 Nm (6.7 kgf-m or 48.3 ft.lbs),9.0:1,,Single Overhead Cams (SOHC),,,103 mm (4.1 inches),121.1 kg (267.0 pounds),,,,,Model ID: CRF230L,,,,,,,,,Meets current CARB and EPA standards,2.65 litres (0.70 US gallons),,,,,,,,,,,,,,,,,,,
Fantic Caballero TZ  250 ES,2012,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.3 ccm (15.21 cubic inches),"Single cylinder, two-stroke",66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Kehin PWK 38,Kokusan,,Liquid,6-speed,Chain   (final drive),Wet multidisk,,Perimetrale in steel and CrMo,,"Marzocchi fork, 48mm",300 mm (11.8 inches),Ohlins monoshock with triple regulation,315 mm (12.4 inches),90/90-21 ,140/80-18 ,Single disc. Wave,220 mm (8.7 inches),Single disc. Wave,103.0 kg (227.1 pounds),"940 mm (37.0 inches) If adjustable, lowest setting.",,1473 mm (58.0 inches),9.50 litres (2.51 US gallons),Red/white/blue/black,Kick,,,,,,,,,,,,2060 mm (81.1 inches),,,Model also called Regolarita´ Scuderia 250 2T. Optional electric start. Italian brand.,,,,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Kymco Super 8 50 2T,2012,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor,,,Air,Automatic,Belt   (final drive),"Wet, multiplate",CVT,Steel,,Telescopic forks,80 mm (3.1 inches),Dual shocks,25 mm (1.0 inches),70/90-17 ,80/90-17 ,Single disc,,Expanding brake (drum brake),105.9 kg (233.5 pounds),"787 mm (31.0 inches) If adjustable, lowest setting.",,,5.00 litres (1.32 US gallons),"Red/White, Blue/White, Black/Silver",Electric & kick,,1.5 HP (1.1  kW)) @ 6500 RPM,2.5 Nm (0.3 kgf-m or 1.8 ft.lbs) @ 4000 RPM,8.0:1,,Single Overhead Cams (SOHC),,,,,,,,Two Year Limited Factory Warranty,,,,0.0142 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta LN125,2012,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",52.4 x 57.8 mm (2.1 x 2.3 inches),Carburettor,Electronic capacitor discharge ignition CDI,"Vapor lubrication system, force-feed",Air,Automatic,Belt   (final drive),"Automatic, centrifugal dry clutch system with dampers",CVT / speed variator,Steel,,Telescopic hydraulic,,Hydraulic monoshock,,110/70-12 ,120/70-12 ,Single disc,190 mm (7.5 inches),Expanding brake (drum brake),111.0 kg (244.7 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",,,6.00 litres (1.59 US gallons),"Milk/Cyan, Milk/Yellow, Milk/Red, Milk/Coral, Milk/green",Electric,,8.7 HP (6.4  kW)) @ 8000 RPM,8.3 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 6500 RPM,10.4:1,2,Single Overhead Cams (SOHC),,,,,1380 mm (54.3 inches),1930 mm (76.0 inches),530 mm (20.9 inches),,,,,0.0786 HP/kg,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
KTM 65 SX,2012,"Minibike, cross"," 3.5  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",64.9 ccm (3.96 cubic inches),"Single cylinder, two-stroke",45.0 x 40.8 mm (1.8 x 1.6 inches),Carburettor. Mikuni TM 24,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Mixture oil lubrication 1:60,Liquid,6-speed,Chain   (final drive),"Wet mDouble disk clutch, operated hydraulically",14:48 Primary. 23:75 straight cut spur gear.,"Central tube frame of chrome molybdenum steel tubing, powder-coated",25.5°,WP Suspension USD 35,215 mm (8.5 inches),WP Suspension 3614 BAVP,270 mm (10.6 inches),60/100-14 ,80/100-12 ,Single disc,160 mm (6.3 inches),Single disc,55.4 kg (122.1 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",280 mm (11.0 inches),1137 mm (44.8 inches),3.50 litres (0.92 US gallons),Orange/black/white,Kick,Reed intake and exhaust control,,,,,,,,,,,,,,,,"1.6 x 14in., 1.6 x 12in. Alu",,,Aluminium,,,,,,,,,,,,,,,,,,,,,,,,
Peraves Monotracer,2012,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",,Injection,,,Liquid,4-speed,Shaft drive (cardan)   (final drive),Dry plate,,Composite-Monocoque in DuPont™ Kevlar,,Marzocchi 50mm USD telescopic fork,,Monolever swingarm. Ohlins shocks,,,,"Double disc. ABS, optional anti-spin",320 mm (12.6 inches),"Single disc. ABS, optional anti-spin","485.0 kg (1,069.2 pounds)",,,,50.00 litres (13.21 US gallons),White,Electric,BMW K1200LT engine,114.0 HP (83.2  kW)) @ 8000 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6750 RPM,,4,,3.62 litres/100 km (27.6 km/l or 64.98 mpg),84.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,1340 mm (52.8 inches),3650 mm (143.7 inches),1250 mm (49.2 inches),,"Heating. Optional air-condition. TomTom GPS, Blootooth/iPod. Price from SFR 85 700.",250.0 km/h (155.3 mph),,0.2350 HP/kg,,,200 liter rear trunc,,,,,Optional Bi-Xenon headlight,,5.70 seconds,,,,,,,,,,,,,,,,
Yamaha Royal Star Venture S,2012,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1294.7 ccm (79.00 cubic inches),"V4, four-stroke",79.0 x 66.0 mm (3.1 x 2.6 inches),Carburettor. 4  x 32mm Mikuni  CV,TCI: Transistor Controlled Ignition,,Liquid,5-speed,Shaft drive (cardan)   (final drive),Hydraulic ,,,,Telescopic fork,140 mm (5.5 inches),Single shock,104 mm (4.1 inches),150/80-16 ,150/90-15 ,Double disc,320 mm (12.6 inches),Single disc,,"749 mm (29.5 inches) If adjustable, lowest setting.",,1704 mm (67.1 inches),22.71 litres (6.00 US gallons),Intense Black,Electric,70° V-four,97.0 HP (70.8  kW)) @ 6000 RPM,115.3 Nm (11.8 kgf-m or 85.0 ft.lbs) @ 4750 RPM,10.0:1,4,Double Overhead Cams/Twin Cam (DOHC),6.03 litres/100 km (16.6 km/l or 39.01 mpg),139.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,394.2 kg (869.0 pounds),1565 mm (61.6 inches),2654 mm (104.5 inches),899 mm (35.4 inches),5 Year (Limited Factory Warranty),Windshield,,7-spoke cast,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NC700S,2012,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",670.0 ccm (40.88 cubic inches),"Twin, four-stroke",,Injection. PGM-FI,Computer-controlled digital transistorised with electronic advance,,Liquid,6-speed,Chain   (final drive),"Wet multiplate (* Wet multiplate, hydraulic 2-clutch)",,Diamond; steel pipe ,,"41mm telescopic fork, 120mm travel ",,"Monoshock damper, Pro-Link swingarm, 120mm travel ",,,,Single disc. Wavy hydraulic disc with 3-piston caliper and sintered metal pads ,240 mm (9.4 inches),Single disc,,"790 mm (31.1 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1525 mm (60.0 inches),14.10 litres (3.73 US gallons),"White, black, silver",Electric,,46.9 HP (34.3  kW)) @ 6250 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 4750 RPM,10.7:1,,Single Overhead Cams (SOHC),5.85 litres/100 km (17.1 km/l or 40.21 mpg),135.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,211.0 kg (465.2 pounds),,,,,,,Cast aluminium 17M/C x MT4.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Raptor 125,2012,ATV," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Mikuni  29mm BSR,DC-CDI,,Air,5-speed,Chain   (final drive),Wet multiplate,"2WD; sealed O-ring chain, eccentric adjustment",,,Independent double wishbone,191 mm (7.5 inches),Swingarm,201 mm (7.9 inches),19/6-10 ,18/9-8 ,Double disc,,Single disc,,"714 mm (28.1 inches) If adjustable, lowest setting.",,1110 mm (43.7 inches),9.08 litres (2.40 US gallons),"Blue/White, White w/Custom Graphic",Electric,Single-axis counterbalancer to reduce vibration,,,10.0:1,,Single Overhead Cams (SOHC),,,,135.6 kg (299.0 pounds),1011 mm (39.8 inches),1610 mm (63.4 inches),1016 mm (40.0 inches),6 Month (Limited Factory Warranty),,,,,,,,,,,,Single 35/36.5W headlight  and  21W/5W brakelight,,,,,,,,,,,,,,,,,,
NCR Millona S,2012,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,"Injection. EFI Magneti Marelli, 45mm throttle bodies.",,,Air,6-speed,Chain   (final drive),,,Tubular trellis in chromium molybdenum projected and developed by NCR. Handmade swingarm in alluminum.,,"Ohlins 43 mm upside-down fork with TiN surface treatment, for radial calipers, seted up by NCR CORSE.",,"Handmade swingarm in alluminum projected and developed by NCR (weight: 3.8kg). Progressive linkage with fully adjustable Ohlins monoshock with lenght adjustment. seted up by NCR CORSE. In FIBER-GLASS: fearing kit, belly pan, front mud-guard, seat tail and",,120/70-R17 ,190/55-R17 ,"Double disc. Braking WAVE discs, 4-piston 4-pad Brembo radial caliper.",200 mm (7.9 inches),"Single disc. Braking WAVE disc, 2-piston Brembo caliper.",145.0 kg (319.7 pounds),,,1400 mm (55.1 inches),15.00 litres (3.96 US gallons),,Electric,Ducati 1000DS engine,100.0 HP (73.0  kW)) @ 7600 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 6400 RPM,,2,,,,,,,,,,Bolts  and fasteners produced in Al 7075 and in Titanium.,,MARCHESINI M10R Forged Aluminum wheels,0.6897 HP/kg,,Exhaust system developed by NCR and produced in Inox by Zard.,,Leather seat produced by Schedoni.,MyChron3 Visor with via Can to EFI Euro 1 cpu connection and USB PC connection.,,,,,,,,,,,,,,,,,,,,,
Kawasaki Prairie 360 4x4,2012,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,362.0 ccm (22.09 cubic inches),"Single cylinder, four-stroke",80.0 x 72.0 mm (3.1 x 2.8 inches),Carburettor. Keihin CVK34,TCBI with digital advance,,Air,,Shaft drive (cardan)   (final drive),,"Selectable four-wheel drive with Variable Front Differential Control, shaft","Double cradle, high-tensile tubular steel",,MacPherson strut / 6.7 in.,,"Swingarm with single shock, preload adjustment / 7.1 in.",,25/8-12 ,25/10-12 ,Double disc,,Double disc,,"894 mm (35.2 inches) If adjustable, lowest setting.",236 mm (9.3 inches),1255 mm (49.4 inches),13.63 litres (3.60 US gallons),"Scout Green, Aztec Red",Electric,,,,8.3:1,,Single Overhead Cams (SOHC),,,,292.1 kg (643.9 pounds),1146 mm (45.1 inches),2065 mm (81.3 inches),1204 mm (47.4 inches),12 Months,,,,,,,,,Fuel Guage,,,"(2) 30W Headlights, 5W Taillight, 18W Stoplight",,,,,,,,,,,,,,,,,,
Suzuki Burgman 200,2012,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",69.0 x 53.4 mm (2.7 x 2.1 inches),Injection,,Wet Sump,Liquid,Automatic,Belt   (final drive),"Dry shoe, automatic, centrifugal type",V-belt,,,"Telescopic, coil sprung, oil damped",,"Swingarm type, coilspring, oildamped",,110/90-13 ,130/70-12 ,Single disc. Hydraulic,,Single disc. Hydraulic,150.0 kg (330.7 pounds),"735 mm (28.9 inches) If adjustable, lowest setting.",,1465 mm (57.7 inches),11.00 litres (2.91 US gallons),Grey,Electric,,,,11.6:1,,Single Overhead Cams (SOHC),,,,160.0 kg (352.7 pounds),,2055 mm (80.9 inches),,1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX85 II,2012,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.0 ccm (5.13 cubic inches),"Single cylinder, two-stroke",48.5 x 45.8 mm (1.9 x 1.8 inches),Carburettor. Keihin PWK28,Digital CDI,,Liquid,6-speed,Chain   (final drive),,,High-tensile steel perimeter design with subframe member,27.0°,"36 mm upside-down telescopic fork, with 16-way compression damping ",275 mm (10.8 inches),UNI-TRAK  single shock system with 4 position compression and 20 position damping adjustment plus adjustable spring preload/ 10.8 in.,275 mm (10.8 inches),70/100-19 ,90/100-16 ,Single disc. Hydraulic,184 mm (7.2 inches),Single disc,,"870 mm (34.3 inches) If adjustable, lowest setting.",340 mm (13.4 inches),1290 mm (50.8 inches),5.50 litres (1.45 US gallons),Lime Green,Kick,,,,10.0:1,,,,,103 mm (4.1 inches),70.0 kg (154.3 pounds),1105 mm (43.5 inches),1910 mm (75.2 inches),735 mm (28.9 inches),6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 900,2012,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",897.0 ccm (54.73 cubic inches),"Twin, four-stroke",92.0 x 67.5 mm (3.6 x 2.7 inches),Injection,TCI,Dry sump,Liquid,6-speed,Chain   (final drive),"Wet, multiple-disc coil spring","Constant Mesh, 6-speed","Aluminium Deltabox, Diamond Shaped",25.0°,Telescopic forks,150 mm (5.9 inches),Swingarm (link suspension),133 mm (5.2 inches),120/70-ZR18 ,160/60-ZR17 ,Double disc. Hydraulic. Optional ABS.,245 mm (9.6 inches),Single disc. Hydraulic. Optional ABS.,199.0 kg (438.7 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",160 mm (6.3 inches),1485 mm (58.5 inches),20.00 litres (5.28 US gallons),Midnight black,Electric,Forward-inclined parallel cylinders,85.0 HP (62.1  kW)) @ 7500 RPM,88.8 Nm (9.1 kgf-m or 65.5 ft.lbs) @ 9100 RPM,10.4:1,5,Double Overhead Cams/Twin Cam (DOHC),,,114 mm (4.5 inches),223.0 kg (491.6 pounds),1290 mm (50.8 inches),2180 mm (85.8 inches),800 mm (31.5 inches),,ABS brakes adds 3 kg weight.,,,0.4272 HP/kg,,,,,,,,,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,
