Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,0-100 km/h (0-62 mph),Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Overall length,Wheelbase,Fuel capacity,Starter,Frame type,Rake (fork angle),Trail,Rear wheel travel,Diameter,Dry weight,Power/weight ratio,Seat height,Ground clearance,Oil capacity,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Color options,Max RPM,Reserve fuel capacity,Overall height,Overall width,Comments,Lubrication system,Clutch,Front wheel travel,Fuel consumption,Greenhouse gases,"60-140 km/h (37-87 mph), highest gear",Modifications compared to previous model,Wheels,Seat,Instruments,Light,Carrying capacity,Factory warranty
Suzuki GS 500 E,1980,Sport touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",492.0 ccm (30.02 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,,148.0 km/h (92.0 mph),,8.5:1,53.0 x 55.8 mm (2.1 x 2.2 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,3.25-19 ,3.75-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),,,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 250 X 7 E,1980,Classic," 3.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,149.0 km/h (92.6 mph),,6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Membrane,,Air,6-speed,Chain   (final drive),,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 250-1,1980,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,,125.0 km/h (77.7 mph),,8.5:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,2.75-18 ,3.50-16 ,Expanding brake,Expanding brake,146.0 kg (321.9 pounds),,,17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS 100,1980,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7800 RPM,,105.0 km/h (65.2 mph),,7.0:1,52.0 x 45.6 mm (2.0 x 1.8 inches),,,Membrane,,Air,5-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,106.0 kg (233.7 pounds),,,9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 400 N,1980,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",40.0 HP (29.2  kW)) @ 8000 RPM,,161.0 km/h (100.0 mph),,9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,3.60-19 ,4.10-18 ,Dual disc,Expanding brake,185.0 kg (407.9 pounds),,,14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanglas 500 S 2,1980,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5930 RPM,,140.0 km/h (87.0 mph),,9.2:1,89.5 x 79.0 mm (3.5 x 3.1 inches),2,,Overhead Valves (OHV),,Air,5-speed,Chain   (final drive),,,3.25-18 ,3.50-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 350 Twin,1980,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",22.0 HP (16.1  kW)) @ 5000 RPM,,125.0 km/h (77.7 mph),,9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,,Port control,,Air,4-speed,Chain   (final drive),,,3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 T 2,1980,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 11500 RPM,,128.0 km/h (79.5 mph),,9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,126.0 kg (277.8 pounds),,,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100,1980,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",67.0 HP (48.9  kW)) @ 7000 RPM,,191.0 km/h (118.7 mph),,8.2:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Expanding brake,236.0 kg (520.3 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100,1980,Trial," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,,219.0 km/h (136.1 mph),,9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,4.50-17 ,Dual disc,Single disc,259.0 kg (571.0 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 250,1980,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 8600 RPM,,121.0 km/h (75.2 mph),,9.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,124.0 kg (273.4 pounds),,,8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 250,1980,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",38.0 HP (27.7  kW)) @ 8500 RPM,,163.0 km/h (101.3 mph),,6.9:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,,Membrane,,Liquid,6-speed,Chain   (final drive),,,3.00-18 ,3.50-18 ,Single disc,Expanding brake,158.0 kg (348.3 pounds),,,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 450 L,1980,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",448.0 ccm (27.34 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,,145.0 km/h (90.1 mph),,9.0:1,71.0 x 56.6 mm (2.8 x 2.2 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,3.60-19 ,4.60-16 ,Single disc,Expanding brake,189.0 kg (416.7 pounds),,,11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 45,1980,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",35.0 HP (25.5  kW)) @ 7250 RPM,,160.0 km/h (99.4 mph),,9.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.25-18 ,4.00-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),,,22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 400 T,1980,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 9500 RPM,,156.0 km/h (96.9 mph),,9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.50-18 ,4.60-16 ,Single disc,Expanding brake,184.0 kg (405.7 pounds),,,9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX,1980,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1046.0 ccm (63.83 cubic inches),"In-line six, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,,222.0 km/h (137.9 mph),,9.3:1,64.5 x 53.4 mm (2.5 x 2.1 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,4.25-18 ,Dual disc,Single disc,274.0 kg (604.1 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Münch TTS 1300,1980,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1289.0 ccm (78.65 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 6600 RPM,,220.0 km/h (136.7 mph),,9.1:1,78.5 x 66.6 mm (3.1 x 2.6 inches),2,,Overhead Cams (OHC),,Air,4-speed,Chain   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,282.0 kg (621.7 pounds),,,20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 Jota,1980,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",85.0 HP (62.0  kW)) @ 7600 RPM,,210.0 km/h (130.5 mph),,9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,110/90-18 ,130/80-18 ,Dual disc,Single disc,258.0 kg (568.8 pounds),,,20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350,1980,Sport touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",49.0 HP (35.8  kW)) @ 8700 RPM,,178.0 km/h (110.6 mph),,6.9:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,,Membrane,,Liquid,6-speed,Chain   (final drive),,,3.00-18 ,3.50-18 ,Dual disc,Expanding brake,161.0 kg (354.9 pounds),,,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 125 SE,1980,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,128.0 ccm (7.81 cubic inches),"Twin, two-stroke",10.0 HP (7.3  kW)) @ 8000 RPM,,104.0 km/h (64.6 mph),,10.0:1,42.5 x 44.0 mm (1.7 x 1.7 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Single disc,Expanding brake,129.0 kg (284.4 pounds),,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KZ 440 B1,1980,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",443.0 ccm (27.03 cubic inches),"Twin, four-stroke",40.0 HP (29.2  kW)) @ 8500 RPM,36.0 Nm (3.7 kgf-m or 26.6 ft.lbs) @ 7500 RPM,180.0 km/h (111.8 mph),19.70 seconds,9.2:1,67.5 x 62.0 mm (2.7 x 2.4 inches),2,Carburettor. Keihin 36 mm x 2,Single Overhead Cams (SOHC),Batery and coil,Air,6-speed,Chain   (final drive),Telescopic fork,Swing arm,90/90-19 ,100/90-18 ,Expanding brake (drum brake). Internal expansion two-leading,Expanding brake (drum brake). Internal expansion two-leading,180.0 kg (396.8 pounds),,,14.00 litres (3.70 US gallons),Electric,Tubular double cradle,27.0°,100 mm (3.9 inches),,,159.0 kg (350.5 pounds),0.2516 HP/kg,,160 mm (6.3 inches),2.00 litres (2.11 US quarts),,,,,,,,,,,Red/green/blue,11000,3.00 litres (0.79 US gallons),,810 mm (31.9 inches),,Forced lubrication (wet Sump),Wet multiplate,,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,18.00 seconds,,,,,,,
Honda CM 400 T (reduced effect),1980,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7500 RPM,,141.0 km/h (87.6 mph),,9.3:1,70.5 x 50.6 mm (2.8 x 2.0 inches),3,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.50-18 ,4.60-16 ,Single disc,Expanding brake,184.0 kg (405.7 pounds),,,9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 1300,1980,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1285.0 ccm (78.41 cubic inches),"In-line six, four-stroke",99.0 HP (72.3  kW)) @ 8000 RPM,,217.0 km/h (134.8 mph),,9.9:1,62.0 x 71.0 mm (2.4 x 2.8 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,110/90-18 ,130/90-17 ,Dual disc,Single disc,322.0 kg (709.9 pounds),,,27.00 litres (7.13 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 250 US. Custom,1980,Classic," 4.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",240.0 ccm (14.64 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,,115.0 km/h (71.5 mph),,9.2:1,73.5 x 56.5 mm (2.9 x 2.2 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.00-19 ,120/90-16 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),,,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RS,1980,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,,193.0 km/h (119.9 mph),,9.5:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 125 ER,1980,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 6400 RPM,,110.0 km/h (68.4 mph),,6.7:1,56.0 x 50.0 mm (2.2 x 2.0 inches),,,Membrane,,Air,6-speed,Chain   (final drive),,,2.75-21 ,3.25-18 ,Expanding brake,Expanding brake,106.0 kg (233.7 pounds),,,7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 750 C,1980,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 9000 RPM,,,,9.0:1,62.0 x 62.0 mm (2.4 x 2.4 inches),4,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,,,Single disc,Expanding brake (drum brake),,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 250-1 (with sidecar),1980,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,,100.0 km/h (62.1 mph),,8.5:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,,Port control,,Air,5-speed,Chain   (final drive),,,3.00-18 ,3.50-16 ,Expanding brake,Expanding brake,234.0 kg (515.9 pounds),,,17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CD 200 Twin Benly,1980,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",194.1 ccm (11.84 cubic inches),"Twin, four-stroke",,,105.0 km/h (65.2 mph),,,,2,Carburettor. single carbettor,Overhead Cams (OHC),6v,Air,4-speed,Chain   (final drive),telescope (oil),,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,Electric & kick,,,,,,,,,,,,,,,,,,,,double chrome pipes,,,,,,,,wet 4 plates on gearbox shaft,,,,,,,,,,,
Harley-Davidson FXS 1340 Low Rider,1980,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 5800 RPM,,165.0 km/h (102.5 mph),,7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,,Overhead Valves (OHV),,Air,4-speed,Chain   (final drive),,,3.75-19 ,5.10-16 ,Dual disc,Single disc,289.0 kg (637.1 pounds),,,15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400 J,1980,Classic," 2.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,,154.0 km/h (95.7 mph),,9.5:1,52.0 x 47.0 mm (2.0 x 1.9 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,6-speed,Chain   (final drive),,,3.25-19 ,3.75-18 ,Dual disc,Expanding brake,210.0 kg (463.0 pounds),,,16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1200 TS,1980,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1115.0 ccm (68.04 cubic inches),"In-line three, four-stroke",86.0 HP (62.8  kW)) @ 7350 RPM,,204.0 km/h (126.8 mph),,8.0:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,110/90-18 ,130/80-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),,,19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KL 250,1980,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,,113.0 km/h (70.2 mph),,8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,140.0 kg (308.6 pounds),,,10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 1000 L,1980,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,,199.0 km/h (123.7 mph),,9.2:1,70.0 x 64.8 mm (2.8 x 2.6 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.50-19 ,4.50-17 ,Dual disc,Single disc,252.0 kg (555.6 pounds),,,15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 400,1980,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",392.0 ccm (23.92 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8100 RPM,,140.0 km/h (87.0 mph),,9.2:1,69.0 x 52.4 mm (2.7 x 2.1 inches),2,,Overhead Cams (OHC),,Air,6-speed,Chain   (final drive),,,3.00-18 ,3.75-18 ,Single disc,Expanding brake,182.0 kg (401.2 pounds),,,17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650,1980,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,,182.0 km/h (113.1 mph),,9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,3.25-19 ,3.75-18 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simson S51 B1-4,1980,Allround," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",3.7 HP (2.7  kW)) @ 5500 RPM,,60.0 km/h (37.3 mph),,,,,Carburettor,,Electronic,Air,4-speed,Chain   (final drive),,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,8.70 litres (2.30 US gallons),Kick,Steel Frame,,,,,78.5 kg (173.1 pounds),0.0471 HP/kg,,,,,,,,,,,,,,"Red, Yellow, Acid-Green, Dark-Green, Black, Sky-Blue, Navy",,0.70 litres (0.18 US gallons),,,,,,,,,,,,,,,,
Ducati 500 Pantah,1980,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,,178.0 km/h (110.6 mph),,9.5:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,,Desmodromic valve control,,Air,5-speed,Chain   (final drive),,,3.25-18 ,3.50-18 ,Dual disc,Single disc,201.0 kg (443.1 pounds),,,18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 850 L,1980,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",843.0 ccm (51.44 cubic inches),"In-line four, four-stroke",79.0 HP (57.7  kW)) @ 8500 RPM,,197.0 km/h (122.4 mph),,8.8:1,69.0 x 56.4 mm (2.7 x 2.2 inches),2,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Shaft drive (cardan)   (final drive),,,3.50-19 ,4.50-17 ,Dual disc,Single disc,261.0 kg (575.4 pounds),,,13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35 II,1980,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,,151.0 km/h (93.8 mph),,10.8:1,66.0 x 50.6 mm (2.6 x 2.0 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,90/90-18 ,100/90-18 ,Dual disc,Single disc,185.0 kg (407.9 pounds),,,16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 3 California,1980,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,,150.0 km/h (93.2 mph),,9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,,Overhead Valves (OHV),,Air,5-speed,Shaft drive (cardan)   (final drive),,,100/90-18 ,110/90-18 ,Dual disc,Single disc,245.0 kg (540.1 pounds),,,24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 185 S,1980,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",180.0 ccm (10.98 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6500 RPM,,93.0 km/h (57.8 mph),,9.2:1,63.0 x 57.8 mm (2.5 x 2.3 inches),2,,Overhead Cams (OHC),,Air,5-speed,Chain   (final drive),,,2.75-21 ,4.10-18 ,Expanding brake,Expanding brake,118.0 kg (260.1 pounds),,,7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750,1980,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 9200 RPM,,201.0 km/h (124.9 mph),,9.4:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),,,3.25-19 ,4.00-18 ,Dual disc,Single disc,254.0 kg (560.0 pounds),,,21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
