Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Max RPM,Fuel system,Starter,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Oil capacity,Color options,Torque,Exhaust system,Diameter,Comments,Driveline,Electrical,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Wheels,Seat,Modifications compared to previous model,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Chain size,Chain links,Sprockets,Fork tube size
Suzuki GS 500 E,1979,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 7600 RPM,148.0 km/h (92.0 mph),8.5:1,53.0 x 55.8 mm (2.1 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Dual disc,Single disc,225.0 kg (496.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CX 500,1979,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,176.0 km/h (109.4 mph),10.0:1,78.0 x 52.0 mm (3.1 x 2.0 inches),4,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,3.75-19 ,Dual disc,Expanding brake,221.0 kg (487.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XS 650 CX6,1979,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,653.0 ccm (39.85 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)),,,,2,Standing valves,Air,5-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,,,Carburettor,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha LB 3 bop 80,1979,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",73.0 ccm (4.45 cubic inches),"Single cylinder, two-stroke",5.0 HP (3.6  kW)) @ 6700 RPM,65.0 km/h (40.4 mph),5.8:1,47.0 x 42.0 mm (1.9 x 1.7 inches),,Membrane,Air,3-speed,Chain   (final drive),4.00-10 ,4.00-10 ,Expanding brake,Expanding brake,82.0 kg (180.8 pounds),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 750 L,1979,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 8800 RPM,190.0 km/h (118.1 mph),8.7:1,65.0 x 56.4 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,4.50-17 ,Dual disc,Single disc,253.0 kg (557.8 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80-7 (reduced effect),1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 7250 RPM,186.0 km/h (115.6 mph),8.0:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Single disc,Expanding brake,236.0 kg (520.3 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ TS 250-1 (with sidecar),1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 5400 RPM,100.0 km/h (62.1 mph),8.5:1,69.0 x 65.0 mm (2.7 x 2.6 inches),,Port control,Air,5-speed,Chain   (final drive),3.00-18 ,3.50-16 ,Expanding brake,Expanding brake,234.0 kg (515.9 pounds),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RV 90,1979,ATV," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",88.0 ccm (5.37 cubic inches),"Single cylinder, two-stroke",6.3 HP (4.6  kW)) @ 6000 RPM,85.0 km/h (52.8 mph),6.2:1,50.0 x 45.0 mm (2.0 x 1.8 inches),,Membrane,Air,4-speed,Chain   (final drive),6.70-10 ,6.70-10 ,Expanding brake,Expanding brake,86.0 kg (189.6 pounds),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 S,1979,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,170.0 km/h (105.6 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),90/90-18 ,3.50-18 ,Dual disc,Single disc,184.0 kg (405.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350,1979,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",23.0 HP (16.8  kW)) @ 5000 RPM,132.0 km/h (82.0 mph),9.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,168.0 kg (370.4 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GT 250 X 7 E,1979,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,149.0 km/h (92.6 mph),6.7:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Air,6-speed,Chain   (final drive),3.00-18 ,3.50-18 ,Single disc,Expanding brake,145.0 kg (319.7 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 500,1979,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5900 RPM,132.0 km/h (82.0 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.00-18 ,Expanding brake,Expanding brake,155.0 kg (341.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki FZ50,1979,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,30.6 km/h (19.0 mph),,41.0 x 37.8 mm (1.6 x 1.5 inches),,,Air,,Shaft drive (cardan)   (final drive),3-12 ,3-12 ,Expanding brake (drum brake),Expanding brake (drum brake),,,,Carburettor. Mikuni,Kick,,,,,,,,,"Bottom linked, oil damped",,Swingarm ,,60.0 kg (132.3 pounds),,,990 mm (39.0 inches),1650 mm (65.0 inches),665 mm (26.2 inches),120 mm (4.7 inches),1120 mm (44.1 inches),,,Orange,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 I-Convert,1979,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 6500 RPM,168.0 km/h (104.4 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,2-speed automatic,Shaft drive (cardan)   (final drive),4.10-18 ,4.10-18 ,Dual disc,Single disc,259.0 kg (571.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph T 140 V Bonneville,1979,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,177.0 km/h (110.0 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-18 ,Single disc,Single disc,197.0 kg (434.3 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CM 400 A,1979,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",395.0 ccm (24.10 cubic inches),"Twin, four-stroke",43.0 HP (31.4  kW)) @ 9500 RPM,149.7 km/h (93.0 mph),,,3,Overhead Cams (OHC),Air,Automatic,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,9.46 litres (2.50 US gallons),,Carburettor,,,Wet Sump,,,,Stressed Engine,,,,,,,,,,,,,,,,,,,Dual,,,,,,,,,,,,,,,,,,
Münch 4-1200 TTS,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1289.0 ccm (78.65 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 6600 RPM,194.0 km/h (120.5 mph),9.1:1,78.5 x 66.6 mm (3.1 x 2.6 inches),2,Overhead Cams (OHC),Air,4-speed,Chain   (final drive),3.25-19 ,4.00-18 ,Dual disc,Single disc,298.0 kg (657.0 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi 850 T 3,1979,Touring," 3.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",844.0 ccm (51.50 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,180.0 km/h (111.8 mph),9.2:1,83.0 x 78.0 mm (3.3 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.10-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanglas 500 S 2,1979,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5930 RPM,140.0 km/h (87.0 mph),9.2:1,89.5 x 79.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS50ER,1979,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,110.0 km/h (68.4 mph),6.7:1,41.0 x 37.8 mm (1.6 x 1.5 inches),,,Air,6-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake (drum brake),Expanding brake,106.0 kg (233.7 pounds),7.20 litres (1.90 US gallons),,Carburettor,Kick,CDI,,,,,Duplex cradle,,,Telescopic fork,,Swingarm,,,,,,2140 mm (84.3 inches),,,1340 mm (52.8 inches),,,,,,,,,,,,,,,,,,,,,,,
Ducati 500 Pantah,1979,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",497.0 ccm (30.33 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,178.0 km/h (110.6 mph),9.5:1,74.0 x 57.8 mm (2.9 x 2.3 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,201.0 kg (443.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHC 1340 Electra Glide Classic,1979,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6000 RPM,150.0 km/h (93.2 mph),7.4:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Single disc,Single disc,348.0 kg (767.2 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha DT 250 MX,1979,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 5400 RPM,109.0 km/h (67.7 mph),6.7:1,70.0 x 64.0 mm (2.8 x 2.5 inches),,Membrane,Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,135.0 kg (297.6 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1200,1979,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1115.0 ccm (68.04 cubic inches),"In-line three, four-stroke",86.0 HP (62.8  kW)) @ 7350 RPM,204.0 km/h (126.8 mph),8.0:1,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),4.10-18 ,4.25-18 ,Dual disc,Single disc,247.0 kg (544.5 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KL 250,1979,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,113.0 km/h (70.2 mph),8.9:1,70.0 x 64.0 mm (2.8 x 2.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,140.0 kg (308.6 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 100 RT,1979,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",979.0 ccm (59.74 cubic inches),"Two cylinder boxer, four-stroke",65.0 HP (47.4  kW)) @ 6600 RPM,174.0 km/h (108.1 mph),9.0:1,94.0 x 70.6 mm (3.7 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,4.00-18 ,Dual disc,Expanding brake,261.0 kg (575.4 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RS 100,1979,"Minibike, sport"," 3.4  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",97.0 ccm (5.92 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 7800 RPM,105.0 km/h (65.2 mph),7.0:1,52.0 x 45.6 mm (2.0 x 1.8 inches),,Membrane,Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,106.0 kg (233.7 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650 Custom,1979,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,173.0 km/h (107.5 mph),9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,130/90-16 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 250 T,1979,Classic," 2.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",239.0 ccm (14.58 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 6800 RPM,135.0 km/h (83.9 mph),9.5:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,138.0 kg (304.2 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki TS 400 Hustler,1979,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,396.0 ccm (24.16 cubic inches),"Single cylinder, two-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,,6.8:1,81.0 x 75.0 mm (3.2 x 3.0 inches),,,Air,,Chain   (final drive),3-21 ,4-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,8.30 litres (2.19 US gallons),,Injection. Mikuni 58SS,Kick,PEI,,"Wet, multiplate",,,,,,Telescopic,,"Swingarm , Dual Shocks",,124.0 kg (273.4 pounds),0.2742 HP/kg,,1130 mm (44.5 inches),2240 mm (88.2 inches),889 mm (35.0 inches),191 mm (7.5 inches),1425 mm (56.1 inches),,,Black/Green,40.0 Nm (4.1 kgf-m or 29.5 ft.lbs) @ 5500 RPM,,,,,,,,,,,,,,,,,,,
Suzuki GT 380,1979,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",371.0 ccm (22.64 cubic inches),"In-line three, two-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,145.0 km/h (90.1 mph),7.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Port control,Air,6-speed,Chain   (final drive),3.00-19 ,3.50-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph TR 7 RV Tiger,1979,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"Twin, four-stroke",45.0 HP (32.8  kW)) @ 6000 RPM,172.0 km/h (106.9 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),4.10-19 ,4.10-18 ,Single disc,Single disc,197.0 kg (434.3 pounds),18.50 litres (4.89 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta 800 S America,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,789.0 ccm (48.14 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 8500 RPM,216.0 km/h (134.2 mph),9.5:1,67.0 x 56.0 mm (2.6 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 SD Darmah,1979,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",864.0 ccm (52.72 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,200.0 km/h (124.3 mph),9.4:1,86.0 x 74.4 mm (3.4 x 2.9 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),3.50-18 ,4.25/85-18 ,Dual disc,Single disc,240.0 kg (529.1 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanglas 500 S,1979,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5930 RPM,140.0 km/h (87.0 mph),8.0:1,89.5 x 79.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Single disc,Expanding brake,203.0 kg (447.5 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLH 1200 Electra Glide,1979,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1206.0 ccm (73.59 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5150 RPM,135.0 km/h (83.9 mph),8.0:1,87.3 x 100.8 mm (3.4 x 4.0 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),5.10-16 ,5.10-16 ,Single disc,Single disc,345.0 kg (760.6 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 650,1979,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",627.0 ccm (38.26 cubic inches),"In-line four, four-stroke",63.0 HP (46.0  kW)) @ 9000 RPM,182.0 km/h (113.1 mph),9.0:1,59.8 x 55.8 mm (2.4 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-19 ,3.75-18 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 T 2,1979,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 11500 RPM,128.0 km/h (79.5 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,126.0 kg (277.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda GL 1100 Gold Wing,1979,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"Four cylinder boxer, four-stroke",83.0 HP (60.6  kW)) @ 7500 RPM,192.0 km/h (119.3 mph),9.2:1,75.0 x 61.4 mm (3.0 x 2.4 inches),2,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,315.0 kg (694.5 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 M,1979,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,165.0 km/h (102.5 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),90/90-18 ,3.50-18 ,Dual disc,Single disc,184.0 kg (405.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DS 125,1979,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,,6.8:1,56.0 x 50.0 mm (2.2 x 2.0 inches),2,,Air,5-speed,Chain   (final drive),2.75-21 ,3.25-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,8.00 litres (2.11 US gallons),,Carburettor. Mikuni   vm24sh,Kick,magneto,CCI,Wet multi-plate,,,,29.0°,133 mm (5.2 inches),Telescopic oil dampened,145 mm (5.7 inches),Swinging arm  5 way adj.,109 mm (4.3 inches),93.0 kg (205.0 pounds),,,,,,,,2.00 litres (0.53 US gallons),,,,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,
MV Agusta 1000 Corona,1979,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,954.0 ccm (58.21 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10000 RPM,230.0 km/h (142.9 mph),10.5:1,70.0 x 62.0 mm (2.8 x 2.4 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.50-18 ,4.00-18 ,Dual disc,Single disc,255.0 kg (562.2 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500 S (spoked wheels),1979,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,135.0 km/h (83.9 mph),9.0:1,87.0 x 84.0 mm (3.4 x 3.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.00-18 ,Single disc,Expanding brake,174.0 kg (383.6 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 185 S,1979,Enduro / offroad," 2.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",180.0 ccm (10.98 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 6500 RPM,93.0 km/h (57.8 mph),9.2:1,63.0 x 57.8 mm (2.5 x 2.3 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,4.10-18 ,Expanding brake,Expanding brake,118.0 kg (260.1 pounds),7.00 litres (1.85 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
