Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Top speed,Fuel system,Starter,Torque,Ignition,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Wheelbase,Color options,Max RPM,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Lubrication system,Frame type,Reserve fuel capacity,1/4 mile (0.4 km),Diameter,Ground clearance,0-100 km/h (0-62 mph),Oil capacity,Rake (fork angle),Trail,Comments,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Coolant,Chain size
Suzuki VS 750 Intruder,1991,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,10.0:1,80.0 x 74.4 mm (3.1 x 2.9 inches),4,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,215.0 kg (474.0 pounds),12.00 litres (3.17 US gallons),165.0 km/h (102.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 600 R,1991,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",591.0 ccm (36.06 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5800 RPM,9.0:1,97.0 x 80.0 mm (3.8 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/80-18 ,Single disc,Single disc,139.0 kg (306.4 pounds),10.00 litres (2.64 US gallons),110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S Diversion (reduced effect),1991,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,130/70-18 ,Single disc,Single disc,208.0 kg (458.6 pounds),17.00 litres (4.49 US gallons),171.0 km/h (106.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NT 650 Hawk GT,1991,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"Twin, four-stroke",58.0 HP (42.3  kW)) @ 5800 RPM,9.4:1,77.0 x 66.0 mm (3.0 x 2.6 inches),3,Single Overhead Cams (SOHC),Liquid,5-speed,Chain   (final drive),110/80-17 ,150/70-17 ,Single disc,Single disc,184.2 kg (406.0 pounds),12.11 litres (3.20 US gallons),,Carburettor. 2 x CV carburetors,,58.3 Nm (5.9 kgf-m or 43.0 ft.lbs) @ 6000 RPM,,,,,,"777 mm (30.6 inches) If adjustable, lowest setting.",,,6800,Wet Plate,,,,167.8 kg (370.0 pounds),0.3456 HP/kg,,,,,Single Swing Arm,,,,,,,27.0°,112 mm (4.4 inches),,,,,,,,,,,,,,,,,
Suzuki DR 650 R Dakar (reduced effect),1991,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",640.0 ccm (39.05 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6400 RPM,9.7:1,95.0 x 90.4 mm (3.7 x 3.6 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),90/90-21 ,120/90-17 ,Single disc,Single disc,176.0 kg (388.0 pounds),21.00 litres (5.55 US gallons),120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F (reduced effect #2),1991,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8200 RPM,11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/80-17 ,140/80-17 ,Dual disc,Single disc,223.0 kg (491.6 pounds),20.00 litres (5.28 US gallons),150.0 km/h (93.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 600 (reduced effect #2),1991,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,12.0:1,59.0 x 54.8 mm (2.3 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/70-17 ,130/70-18 ,Dual disc,Single disc,208.0 kg (458.6 pounds),18.00 litres (4.76 US gallons),139.0 km/h (86.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 750,1991,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",90.0 HP (65.7  kW)) @ 10500 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),25.00 litres (6.61 US gallons),216.0 km/h (134.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXLR 1340 Low Rider Custom,1991,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-19 ,MT 90-16 ,Single disc,Single disc,280.0 kg (617.3 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 851 Strada,1991,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",851.0 ccm (51.93 cubic inches),"V2, four-stroke",93.0 HP (67.9  kW)) @ 9600 RPM,10.0:1,92.0 x 64.0 mm (3.6 x 2.5 inches),4,Desmodromic valve control,Liquid,6-speed,Chain   (final drive),120/60-17 ,180/55-17 ,Dual disc,Single disc,222.0 kg (489.4 pounds),20.00 litres (5.28 US gallons),225.0 km/h (139.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Standard,1991,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),149.0 km/h (92.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 900 R (reduced effect),1991,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,11.0:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,257.0 kg (566.6 pounds),22.00 litres (5.81 US gallons),240.0 km/h (149.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 1000 (reduced effect),1991,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1002.0 ccm (61.14 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9500 RPM,12.0:1,75.5 x 56.0 mm (3.0 x 2.2 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),130/60-11 ,170/60-17 ,Dual disc,Single disc,236.0 kg (520.3 pounds),19.00 litres (5.02 US gallons),234.0 km/h (145.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Saturno 500,1991,Sport," 2.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",492.0 ccm (30.02 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)) @ 7000 RPM,9.8:1,92.0 x 74.0 mm (3.6 x 2.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),110/17-17 ,140/70-17 ,Single disc,Single disc,167.0 kg (368.2 pounds),20.00 litres (5.28 US gallons),176.0 km/h (109.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EL250,1991,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 11800 RPM,12.4:1,62.0 x 41.2 mm (2.4 x 1.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-17 ,140/90-15 ,Single disc,Expanding brake,159.0 kg (350.5 pounds),11.00 litres (2.91 US gallons),135.0 km/h (83.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 750 (reduced effect #2),1991,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XTZ 750 Super Ténéré,1991,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"Twin, four-stroke",69.0 HP (50.4  kW)) @ 7500 RPM,9.5:1,87.0 x 63.0 mm (3.4 x 2.5 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),90/90-21 ,140/80-17 ,Dual disc,Single disc,234.0 kg (515.9 pounds),26.00 litres (6.87 US gallons),177.0 km/h (110.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZR 750 R,1991,Prototype / concept model," 3.5  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",121.0 HP (88.3  kW)) @ 12000 RPM,11.4:1,72.0 x 46.0 mm (2.8 x 1.8 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),130/70-17 ,180/55-17 ,Dual disc,Single disc,215.0 kg (474.0 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLTC 1340 Tour Glide Classic (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1337.0 ccm (81.58 cubic inches),"V2, four-stroke",46.0 HP (33.6  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,360.0 kg (793.7 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 500 E,1991,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",487.0 ccm (29.72 cubic inches),"Twin, four-stroke",46.0 HP (33.6  kW)) @ 9200 RPM,9.0:1,74.0 x 56.6 mm (2.9 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),110/70-17 ,130/70-17 ,Single disc,Single disc,187.0 kg (412.3 pounds),17.00 litres (4.49 US gallons),173.0 km/h (107.5 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California III C Injection,1991,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,948.0 ccm (57.85 cubic inches),"V2, four-stroke",71.0 HP (51.8  kW)) @ 6800 RPM,9.5:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-18 ,120/90-18 ,Dual disc,Single disc,267.0 kg (588.6 pounds),26.00 litres (6.87 US gallons),186.0 km/h (115.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTC 1340 Softail Custom,1991,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1331.0 ccm (81.22 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MH 90-21 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZ-R 1100 (reduced effect),1991,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,11.0:1,76.0 x 58.0 mm (3.0 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,170/60-17 ,Dual disc,Single disc,264.0 kg (582.0 pounds),20.00 litres (5.28 US gallons),244.0 km/h (151.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Hugger,1991,Naked bike," 2.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ90-19 ,MT90-16 ,Single disc,Single disc,223.0 kg (491.6 pounds),8.50 litres (2.25 US gallons),151.0 km/h (93.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yangtze 750 Spezial A (with sidecar),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",24.0 HP (17.5  kW)) @ 4500 RPM,5.7:1,78.0 x 78.0 mm (3.1 x 3.1 inches),2,Standing valves,Air,4-speed,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,350.0 kg (771.6 pounds),23.00 litres (6.08 US gallons),90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Bullet (reduced effect),1991,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 4700 RPM,6.5:1,84.0 x 90.0 mm (3.3 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.50-19 ,Expanding brake,Expanding brake,184.0 kg (405.7 pounds),14.50 litres (3.83 US gallons),120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 16 (with sidecar),1991,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",38.0 HP (27.7  kW)) @ 5900 RPM,8.5:1,78.0 x 68.0 mm (3.1 x 2.7 inches),2,Overhead Valves (OHV),Air,4-speed with reverse,Shaft drive (cardan)   (final drive),3.75-19 ,3.75-19 ,Expanding brake,Expanding brake,365.0 kg (804.7 pounds),19.00 litres (5.02 US gallons),125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTC 1340 Electra Glide Classic,1991,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT90-16T ,MT90-16T ,Dual disc,Single disc,350.0 kg (771.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ 750,1991,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,11.2:1,68.0 x 51.6 mm (2.7 x 2.0 inches),5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,140/70-18 ,Dual disc,Single disc,232.0 kg (511.5 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VX 800 (reduced effect),1991,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,10.0:1,83.0 x 74.4 mm (3.3 x 2.9 inches),4,Overhead Cams (OHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-18 ,150/70-17 ,Single disc,Single disc,238.0 kg (524.7 pounds),19.00 litres (5.02 US gallons),168.0 km/h (104.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Fat Boy,1991,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",49.0 HP (35.8  kW)) @ 5000 RPM,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MT 90-16 ,MT 90-16 ,Single disc,Single disc,298.0 kg (657.0 pounds),16.00 litres (4.23 US gallons),148.0 km/h (92.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S,1991,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 9800 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,120/90-16 ,Dual disc,Expanding brake,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),195.0 km/h (121.2 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1100 Pan European,1991,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1084.0 ccm (66.15 cubic inches),"V4, four-stroke",100.0 HP (73.0  kW)) @ 7500 RPM,10.0:1,73.0 x 64.8 mm (2.9 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),110/80-18 ,160/70-17 ,Dual disc,Single disc,312.0 kg (687.8 pounds),28.00 litres (7.40 US gallons),212.0 km/h (131.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EN 500 (reduced effect),1991,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 8000 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/80-19 ,140/90-15 ,Single disc,Expanding brake,200.0 kg (440.9 pounds),11.00 litres (2.91 US gallons),122.0 km/h (75.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 SP III,1991,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",71.0 HP (51.8  kW)) @ 6800 RPM,9.5:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,268.0 kg (590.8 pounds),22.50 litres (5.94 US gallons),185.0 km/h (115.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 750 (reduced effect),1991,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",50.0 HP (36.5  kW)) @ 8000 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,260.0 kg (573.2 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trident 750,1991,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"In-line three, four-stroke",90.0 HP (65.7  kW)) @ 10500 RPM,11.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),25.00 litres (6.61 US gallons),204.0 km/h (126.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr MT 16,1991,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,650.0 ccm (39.66 cubic inches),"Two cylinder boxer, two-stroke",,,,,,Air,,Shaft drive (cardan)   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 600 C,1991,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",41.0 HP (29.9  kW)) @ 6500 RPM,9.2:1,75.0 x 66.0 mm (3.0 x 2.6 inches),3,Overhead Cams (OHC),Liquid,4-speed,Chain   (final drive),100/90-19 ,170/80-15 ,Single disc,Expanding brake,212.0 kg (467.4 pounds),9.00 litres (2.38 US gallons),143.0 km/h (88.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1,1991,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,11.0:1,67.0 x 70.0 mm (2.6 x 2.8 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),120/70-17 ,160/60-18 ,Dual disc,Single disc,264.0 kg (582.0 pounds),22.00 litres (5.81 US gallons),235.0 km/h (146.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki EX 500,1991,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",500.0 ccm (30.51 cubic inches),"Twin, four-stroke",,,,4,,Liquid,,Chain   (final drive),,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 350 Excalibur,1991,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,11.0:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,130/90-18 ,Single disc,Single disc,181.0 kg (399.0 pounds),17.00 litres (4.49 US gallons),145.0 km/h (90.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Hugger (reduced effect),1991,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4800 RPM,9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ90-19 ,MT90-16 ,Single disc,Single disc,223.0 kg (491.6 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
