Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Alternate seat height,Starter,Max RPM,Fuel consumption,Greenhouse gases,Fuel capacity,Compression,Fuel control,0-100 km/h (0-62 mph),Bore x stroke,Fuel system,Front tire,Rear tire,Wheelbase,Reserve fuel capacity,Color options,Comments,Ignition,Driveline,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Diameter,Wheels,"Weight incl. oil, gas, etc",Oil filter,Battery,Spark plugs,Belt teeth,Belt width,Lubrication system,Clutch,Frame type,1/4 mile (0.4 km),Ground clearance,Exhaust system,Oil capacity,Engine oil,Brake fluid,Coolant,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Overall length,Electrical,Overall height,Overall width,Carrying capacity
Kawasaki ZX-6R,1998,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",108.0 HP (78.8  kW)) @ 12000 RPM,65.0 Nm (6.6 kgf-m or 47.9 ft.lbs) @ 10000 RPM,265.0 km/h (164.7 mph),4,Liquid,6-speed,Chain   (final drive),Double disc. Six-piston calipers. ,Single disc. Single-piston caliper. ,176.0 kg (388.0 pounds),0.6136 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,Electric,,,,18.00 litres (4.76 US gallons),11.8:1,Double Overhead Cams/Twin Cam (DOHC),,66.0 x 43.8 mm (2.6 x 1.7 inches),Carburettor. 4 x 36mm Keihin CVKD36 ,120/60-ZR17 ,170/60-ZR17 ,1466 mm (57.7 inches),,"Green, red",,Digital ,,,,46mm Showa telescopic forks,120 mm (4.7 inches),"Showa sing shock, adjustable preload and rebounding preload.",135 mm (5.3 inches),220 mm (8.7 inches),,203.0 kg (447.5 pounds),,,"NGK CR9E, NGK CR9EIX",,,,,,,,,3.60 litres (3.8 US quarts),SAE 10W-40,DOT 4,2.00 litres (0.53 US gallons),1300  +/- 50  RPM,525,108,15/40 (front/rear),36 PSI (2.5 Bar or 250 kPa),41 PSI (2.8 Bar or 280 kPa),46 mm (1.8 inches),,,,,
Ural De Luxe,1998,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5200 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 4800 RPM,,,Air,4-speed,Shaft drive (cardan)   (final drive),Expanding brake,Expanding brake,340.0 kg (749.6 pounds),0.0941 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,Comes with mounted sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 250,1998,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",28.0 HP (20.4  kW)),,,4,Liquid,,Chain   (final drive),Single disc,Expanding brake (drum brake),,,"856 mm (33.7 inches) If adjustable, lowest setting.",,Kick,,,,10.97 litres (2.90 US gallons),11.0:1,Double Overhead Cams/Twin Cam (DOHC),,74.0 x 58.0 mm (2.9 x 2.3 inches),Carburettor. Keihin CVK34,3.00-21 ,4.60-17 ,1415 mm (55.7 inches),2.00 litres (0.53 US gallons),,,,,28.5°,117 mm (4.6 inches),Air adjustable hydraulic telescope fork,229 mm (9.0 inches),´UNI-TRAK´ Single Shock System,229 mm (9.0 inches),,,,,,,,,Wet sump,Wet,Aluminum,,,,2.00 litres (2.11 US quarts),,,,,,,,,,,2141 mm (84.3 inches),,,,
Yamaha WR 400 F Enduro,1998,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,,,,,5-speed,Chain   (final drive),Single disc,Single disc,114.0 kg (251.3 pounds),,"991 mm (39.0 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Dyna Glide Convertible,1998,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2350 RPM,165.0 km/h (102.5 mph),2,Air,5-speed,Belt   (final drive),Double disc,Single disc,282.0 kg (621.7 pounds),0.1986 HP/kg,"704 mm (27.7 inches) If adjustable, lowest setting.",,Electric,,,,18.50 litres (4.89 US gallons),8.5:1,Overhead Valves (OHV),,88.8 x 108.0 mm (3.5 x 4.3 inches),Carburettor. 40mm Keihin CV,100/90-19 ,130/90-HB16 ,,,,,"Single-fire, non-wasted, map-controlled spark ignition",,,,39mm stanchions,175 mm (6.9 inches),"Dual dampers, adjustable for preload",120 mm (4.7 inches),292 mm (11.5 inches),,289.0 kg (637.1 pounds),,,NGK BPR5ES-11,,,,,,,,,2.80 litres (2.96 US quarts),SAE 20W-50,DOT 5 Silicone,,1000  RPM,,,,29 PSI (2 Bar or 200 kPa),36 PSI (2.5 Bar or 250 kPa),39 mm (1.5 inches),,"12v, 20 AH battery.",,,
Laverda 750 Ghost Strike,1998,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"Twin, four-stroke",85.0 HP (62.0  kW)) @ 9200 RPM,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 7200 RPM,200.0 km/h (124.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,,187.0 kg (412.3 pounds),0.4545 HP/kg,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S Diversion,1998,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 8500 RPM,53.0 Nm (5.4 kgf-m or 39.1 ft.lbs) @ 7000 RPM,190.0 km/h (118.1 mph),2,Air,6-speed,Chain   (final drive),Dual disc,Single disc,187.0 kg (412.3 pounds),0.3262 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda RVF 750 - RC 45,1998,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",120.0 HP (87.6  kW)) @ 12000 RPM,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 10000 RPM,260.0 km/h (161.6 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,209.0 kg (460.8 pounds),0.5742 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 900 S Diversion,1998,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",892.0 ccm (54.43 cubic inches),"In-line four, four-stroke",89.0 HP (65.0  kW)) @ 8250 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 7000 RPM,220.0 km/h (136.7 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,239.0 kg (526.9 pounds),0.3724 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Custom,1998,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 2350 RPM,155.0 km/h (96.3 mph),2,Air,5-speed,Belt   (final drive),Single disc,,278.0 kg (612.9 pounds),0.2014 HP/kg,"676 mm (26.6 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GS 125 ES,1998,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8000 RPM,,,Air,5-speed,Chain   (final drive),Single disc,,102.0 kg (224.9 pounds),0.1176 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ 125 Sportstar,1998,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)),,,,Air,5-speed,Chain   (final drive),,,120.0 kg (264.6 pounds),0.1000 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GTR 1000,1998,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 6500 RPM,,,,6-speed,,Dual disc,Single disc,270.0 kg (595.2 pounds),0.3630 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell White Lightning,1998,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"V2, four-stroke",93.0 HP (67.9  kW)) @ 5800 RPM,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 5400 RPM,,2,Air,5-speed,Belt   (final drive),Single disc,Single disc,193.0 kg (425.5 pounds),0.4819 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Adventurer,1998,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",68.0 HP (49.6  kW)) @ 8000 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 4000 RPM,195.0 km/h (121.2 mph),3,Liquid,5-speed,Chain   (final drive),Single disc,,225.0 kg (496.0 pounds),0.3022 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL Degree 250,1998,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",28.0 HP (20.4  kW)) @ 8000 RPM,,,2,Oil & air,,Chain   (final drive),Single disc,Expanding brake (drum brake),,,,,,,4.54 litres/100 km (22.0 km/l or 51.81 mpg),105.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,9.30 litres (2.46 US gallons),,Overhead Cams (OHC),,,Carburettor. Keihin 35 mm,,,1355 mm (53.3 inches),2.00 litres (0.53 US gallons),"White and Red, White and Green",,,,,,,,,,,,,,,,,,,,,,240 mm (9.4 inches),,,,,,,,,,,,,2107 mm (83.0 inches),,1135 mm (44.7 inches),825 mm (32.5 inches),158kg
Laverda 668 Diamante,1998,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",668.0 ccm (40.76 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6500 RPM,190.0 km/h (118.1 mph),4,Air,6-speed,Chain   (final drive),Dual disc,,185.0 kg (407.9 pounds),0.3784 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDR 125,1998,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6500 RPM,,,,,Chain   (final drive),Single disc,Single disc,122.0 kg (269.0 pounds),0.1230 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB8R,1998,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",145.0 HP (105.8  kW)) @ 9000 RPM,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 8500 RPM,270.0 km/h (167.8 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,179.0 kg (394.6 pounds),0.8101 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,1395 mm (54.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator,1998,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)),56.0 Nm (5.7 kgf-m or 41.3 ft.lbs),165.0 km/h (102.5 mph),4,Air,5-speed,Chain   (final drive),Single disc,Single disc,167.0 kg (368.2 pounds),0.2635 HP/kg,"880 mm (34.6 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa PX 125,1998,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",9.0 HP (6.6  kW)),,,,,,,,,123.0 kg (271.2 pounds),0.0732 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZRX 1100,1998,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1052.0 ccm (64.19 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 8500 RPM,,220.0 km/h (136.7 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,221.0 kg (487.2 pounds),0.4977 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB6R,1998,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",156.0 HP (113.9  kW)) @ 10000 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 8700 RPM,280.0 km/h (174.0 mph),4,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,199.0 kg (438.7 pounds),0.7839 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota Supermono,1998,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6750 RPM,56.0 Nm (5.7 kgf-m or 41.3 ft.lbs) @ 5250 RPM,,,,5-speed,,Single disc,Single disc,145.0 kg (319.7 pounds),0.3448 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chang-Jiang CJ750 M1M,1998,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",746.0 ccm (45.52 cubic inches),"Twin, four-stroke",23.7 HP (17.3  kW)),,90.0 km/h (55.9 mph),2,Air,4-speed,Shaft drive (cardan)   (final drive),,,360.0 kg (793.7 pounds),0.0659 HP/kg,,,,,7.00 litres/100 km (14.3 km/l or 33.60 mpg),162.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,22.00 litres (5.81 US gallons),6.0:1,,,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor,3.75-19 ,3.75-19 ,1420 mm (55.9 inches),,"black, army green",Replica of 1938 BMW R71 Motorcycle used by the Germans in WWII.  These motorcycles are still manufactured and used extensively by the Chinese Army.  Has Sidecar standard.,point   and  condenser,,25.3°,,,,,,,,,,,,,,Wet Sump,Dry PLate,Steel Tubular,,135 mm (5.3 inches),Dual pipe,,,,,,,,,,,,2400 mm (94.5 inches),,1000 mm (39.4 inches),1590 mm (62.6 inches),
KTM 400 LSE,1998,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",42.0 HP (30.7  kW)),,150.0 km/h (93.2 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,Single disc,138.0 kg (304.2 pounds),0.3043 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 550,1998,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 3500 RPM,190.0 km/h (118.1 mph),2,Air,6-speed,Chain   (final drive),Dual disc,Single disc,177.0 kg (390.2 pounds),0.2825 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 11 Sport,1998,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 7800 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 6000 RPM,220.0 km/h (136.7 mph),2,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,216.0 kg (476.2 pounds),0.4167 HP/kg,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,1998,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",68.0 HP (49.6  kW)) @ 8000 RPM,70.0 Nm (7.1 kgf-m or 51.6 ft.lbs) @ 4000 RPM,195.0 km/h (121.2 mph),3,Liquid,5-speed,Chain   (final drive),Single disc,,220.0 kg (485.0 pounds),0.3091 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 1400 GLP Intruder,1998,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1360.0 ccm (82.99 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)),105.0 Nm (10.7 kgf-m or 77.4 ft.lbs),170.0 km/h (105.6 mph),3,Oil & air,5-speed,Shaft drive (cardan)   (final drive),Single disc,Single disc,247.0 kg (544.5 pounds),0.2470 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,Electric,,6.80 litres/100 km (14.7 km/l or 34.59 mpg),157.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,13.00 litres (3.43 US gallons),9.3:1,Single Overhead Cams (SOHC),,94.0 x 98.0 mm (3.7 x 3.9 inches),Carburettor. Mikuni,100/90-19 ,170/80-15 ,1620 mm (63.8 inches),,,,,,36.0°,175 mm (6.9 inches),"Telescopic fork, 41 mm",160 mm (6.3 inches),"Dual shocks, adjustable",104 mm (4.1 inches),275 mm (10.8 inches),,,,,,,,,,,,,,5.00 litres (5.28 US quarts),,,,,,,,,,,,,,,
Honda CB 1000,1998,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 6000 RPM,220.0 km/h (136.7 mph),4,Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,235.0 kg (518.1 pounds),0.4170 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 900 Monster S,1998,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",74.0 HP (54.0  kW)) @ 7000 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 6500 RPM,200.0 km/h (124.3 mph),2,,6-speed,Chain   (final drive),Dual disc,Single disc,183.0 kg (403.4 pounds),0.4044 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva River 600,1998,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",601.0 ccm (36.67 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 6000 RPM,44.0 Nm (4.5 kgf-m or 32.5 ft.lbs) @ 4500 RPM,,,,5-speed,Chain   (final drive),Single disc,Single disc,160.0 kg (352.7 pounds),0.2125 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voxan V2 Café Racer,1998,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)),110.0 Nm (11.2 kgf-m or 81.1 ft.lbs),,,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,187.0 kg (412.3 pounds),0.6417 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 900,1998,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 9400 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 8600 RPM,215.0 km/h (133.6 mph),3,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,220.0 kg (485.0 pounds),0.4318 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SR 500,1998,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 6000 RPM,30.0 Nm (3.1 kgf-m or 22.1 ft.lbs) @ 3500 RPM,,,Air,5-speed,,Expanding brake,Expanding brake,154.0 kg (339.5 pounds),0.1429 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Tourist,1998,Naked bike," 3.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",650.0 ccm (39.66 cubic inches),"Two cylinder boxer, four-stroke",32.0 HP (23.4  kW)) @ 5200 RPM,47.0 Nm (4.8 kgf-m or 34.7 ft.lbs) @ 4800 RPM,,,Air,4-speed,Shaft drive (cardan)   (final drive),Expanding brake,Expanding brake,340.0 kg (749.6 pounds),0.0941 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,Comes with mounted sidecar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-7RR Ninja,1998,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"In-line four, four-stroke",122.0 HP (89.1  kW)) @ 11000 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 9300 RPM,270.0 km/h (167.8 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,200.0 kg (440.9 pounds),0.6100 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 RS,1998,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",130.0 HP (94.9  kW)) @ 8750 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6750 RPM,250.0 km/h (155.3 mph),4,Liquid,6-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,264.0 kg (582.0 pounds),0.4924 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.","800 mm (31.5 inches) If adjustable, highest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 750 C2 Shadow,1998,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",43.0 HP (31.4  kW)) @ 5500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 3000 RPM,160.0 km/h (99.4 mph),3,Liquid,5-speed,Chain   (final drive),Single disc,,230.0 kg (507.1 pounds),0.1870 HP/kg,"700 mm (27.6 inches) If adjustable, lowest setting.",,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
