Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,Clutch,Front suspension,Rear suspension,Diameter,Overall length,Overall width,Wheelbase,Color options,Fuel system,Ignition,Lubrication system,Exhaust system,Frame type,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Seat height,Overall height,Ground clearance,Reserve fuel capacity,Starter,Comments,1/4 mile (0.4 km),Max RPM,Driveline,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Factory warranty,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Electrical,Engine oil,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Alternate seat height
Honda VT 500 E,1984,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 9000 RPM,187.0 km/h (116.2 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),3,Overhead Cams (OHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),100/90-18 ,120/80-18 ,Single disc,Expanding brake,204.0 kg (449.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 750 S Katana,1984,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",747.0 ccm (45.58 cubic inches),"In-line four, four-stroke",82.0 HP (59.9  kW)) @ 9500 RPM,210.0 km/h (130.5 mph),9.8:1,67.0 x 53.0 mm (2.6 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.25-19 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1100 S,1984,Sport touring," 4.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1100.0 ccm (67.12 cubic inches),"V4, four-stroke",121.0 HP (88.3  kW)) @ 9500 RPM,241.4 km/h (150.0 mph),,,,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,,Double disc,Single disc,288.0 kg (635.0 pounds),20.81 litres (5.50 US gallons),,wet hydralic,,,,,,,,Carburettor,,,,,,,,,,,,,Electric,,10.90 seconds,,,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,1st year,,,,,,,,,,,,,
Triumph Bonneville Europa,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6500 RPM,161.0 km/h (100.0 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Dual disc,Single disc,196.0 kg (432.1 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 900 R,1984,Sport touring," 4.1  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",115.0 HP (83.9  kW)) @ 9500 RPM,,11.0:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,257.0 kg (566.6 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler Mustang 125,1984,Speedway,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",16.0 HP (11.7  kW)) @ 7250 RPM,110.0 km/h (68.4 mph),10.0:1,55.0 x 52.0 mm (2.2 x 2.0 inches),,Port control,Liquid,5-speed,Chain   (final drive),2.75-18 ,3.25-18 ,Single disc,Expanding brake,110.0 kg (242.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet De Luxe,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 250 R,1984,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,110.0 km/h (68.4 mph),10.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),4,Overhead Cams (OHC),Air,6-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake,131.0 kg (288.8 pounds),9.00 litres (2.38 US gallons),19.6 Nm (2.0 kgf-m or 14.5 ft.lbs) @ 14500 RPM,Wet multi-plate,Air assisted telescopic fork,"Single shock, swing arm",,,,,,Carburettor. 28mm Keihin,Electronic ,,,,210 mm (8.3 inches),109 mm (4.3 inches),75.0 kg (165.3 pounds),0.2267 HP/kg,,,,,Kick,,,,,,,,,,,,,1.50 litres (1.59 US quarts),YUASA 6N6-3B battery.,Honda GN4 10W-40,NGK D8EA,1300  +/- 100  RPM,520,102,13/38 (front/rear),22 PSI (1.5 Bar or 150 kPa),22 PSI (1.5 Bar or 150 kPa),35 mm (1.4 inches),,
Harley-Davidson FXSB 1340 Low Rider,1984,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,155.0 km/h (96.3 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,277.0 kg (610.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 550 EF,1984,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",64.0 HP (46.7  kW)) @ 10000 RPM,194.0 km/h (120.5 mph),10.0:1,60.0 x 50.6 mm (2.4 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 650 E,1984,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",75.0 HP (54.7  kW)) @ 9500 RPM,202.0 km/h (125.5 mph),9.5:1,60.0 x 58.0 mm (2.4 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Shaft drive (cardan)   (final drive),100/90-19 ,130/90-16 ,Dual disc,Expanding brake,220.0 kg (485.0 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 500 LC,1984,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"V4, two-stroke",88.0 HP (64.2  kW)) @ 9500 RPM,223.0 km/h (138.6 mph),6.6:1,56.4 x 50.0 mm (2.2 x 2.0 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,216.0 kg (476.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1984,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,193.0 km/h (119.9 mph),9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 500 Sei-V,1984,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",478.0 ccm (29.17 cubic inches),"V2, four-stroke",42.0 HP (30.7  kW)) @ 7500 RPM,155.0 km/h (96.3 mph),11.2:1,69.0 x 64.0 mm (2.7 x 2.5 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),3.25-18 ,4.00-18 ,Dual disc,Single disc,180.0 kg (396.8 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 600,1984,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,146.0 km/h (90.7 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,154.0 kg (339.5 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 500 R,1984,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 5500 RPM,134.0 km/h (83.3 mph),8.6:1,89.0 x 80.0 mm (3.5 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Single disc,Expanding brake,152.0 kg (335.1 pounds),10.50 litres (2.77 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 R,1984,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",589.0 ccm (35.94 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,151.0 km/h (93.8 mph),8.5:1,100.0 x 75.0 mm (3.9 x 3.0 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Expanding brake,146.0 kg (321.9 pounds),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 350 Type 638.5 (with sidecar),1984,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",343.0 ccm (20.93 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 5500 RPM,100.0 km/h (62.1 mph),10.2:1,58.0 x 65.0 mm (2.3 x 2.6 inches),,Port control,Air,4-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Expanding brake,Expanding brake,225.0 kg (496.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 400,1984,Sport," 2.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10500 RPM,175.0 km/h (108.7 mph),9.7:1,55.0 x 42.0 mm (2.2 x 1.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,110/80-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 1100 F,1984,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1062.0 ccm (64.80 cubic inches),"In-line four, four-stroke",110.0 HP (80.3  kW)) @ 8500 RPM,,9.7:1,70.0 x 69.0 mm (2.8 x 2.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,266.0 kg (586.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 654 T,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,604.0 ccm (36.86 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8700 RPM,172.0 km/h (106.9 mph),9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,203.0 kg (447.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBX 550 F (reduced effect),1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,572.0 ccm (34.90 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8500 RPM,182.0 km/h (113.1 mph),9.5:1,59.2 x 52.0 mm (2.3 x 2.0 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.60-18 ,4.10-18 ,Dual disc,Single disc,209.0 kg (460.8 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXRS 1340 Low Glide,1984,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5200 RPM,162.0 km/h (100.7 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,5-speed,Belt   (final drive),MJ 90-19 ,MT 90-19 ,Single disc,Single disc,284.0 kg (626.1 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malanca 125 E 2 CS ob one 5 N,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Twin, two-stroke",26.0 HP (19.0  kW)) @ 10800 RPM,136.0 km/h (84.5 mph),11.0:1,43.0 x 43.0 mm (1.7 x 1.7 inches),,Port control,Liquid,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Dual disc,Single disc,107.0 kg (235.9 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 350 F4T,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,130.0 km/h (80.8 mph),9.2:1,79.5 x 70.0 mm (3.1 x 2.8 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-21 ,4.50-18 ,Single disc,Expanding brake,137.0 kg (302.0 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville USA,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"Twin, four-stroke",49.0 HP (35.8  kW)) @ 6600 RPM,161.0 km/h (100.0 mph),7.9:1,76.0 x 82.0 mm (3.0 x 3.2 inches),2,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),100/90-19 ,110/90-18 ,Dual disc,Single disc,192.0 kg (423.3 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1984,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,173.0 km/h (107.5 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,196.0 kg (432.1 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda TL125 Ihatovo,1984,Trial," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,90.0 km/h (55.9 mph),,56.5 x 49.5 mm (2.2 x 1.9 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-21 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),,5.00 litres (1.32 US gallons),,,,,,,,,,Carburettor,,,,,,,107.0 kg (235.9 pounds),,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,,,5.90 seconds,
Yamaha XZ 550 S,1984,Sport touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",553.0 ccm (33.74 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 9500 RPM,180.0 km/h (111.8 mph),10.5:1,80.0 x 55.0 mm (3.1 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,4.25/85-18 ,Dual disc,Expanding brake,228.0 kg (502.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 45,1984,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",473.0 ccm (28.86 cubic inches),"Two cylinder boxer, four-stroke",35.0 HP (25.5  kW)) @ 7250 RPM,160.0 km/h (99.4 mph),9.2:1,70.0 x 61.5 mm (2.8 x 2.4 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-18 ,4.00-18 ,Single disc,Expanding brake,206.0 kg (454.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 600 SL Pantah,1984,Classic," 3.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",581.0 ccm (35.45 cubic inches),"V2, four-stroke",57.0 HP (41.6  kW)) @ 8500 RPM,195.0 km/h (121.2 mph),9.5:1,80.0 x 57.8 mm (3.1 x 2.3 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VF 500 F,1984,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",497.0 ccm (30.33 cubic inches),"V4, four-stroke",70.0 HP (51.1  kW)) @ 11500 RPM,199.0 km/h (123.7 mph),11.0:1,60.0 x 44.0 mm (2.4 x 1.7 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),100/90-16 ,110/90-18 ,Dual disc,Single disc,206.0 kg (454.2 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 400 F,1984,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",41.0 HP (29.9  kW)) @ 10500 RPM,157.0 km/h (97.6 mph),9.5:1,52.0 x 47.0 mm (2.0 x 1.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-19 ,110/90-18 ,Dual disc,Expanding brake,197.0 kg (434.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 125 KJ Kanguro,1984,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 10000 RPM,110.0 km/h (68.4 mph),11.7:1,59.0 x 45.0 mm (2.3 x 1.8 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),2.75-21 ,100/80-18 ,Single disc,Expanding brake,119.0 kg (262.4 pounds),7.50 litres (1.98 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motobi 254,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,231.0 ccm (14.10 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10600 RPM,156.0 km/h (96.9 mph),10.5:1,44.0 x 38.0 mm (1.7 x 1.5 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),2.75-18 ,3.00-18 ,Single disc,Expanding brake,130.0 kg (286.6 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva 650 Alazzurra,1984,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 8400 RPM,175.0 km/h (108.7 mph),10.0:1,82.0 x 61.5 mm (3.2 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,110/90-18 ,Dual disc,Single disc,207.0 kg (456.4 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXEF 1340 Fat Bob,1984,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1337.0 ccm (81.58 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 5000 RPM,155.0 km/h (96.3 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,272.0 kg (599.7 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZH Jupiter 4,1984,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",350.0 ccm (21.36 cubic inches),"Twin, two-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,125.0 km/h (77.7 mph),9.5:1,62.0 x 58.0 mm (2.4 x 2.3 inches),,Port control,Air,4-speed,Chain   (final drive),3.50-18 ,3.50-18 ,Expanding brake,Expanding brake,180.0 kg (396.8 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 400 (reduced effect),1984,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"In-line four, four-stroke",27.0 HP (19.7  kW)) @ 10000 RPM,151.0 km/h (93.8 mph),9.7:1,55.0 x 42.0 mm (2.2 x 1.7 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),100/90-18 ,100/90-18 ,Dual disc,Single disc,202.0 kg (445.3 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini 3 1-2 VS,1984,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.0 ccm (20.99 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6850 RPM,165.0 km/h (102.5 mph),11.1:1,62.0 x 57.0 mm (2.4 x 2.2 inches),2,Overhead Valves (OHV),Air,6-speed,Chain   (final drive),100/90-18 ,3.50-18 ,Single disc,Expanding brake,160.0 kg (352.7 pounds),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1100 S Katana,1984,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 8700 RPM,228.0 km/h (141.7 mph),9.5:1,72.0 x 66.0 mm (2.8 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),3.50-19 ,4.50-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650,1984,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",71.0 HP (51.8  kW)) @ 9400 RPM,197.0 km/h (122.4 mph),9.2:1,63.0 x 52.4 mm (2.5 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,231.0 kg (509.3 pounds),20.50 litres (5.42 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 650 Turbo,1984,Sport touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",653.0 ccm (39.85 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 9000 RPM,203.0 km/h (126.1 mph),8.5:1,63.0 x 52.4 mm (2.5 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Shaft drive (cardan)   (final drive),3.25-19 ,120/90-18 ,Dual disc,Expanding brake,262.0 kg (577.6 pounds),19.00 litres (5.02 US gallons),,,,,,,,,,Turbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
