Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Instruments,Comments,Driveline,Carrying capacity,Wheels,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,"Weight incl. oil, gas, etc",Oil capacity,Light,Top speed,Emission details,Factory warranty,Reserve fuel capacity,Seat,Electrical,0-100 km/h (0-62 mph),Alternate seat height,Max RPM,Modifications compared to previous model,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Engine oil,Chain size,1/4 mile (0.4 km),Chain links,Sprockets
Can-Am Renegade 1000 X Xc,2014,ATV," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",976.0 ccm (59.56 cubic inches),"V2, four-stroke",,,,91.0 x 75.0 mm (3.6 x 3.0 inches),4,"Injection. 46 mm Throttle Body, 2 Siemens VDO injectors",Single Overhead Cams (SOHC),,,Liquid,Automatic,Shaft drive (cardan)   (final drive),,Surrounding Spar Technology (SST) G2,Double A-arm with Fox HPG shocks,229 mm (9.0 inches),Torsional Trailing arm Independent (TTI) with FOX HPG shocks,236 mm (9.3 inches),25/8-12 ,25/10-12 ,Double disc. Hydraulic. Two-piston calipers. ,214 mm (8.4 inches),Double disc. Hydraulic. Two-piston calipers. ,303.0 kg (668.0 pounds),,"876 mm (34.5 inches) If adjustable, lowest setting.",1245 mm (49.0 inches),2184 mm (86.0 inches),1168 mm (46.0 inches),267 mm (10.5 inches),1295 mm (51.0 inches),20.50 litres (5.42 US gallons),Yellow/black,Electric,"Speedometer, tachometer, odometer, trip and hour meters, fuel, gear position, 4 x 4 indicator, diagnostics, clock.",Digitally Encoded Security System (D.E.S.S.™) anti-theft. Tri-Mode Dynamic Power Steering (DPS™).,Selectable 2WD / 4WD shaft driven with Visco-Lok auto-locking front differential,,Cast-aluminum rims. ITP Holeshot tires.,,,,,,,,,240-W from 4 fender mounted projector beam headlamps (60-W) with tail light / brake light,,,6 months limited warranty,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Owen II 150,2014,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, four-stroke",11.9 HP (8.7  kW)) @ 8000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6000 RPM,9.2:1,57.0 x 58.0 mm (2.2 x 2.3 inches),,Carburettor,Single Overhead Cams (SOHC),,Pressure splash lubrication,Air,5-speed,Chain   (final drive),"Wet, multiple-plate",Straddle type,Telescopic forks,110 mm (4.3 inches),Telescopic coil spring oil damped,66 mm (2.6 inches),3.00-18 ,3.50-16 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),120.0 kg (264.6 pounds),0.0995 HP/kg,"750 mm (29.5 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2040 mm (80.3 inches),850 mm (33.5 inches),170 mm (6.7 inches),1330 mm (52.4 inches),11.00 litres (2.91 US gallons),Red,Electric,Analogue/digital,"Keeway is the American and European brand name of Qianjiang, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB500X ABS,2014,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",471.0 ccm (28.74 cubic inches),"Twin, four-stroke",46.9 HP (34.3  kW)) @ 8500 RPM,43.0 Nm (4.4 kgf-m or 31.7 ft.lbs) @ 7000 RPM,10.7:1,67.0 x 66.8 mm (2.6 x 2.6 inches),4,Injection. PGM-FI with 34mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with electronic advance,,Liquid,6-speed,Chain   (final drive),Wet multiplate,,41mm fork,140 mm (5.5 inches),Pro-Link single shock with nine-position spring preload adjustability,119 mm (4.7 inches),120/70-17 ,160/60-17 ,Double disc. Wave disc. Two-piston calipers. ABS.,240 mm (9.4 inches),Single disc. Wave disc. ABS.,182.0 kg (401.2 pounds),0.2579 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",1262 mm (49.7 inches),2096 mm (82.5 inches),822 mm (32.4 inches),165 mm (6.5 inches),1421 mm (55.9 inches),17.30 litres (4.57 US gallons),Pearl White,,"Digital Speedometer, Digital Bar Graph Tachometer, Dual Trip Meters, Digital Fuel Level Gauge  and  Fuel Consumption Gauge, Digital Clock",Model ID: CB500X,O-ring-sealed chain,,,,,,,26.5°,109 mm (4.3 inches),199.0 kg (438.8 pounds),3.20 litres (3.38 US quarts),,,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard M109R B O S S,2014,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1783.0 ccm (108.80 cubic inches),"V2, four-stroke",,,10.5:1,112.0 x 90.5 mm (4.4 x 3.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,High-tensile double cradle steel frame,"Inverted telescopic, coil spring, oil damped",,"Link type, oil damped, coil spring",,130/70-R18 ,240/40-R18 ,Double disc,,Single disc,,,"705 mm (27.8 inches) If adjustable, lowest setting.",,2450 mm (96.5 inches),875 mm (34.4 inches),130 mm (5.1 inches),1710 mm (67.3 inches),18.55 litres (4.90 US gallons),Marble Daytona Yellow/Glass Sparkle Black,Electric,,,Constant mesh,,,54-degree V-Twin,,,2-into-1-into-2 stainless steel chromed exhaust system,,,347.0 kg (765.0 pounds),,,,,1 year unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler Supermoto 125 DD,2014,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.9 HP (8.0  kW)) @ 9500 RPM,,,,,Carburettor,Overhead Cams (OHC),,,Air,5-speed,Chain   (final drive),,Stainless steel,Upside down telescopic fork,,"Hydraulic shock absorbers, adjustable",,110/70-17 ,130/70-17 ,Single disc. Wave disc,210 mm (8.3 inches),Single disc. Wave disc,124.0 kg (273.4 pounds),0.0879 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),2120 mm (83.5 inches),830 mm (32.7 inches),,1450 mm (57.1 inches),10.50 litres (2.77 US gallons),Black/orange,Electric,Digital ,German brand.,,,"Black rims, spoked",,,,Aluminium exhaust pipe,,,133.0 kg (293.2 pounds),,,100.0 km/h (62.1 mph),Euro III,,,,12 Volt,,,,,,,,,,,,,,,,,,,,,
Kawasaki KFX 90,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,89.0 ccm (5.43 cubic inches),"Single cylinder, four-stroke",,,10.0:1,47.0 x 51.8 mm (1.9 x 2.0 inches),,Carburettor. Mikuni PTE 16,,Solid state CDI,,Air,Automatic,Chain   (final drive),,"Double cradle, steel",Single A-arm with twin shock absorbers / 2.8 in.,,Swingarm with single shock absorber / 2.9 in.,,,,Double disc,,Single disc. Hydraulic. ,,,"650 mm (25.6 inches) If adjustable, lowest setting.",925 mm (36.4 inches),1425 mm (56.1 inches),904 mm (35.6 inches),102 mm (4.0 inches),965 mm (38.0 inches),5.68 litres (1.50 US gallons),Lime Green,Electric,"Speedometer, odometer, clock, fuel gauge and coolant temp light",,,,,,,,,,,118.8 kg (262.0 pounds),,Dual removable 30w headlights / LED taillight / brake light,,,12 Months,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am Outlander Max 650,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.6 ccm (39.64 cubic inches),"V2, four-stroke",,,,82.0 x 62.0 mm (3.2 x 2.4 inches),4,"Injection. 46 mm Throttle Body, 2 Siemens VDO injectors",Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,Surrounding Spar Technology (SST) G2,Double A-arm,229 mm (9.0 inches),Torsional Trailing arm Independent (TTI),220 mm (8.7 inches),26/8-12 ,26/10-12 ,Double disc. Hydraulic. Two-piston calipers. ,214 mm (8.4 inches),Single disc. Hydraulic. Two-piston calipers. ,355.0 kg (782.6 pounds),,"877 mm (34.5 inches) If adjustable, lowest setting.",1350 mm (53.1 inches),2388 mm (94.0 inches),1168 mm (46.0 inches),279 mm (11.0 inches),1499 mm (59.0 inches),20.44 litres (5.40 US gallons),Red,Electric,Multifunction digital LCD gauge,,Selectable 2WD / 4WD shaft driven with Visco-Lok auto-locking front differential*,,Carlisle Badland tires,Rotax engine,,,,,,,,230-W from twin 60-W projectors and dual 55-W reflectors with tail light / brake light,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha X-MAX 125,2014,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",14.2 HP (10.3  kW)) @ 9000 RPM,11.9 Nm (1.2 kgf-m or 8.8 ft.lbs) @ 6750 RPM,11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),,Injection. EFI,Single Overhead Cams (SOHC),TCI,Wet sump,Liquid,Automatic,Belt   (final drive),,,Telescopic fork,110 mm (4.3 inches),Unit swing,84 mm (3.3 inches),120/70-15 ,140/70-14 ,Single disc. Optional ABS.,240 mm (9.4 inches),Single disc. Optional ABS.,,,"792 mm (31.2 inches) If adjustable, lowest setting.",1385 mm (54.5 inches),2160 mm (85.0 inches),790 mm (31.1 inches),125 mm (4.9 inches),1525 mm (60.0 inches),11.80 litres (3.12 US gallons),"Grey, white, black",Electric,Sports car inspired dashboard,ABS adds 4 kg. Windscreen.,V-Belt Automatic,"Underseat storage for two full-face helmets, glove compartment",,,,,,,,169.0 kg (372.6 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 250F Cami,2014,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.3 ccm (15.21 cubic inches),"Single cylinder, four-stroke",,,,66.4 x 72.0 mm (2.6 x 2.8 inches),,Carburettor. Keihin PKWS 38 mm,,Electronic,2-stroke-oil/fuel mixed 1:50,Liquid,6-speed,Chain   (final drive),Multidisc in oil bath,Perimeter frame in chrome-molybdenum,Marzocchi Shiver invertida Ø45 mm,298 mm (11.7 inches),Sachs mono shock,298 mm (11.7 inches),90/90-21 ,140/80-18 ,Single disc. Wave disc. Two-piston calipers. ,220 mm (8.7 inches),Single disc. Wave disc. Single-piston caliper. ,112.0 kg (246.9 pounds),,"959 mm (37.8 inches) If adjustable, lowest setting.",1260 mm (49.6 inches),2200 mm (86.6 inches),,,1480 mm (58.3 inches),6.30 litres (1.66 US gallons),Red/white/black,Electric & kick,,Spanish made bike.,,,Morad Aluminium spoke rim,,,,Reverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki J300,2014,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",299.0 ccm (18.24 cubic inches),"Single cylinder, four-stroke",27.2 HP (19.9  kW)) @ 7750 RPM,28.7 Nm (2.9 kgf-m or 21.2 ft.lbs) @ 6500 RPM,10.8:1,72.7 x 72.0 mm (2.9 x 2.8 inches),,Injection,Single Overhead Cams (SOHC),ECU Control (Full transistor),"Forced lubrication, wet sump",Liquid,,Belt   (final drive),,"Tubular diamond, steel",37 mm telescopic fork,,Twin shocks with 5-way adjustable preload,,120/80-M14 ,150/70-M13 ,Single disc,240 mm (9.4 inches),Single disc,,,"775 mm (30.5 inches) If adjustable, lowest setting.",,2235 mm (88.0 inches),,145 mm (5.7 inches),1555 mm (61.2 inches),13.00 litres (3.43 US gallons),,Electric,,,,,,Reed valve. ,,,,,,191.0 kg (421.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 RC PP,2014,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)),,,58.0 x 47.2 mm (2.3 x 1.9 inches),,,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",Forced oil lubrication with 1 Eaton pumps,Liquid,6-speed,Chain   (final drive),Wet multi-disc clutch / hydraulically operated,"Tubular space frame made from steel tubes, powder-coated",WP  Suspension 4357,125 mm (4.9 inches),WP  Suspension  4618 EM,150 mm (5.9 inches),,,Single disc. Four-pot brake caliper,260 mm (10.2 inches),"Single disc. One-pot brake caliper, floating brake",135.0 kg (297.6 pounds),0.1111 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,179 mm (7.0 inches),1340 mm (52.8 inches),10.00 litres (2.64 US gallons),White/orange/black,Electric,,,,,,,,,,25.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 690 Duke R ABS,2014,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",690.0 ccm (42.10 cubic inches),"Single cylinder, four-stroke",69.0 HP (50.4  kW)),,,102.0 x 84.5 mm (4.0 x 3.3 inches),,Injection,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Semi-dry-sump lubrication with 2 rotor pumps,Liquid,6-speed,Chain   (final drive),,"Tubular space frame made from chrome molybdenum steel, powder-coated",WP Suspension Up Side Down ,150 mm (5.9 inches),WP Suspension with Pro and #8209;Lever linkage,150 mm (5.9 inches),,,Single disc. Bremo. Floating disc. Four-piston calipers. Radially mounted.  Bosch 9M+ ABS,240 mm (9.4 inches),Single disc. Bremo. Floating disc. Single-piston caliper.  Bosch 9M+ ABS,149.5 kg (329.6 pounds),0.4615 HP/kg,"865 mm (34.1 inches) If adjustable, lowest setting.",,,,192 mm (7.6 inches),1466 mm (57.7 inches),,White/orange,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Gold Wing Audio Comfort,2014,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1832.0 ccm (111.79 cubic inches),"Six cylinder boxer, four-stroke",,,9.8:1,74.0 x 71.0 mm (2.9 x 2.8 inches),2,Injection. Programmed Fuel Injection (PGM-FI),Single Overhead Cams (SOHC),Computer-controlled digital with three-dimensional mapping,,Liquid,5-speed,Shaft drive (cardan)   (final drive),Multi-plate with diaphragm spring in oil bath,,"45mm cartridge fork with anti-dive system, 4.8 inches travel",,Pro Arm® single-side swingarm with Pro-Link® single shock with computer-controlled spring preload adjustment with two memory presets; 4.1 inches travel,,130/70-R18 ,180/60-R16 ,Double disc. Floating discs. ,316 mm (12.4 inches),Single disc,,,"739 mm (29.1 inches) If adjustable, lowest setting.",,,,,1689 mm (66.5 inches),24.98 litres (6.60 US gallons),"Candy Red, Pearl Blue, Black",Electric,,Model ID: GL1800,,"Saddle bags, top box, glovebox",,,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,29.2°,109 mm (4.3 inches),415.5 kg (916.0 pounds),,,,Meets current California Air Resources Board (CARB) and EPA standards.,Three Years. Unlimited milage. Transferable.,,Urethane. Waterproof cover.,,,,,,,,,,,,,,,,,,,,,,
Ecosse The Heretic,2014,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1966.0 ccm (119.97 cubic inches),"V2, four-stroke",133.0 HP (97.1  kW)),185.8 Nm (18.9 kgf-m or 137.0 ft.lbs),10.5:1,108.0 x 108.0 mm (4.3 x 4.3 inches),,Carburettor. Mikuni 45mm flat slide,Double Overhead Cams/Twin Cam (DOHC),,Wet sump,Liquid,6-speed,Chain   (final drive),,"CrMo mainframe, subframe and swingarm. Carbon fiber (headlight, fenders, tank, tail, tach shroud, air filter cover  and  seat pans)","Öhlins Upside-down, fully adjustable fork",132 mm (5.2 inches),"Öhlins fully adjustable. 3 modes, dragster, cruiser, road racer.",165 mm (6.5 inches),120/70-ZR17 ,190/70-ZR17 ,Double disc. 6-piston radial calipers,260 mm (10.2 inches),Single disc. 2-piston calipers,205.0 kg (451.9 pounds),0.6488 HP/kg,"698 mm (27.5 inches) If adjustable, lowest setting.",,,,165 mm (6.5 inches),1537 mm (60.5 inches),15.90 litres (4.20 US gallons),"Any pearl color or clear-coated
carbon fiber with highlight and pin stripe.",Electric,Analog tach; LCD speedometer,"Optional polished engine, custom ergonomics, GP shift pattern, and more. Limited edition bike. Each unit engraved with sequential
production number.",Primary: Wet chain.,400 lbs,17´ forged aluminum. Silver or black. Optional BST carbon-fiber wheels.,"Billet aluminum; 45-degree American V-Twin. Hand built, blueprinted and balanced. Dynamically balanced crank for reduced vibration.",,,2 into 1. Stainless steel head pipes with dual titanium mufflers.,25.0°,,221.0 kg (487.2 pounds),3.70 litres (3.91 US quarts),,,,,,Low-profile (sleek) or high-profile (plush),,,"775 mm (30.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,
Keeway Owen 150,2014,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,148.0 ccm (9.03 cubic inches),"Single cylinder, four-stroke",11.9 HP (8.7  kW)) @ 8000 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 6000 RPM,9.2:1,57.0 x 58.0 mm (2.2 x 2.3 inches),2,Carburettor,Single Overhead Cams (SOHC),TLI,Pressure splash lubrication,Air,5-speed,Chain   (final drive),"Wet, multiple-plate",Straddle type,Telescopic forks,110 mm (4.3 inches),Telescopic coil spring oil damped,66 mm (2.6 inches),2.75-18 ,3.50-16 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),120.0 kg (264.6 pounds),0.0995 HP/kg,"745 mm (29.3 inches) If adjustable, lowest setting.",1140 mm (44.9 inches),1950 mm (76.8 inches),830 mm (32.7 inches),165 mm (6.5 inches),1290 mm (50.8 inches),10.00 litres (2.64 US gallons),Blue,Electric,Analogue/digital,"Keeway is the American and European brand name of Qianjiang, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GG Taurus,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1293.0 ccm (78.90 cubic inches),"In-line four, four-stroke",173.0 HP (126.3  kW)) @ 9250 RPM,140.0 Nm (14.3 kgf-m or 103.3 ft.lbs) @ 8250 RPM,,,4,Injection,,,,Liquid,6-speed,Shaft drive (cardan)   (final drive),,GG in-house construction,Single-wheel suspension with aluminium trapezoid cross-members. Hydraulic shock absorbers with infinitely variable adjustment. ,100 mm (3.9 inches),Swing arm in aluminium. Hydraulic shock absorbers with infinitely variable adjustment. ,130 mm (5.1 inches),205/40-17 ,275/30-19 ,Single disc. Floating,284 mm (11.2 inches),Single disc,397.0 kg (875.2 pounds),0.4357 HP/kg,,,2190 mm (86.2 inches),1410 mm (55.5 inches),,,34.00 litres (8.98 US gallons),,Electric,,Swiss made bike with two front wheels. Car or motorbike driving licence.,Differential with reverse gear.,,Forged aluminium wheels,,,,Three-way catalic converter,,,,,,220.0 km/h (136.7 mph),Three-way catalytic converter,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KLX125,2014,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.3 HP (7.5  kW)) @ 8000 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 6400 RPM,9.5:1,54.0 x 54.4 mm (2.1 x 2.1 inches),,Injection,Overhead Valves (OHV),Digital DC-CDI,"Forced lubrication, wet sump",Air,,Chain   (final drive),"Wet multi-disc, manual","Perimeter, steel",33 mm telescopic fork,,Uni-Trak,,70/100-19 ,90/100-16 ,Single disc. Petal disc.Twin-piston caliper.,190 mm (7.5 inches),Single disc. Petal disc. Single-piston.,,,"830 mm (32.7 inches) If adjustable, lowest setting.",1090 mm (42.9 inches),1980 mm (78.0 inches),,255 mm (10.0 inches),1285 mm (50.6 inches),7.00 litres (1.85 US gallons),Green,Electric,,,,,,,,,,,,113.0 kg (249.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Dorsoduro 1200 ATC ABS,2014,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1197.0 ccm (73.04 cubic inches),"V2, four-stroke",125.0 HP (91.2  kW)) @ 8500 RPM,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 6500 RPM,12.0:1,106.0 x 67.8 mm (4.2 x 2.7 inches),4,"Injection. Integrated engine management system. Injection system with triple map Ride by Wire throttle management: Sport (S), Touring (T), Rain (R)",Double Overhead Cams/Twin Cam (DOHC),,Wet sump,Liquid,6-speed,Chain   (final drive),"Multiplate wet clutch, hydraulically operated",Modular tubular steel frame fastened to aluminium side plates by high strength bolts. Removable steel rear subframe.,Sachs upside-down front fork with fully adjustable compression and rebound damping and spring preload. Wheel travel 167 mm. ,160 mm (6.3 inches),Aluminium alloy swingarm Sachs hydraulic shock absorber with adjustable rebound and preload. ,155 mm (6.1 inches),120/70-17 ,190/55-17 ,Double disc. ABS,240 mm (9.4 inches),Single disc. ABS,,,"840 mm (33.1 inches) If adjustable, lowest setting.",1205 mm (47.4 inches),2248 mm (88.5 inches),925 mm (36.4 inches),,1565 mm (61.6 inches),15.00 litres (3.96 US gallons),"White, red",Electric,,"Two channel Continental ABS with Aprilia Traction Control. Integrated engine management system. Triple map Ride by Wire throttle management: Sport (S), Touring (T), Rain (R).",Drive ratio: 16/40,,,Longitudinal 90° V-twin,,,100% stainless steel 2-in-1 exhaust system with dual catalytic converters and double oxygen sensor,27.3°,118 mm (4.6 inches),,,,,,2-year unlimited-mileage warranty,3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT660Z Tenere ABS,2014,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",660.0 ccm (40.27 cubic inches),"Single cylinder, four-stroke",46.9 HP (34.3  kW)) @ 6000 RPM,58.0 Nm (5.9 kgf-m or 42.8 ft.lbs) @ 5920 RPM,10.0:1,100.0 x 84.0 mm (3.9 x 3.3 inches),4,Injection. EFI,Single Overhead Cams (SOHC),TCI,Dry sump,Liquid,5-speed,,,Steel tube diamond shape,Telescopic forks,,Linked monoshock with spring preload adjustment,,90/90-21 ,130/80-17 ,Single disc. ABS. Hydraulic.,245 mm (9.6 inches),Single disc. ABS. Hydraulic.,,,"896 mm (35.3 inches) If adjustable, lowest setting.",1477 mm (58.1 inches),2246 mm (88.4 inches),865 mm (34.1 inches),260 mm (10.2 inches),1500 mm (59.1 inches),23.00 litres (6.08 US gallons),"Matt gray, Yamaha Blue",Electric,,Windshield.,,,,,,,,28.0°,113 mm (4.4 inches),,2.90 litres (3.06 US quarts),,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,
Aeon Elite 400i,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",26.6 HP (19.4  kW)) @ 7500 RPM,27.3 Nm (2.8 kgf-m or 20.1 ft.lbs) @ 5500 RPM,10.6:1,82.0 x 65.6 mm (3.2 x 2.6 inches),4,Injection. EFI,,Digital,"Wet sump, oil pump pressurized.",Liquid,Automatic,Chain   (final drive),Centrifugal clutch,Steel tube,Telescopic fork,80 mm (3.1 inches),Dual-damper unit swing arm,95 mm (3.7 inches),120/80-14 ,140/70-14 ,Single disc,256 mm (10.1 inches),Single disc,172.0 kg (379.2 pounds),0.1544 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1330 mm (52.4 inches),2160 mm (85.0 inches),845 mm (33.3 inches),135 mm (5.3 inches),1545 mm (60.8 inches),13.50 litres (3.57 US gallons),Yellow,Electric,,,CVT,,6-spoke cast aluminium,,,,,,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,,,,
