Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel control,Cooling system,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Fuel capacity,Torque,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Max RPM,Fuel system,Ignition,Lubrication system,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat height,Alternate seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Reserve fuel capacity,Color options,Starter,Diameter,Dry weight,Power/weight ratio,Oil capacity,Modifications compared to previous model,Engine oil,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Oil filter,Coolant,Comments,Front percentage of weight,Rear percentage of weight,Electrical
Yamaha XT 600 Ténéré,1986,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",595.0 ccm (36.31 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)) @ 6500 RPM,150.0 km/h (93.2 mph),8.5:1,95.0 x 84.0 mm (3.7 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-18 ,Single disc,Expanding brake,177.0 kg (390.2 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RG125 Gamma,1986,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",25.0 HP (18.2  kW)) @ 9000 RPM,160.9 km/h (100.0 mph),,,,,Liquid,6-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,13.00 litres (3.43 US gallons),19.1 Nm (1.9 kgf-m or 14.1 ft.lbs) @ 8500 RPM,,,,12000,Carburettor,,,multiple plates in oil bath,5.22 litres/100 km (19.2 km/l or 45.06 mpg),121.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,"720 mm (28.3 inches) If adjustable, lowest setting.",,1155 mm (45.5 inches),1960 mm (77.2 inches),650 mm (25.6 inches),,1310 mm (51.6 inches),1.70 litres (0.45 US gallons),,Kick,,94.0 kg (207.2 pounds),0.2660 HP/kg,,,,,,,,,,,,,,,,,,,
BMW R 80 RT,1986,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,163.0 km/h (101.3 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,120/90-18 ,Single disc,Expanding brake,243.0 kg (535.7 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,"808 mm (31.8 inches) If adjustable, lowest setting.",,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,
Honda VF 1000 R,1986,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V4, four-stroke",122.0 HP (89.1  kW)) @ 10500 RPM,,11.0:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),120/80-16 ,140/80-17 ,Dual disc,Single disc,272.0 kg (599.7 pounds),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XZ 550 S,1986,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",553.0 ccm (33.74 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 9500 RPM,180.0 km/h (111.8 mph),10.5:1,80.0 x 55.0 mm (3.1 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,4.25/85-18 ,Dual disc,Expanding brake,228.0 kg (502.7 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda OR 600 Atlas,1986,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,571.0 ccm (34.84 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 8200 RPM,175.0 km/h (108.7 mph),9.0:1,76.0 x 63.0 mm (3.0 x 2.5 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-21 ,5.10-17 ,Single disc,Single disc,178.0 kg (392.4 pounds),27.00 litres (7.13 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 900 Sei,1986,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,905.0 ccm (55.22 cubic inches),"In-line six, four-stroke",80.0 HP (58.4  kW)) @ 8300 RPM,193.0 km/h (119.9 mph),9.5:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,249.0 kg (549.0 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 750 F,1986,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",748.0 ccm (45.64 cubic inches),"V4, four-stroke",106.0 HP (77.4  kW)) @ 10500 RPM,,10.5:1,70.0 x 48.6 mm (2.8 x 1.9 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),110/90-16 ,130/80-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 F 1,1986,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",70.0 HP (51.1  kW)) @ 8000 RPM,206.0 km/h (128.0 mph),9.3:1,88.0 x 61.5 mm (3.5 x 2.4 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),120/80-16 ,130/80-18 ,Dual disc,Single disc,189.0 kg (416.7 pounds),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 1000 RGS-Jota,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,980.0 ccm (59.80 cubic inches),"In-line three, four-stroke",82.0 HP (59.9  kW)) @ 7900 RPM,215.0 km/h (133.6 mph),9.0:1,75.0 x 74.0 mm (3.0 x 2.9 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-18 ,120/90-18 ,Dual disc,Single disc,265.0 kg (584.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 400 S,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"Twin, four-stroke",27.0 HP (19.7  kW)) @ 7800 RPM,151.0 km/h (93.8 mph),10.0:1,67.0 x 56.6 mm (2.6 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),3.00-18 ,3.75-18 ,Single disc,Expanding brake,190.0 kg (418.9 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS,1986,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,797.0 ccm (48.63 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,173.0 km/h (107.5 mph),8.2:1,84.8 x 70.6 mm (3.3 x 2.8 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,196.0 kg (432.1 pounds),19.50 litres (5.15 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 1000 RX,1986,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",125.0 HP (91.2  kW)) @ 9500 RPM,,10.2:1,74.0 x 58.0 mm (2.9 x 2.3 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),120/80-16 ,150/80-16 ,Dual disc,Single disc,267.0 kg (588.6 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 750 Sport,1986,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,739.0 ccm (45.09 cubic inches),"In-line four, four-stroke",80.0 HP (58.4  kW)) @ 9500 RPM,204.0 km/h (126.8 mph),9.5:1,66.0 x 54.0 mm (2.6 x 2.1 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,5-speed,Chain   (final drive),100/90-19 ,120/90-18 ,Dual disc,Single disc,234.0 kg (515.9 pounds),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RG 250 Gamma,1986,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",247.0 ccm (15.07 cubic inches),"Twin, two-stroke",45.0 HP (32.8  kW)) @ 8500 RPM,172.0 km/h (106.9 mph),7.1:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),100/90-16 ,100/90-18 ,Dual disc,Single disc,153.0 kg (337.3 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z 450 LTD,1986,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",454.0 ccm (27.70 cubic inches),"Twin, four-stroke",50.0 HP (36.5  kW)) @ 9500 RPM,162.0 km/h (100.7 mph),10.7:1,72.5 x 55.0 mm (2.9 x 2.2 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Belt   (final drive),100/90-19 ,140/90-15 ,Single disc,Expanding brake,199.0 kg (438.7 pounds),11.00 litres (2.91 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SRX 6 (reduced effect),1986,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",608.0 ccm (37.10 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,150.0 km/h (93.2 mph),8.5:1,96.0 x 84.0 mm (3.8 x 3.3 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),100/80-18 ,120/80-18 ,Dual disc,Single disc,172.0 kg (379.2 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXWG Wide Glide,1986,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.6 ccm (81.68 cubic inches),"V2, four-stroke",69.0 HP (50.4  kW)) @ 5000 RPM,164.2 km/h (102.0 mph),8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),2,Overhead Valves (OHV),Air,4-speed,Belt   (final drive),MH90-21 ,MT90-16 ,Single disc,Single disc,,19.00 litres (5.02 US gallons),111.2 Nm (11.3 kgf-m or 82.0 ft.lbs) @ 3600 RPM,,,,,Carburettor,electronic breakerless,external tank,wet,,,,,38.0°,127 mm (5.0 inches),,,,,"654 mm (25.7 inches) If adjustable, lowest setting.",,1194 mm (47.0 inches),2362 mm (93.0 inches),699 mm (27.5 inches),152 mm (6.0 inches),1651 mm (65.0 inches),,"black/red pinstripe, maroon/flame",Electric & kick,292 mm (11.5 inches),259.5 kg (572.0 pounds),0.2659 HP/kg,,"Only 1985, 1986 came with Evolution engine; FXWG was last with kick/electric 4-spd, and solid mount.",,,,,,,,,,,,,,"I read that the FXWG was Willie G´s first design after break away from AMF, first ´Factory Chopper´ with forward controls, 35 degree neck rake, 3 degree triple tree rake, first high handlebars from factory. 1986 last year of production, 579 total.",,,
BMW K 100 LT,1986,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,215.0 km/h (133.6 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,273.0 kg (601.9 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 750 Twin,1986,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 7500 RPM,162.0 km/h (100.7 mph),10.3:1,84.9 x 66.2 mm (3.3 x 2.6 inches),4,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-19 ,150/90-15 ,Dual disc,Expanding brake,244.0 kg (537.9 pounds),13.50 litres (3.57 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 1000 SP II,1986,Touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",948.0 ccm (57.85 cubic inches),"V2, four-stroke",67.0 HP (48.9  kW)) @ 6700 RPM,200.0 km/h (124.3 mph),9.2:1,88.0 x 78.0 mm (3.5 x 3.1 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),110/90-16 ,120/90-18 ,Dual disc,Single disc,246.0 kg (542.3 pounds),23.00 litres (6.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Evolution (reduced effect),1986,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 4800 RPM,129.0 km/h (80.2 mph),9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),MJ 90-19 ,MT 90-16 ,Single disc,Single disc,222.0 kg (489.4 pounds),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 600 RM,1986,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",591.0 ccm (36.06 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6500 RPM,142.0 km/h (88.2 mph),8.8:1,97.0 x 80.0 mm (3.8 x 3.1 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,5.10-17 ,Single disc,Expanding brake,169.0 kg (372.6 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S,1986,Touring," 2.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",72.0 HP (52.6  kW)) @ 10000 RPM,198.0 km/h (123.0 mph),10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),2,Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Chain   (final drive),90/90-18 ,110/90-18 ,Dual disc,Single disc,212.0 kg (467.4 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 500 C (reduced effect),1986,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",491.0 ccm (29.96 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 6000 RPM,137.0 km/h (85.1 mph),10.5:1,71.0 x 62.0 mm (2.8 x 2.4 inches),3,Overhead Cams (OHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),3.50-18 ,130/90-16 ,Single disc,Expanding brake,201.0 kg (443.1 pounds),11.50 litres (3.04 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT 250,1986,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,112.0 km/h (69.6 mph),9.2:1,75.0 x 56.5 mm (3.0 x 2.2 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.60-17 ,Expanding brake,Expanding brake,125.0 kg (275.6 pounds),8.00 litres (2.11 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli 654 Sport,1986,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",604.0 ccm (36.86 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 8700 RPM,165.0 km/h (102.5 mph),9.3:1,60.0 x 53.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.25-18 ,3.50-18 ,Dual disc,Single disc,203.0 kg (447.5 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 125 T 2,1986,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 11500 RPM,128.0 km/h (79.5 mph),9.4:1,44.0 x 41.0 mm (1.7 x 1.6 inches),2,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-18 ,3.25-18 ,Single disc,Expanding brake,126.0 kg (277.8 pounds),10.00 litres (2.64 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 305 Belt Drive (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,306.0 ccm (18.67 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 7500 RPM,125.0 km/h (77.7 mph),9.7:1,61.0 x 52.4 mm (2.4 x 2.1 inches),2,Overhead Cams (OHC),Air,6-speed,Belt   (final drive),90/90-18 ,110/80-18 ,Dual disc,Expanding brake,164.0 kg (361.6 pounds),16.50 litres (4.36 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puch GS 250 HF,1986,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 9000 RPM,110.0 km/h (68.4 mph),13.0:1,72.0 x 61.0 mm (2.8 x 2.4 inches),,Rotary valves,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,107.0 kg (235.9 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 Enduro Sport,1986,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",6.8 HP (5.0  kW)) @ 6500 RPM,83.0 km/h (51.6 mph),14.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),,Membrane,Liquid,6-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Expanding brake,Expanding brake,109.0 kg (240.3 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 75 (reduced effect),1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,744.0 ccm (45.40 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6400 RPM,175.0 km/h (108.7 mph),10.2:1,80.0 x 74.0 mm (3.1 x 2.9 inches),4,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),100/90-16 ,120/80-18 ,Dual disc,Single disc,200.0 kg (440.9 pounds),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha SDR 200,1986,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, two-stroke",33.0 HP (24.1  kW)) @ 9000 RPM,169.0 km/h (105.0 mph),,,,Port control,Liquid,5-speed,Chain   (final drive),,,,,,,,,,,10000,Carburettor,cdi,wet sump,wet plate,,,single,trelis,,,,,,,,,,,,,,,,Kick,,,,,,,,,,,,,,,,,,,,,,
BMW K 100 RS,1986,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",987.0 ccm (60.23 cubic inches),"In-line four, four-stroke",90.0 HP (65.7  kW)) @ 8000 RPM,222.0 km/h (137.9 mph),10.2:1,67.0 x 70.0 mm (2.6 x 2.8 inches),2,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),100/90-18 ,130/90-17 ,Dual disc,Single disc,260.0 kg (573.2 pounds),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 GS Enduro Sport,1986,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",247.0 ccm (15.07 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,110.0 km/h (68.4 mph),15.0:1,67.5 x 69.0 mm (2.7 x 2.7 inches),,Membrane,Liquid,5-speed,Chain   (final drive),3.00-21 ,4.50-18 ,Single disc,Expanding brake,117.0 kg (257.9 pounds),9.50 litres (2.51 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM XC 600 Enduro Sport,1986,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",562.0 ccm (34.29 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,130.0 km/h (80.8 mph),9.6:1,94.0 x 81.0 mm (3.7 x 3.2 inches),4,Overhead Cams (OHC),Air,5-speed,Chain   (final drive),3.00-21 ,4.00-18 ,Single disc,Expanding brake,140.0 kg (308.6 pounds),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZX 750 Fazer,1986,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",99.0 HP (72.3  kW)),240.0 km/h (149.1 mph),,,5,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,,,,,,,,,3.20 seconds,11.29 seconds,,11000,Carburettor,CDI,wet sump,wet plate,,,dual stainless steel pipes,CrMo steel,,,41 mm,,dual  preload adjustable,,,,,,,,,,red,Electric,,217.7 kg (480.0 pounds),0.4547 HP/kg,,chrome pipes and wheels are the only variation from the 87 (black),,,,,,,,,,,,,,black looks better  note 240km/hr top speed is with a small windshield   220 without,,,
Ducati 1000 SS Hailwood-Replica,1986,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",973.0 ccm (59.37 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 6700 RPM,220.0 km/h (136.7 mph),9.3:1,88.0 x 80.0 mm (3.5 x 3.1 inches),2,Desmodromic valve control,Air,5-speed,Chain   (final drive),100/90-18 ,130/80-18 ,Dual disc,Single disc,230.0 kg (507.1 pounds),24.00 litres (6.34 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 35 II,1986,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",346.0 ccm (21.11 cubic inches),"V2, four-stroke",27.0 HP (19.7  kW)) @ 7900 RPM,142.0 km/h (88.2 mph),10.5:1,66.0 x 50.6 mm (2.6 x 2.0 inches),2,Overhead Valves (OHV),Air,5-speed,Shaft drive (cardan)   (final drive),90/90-18 ,100/90-18 ,Dual disc,Single disc,175.0 kg (385.8 pounds),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet De Luxe,1986,Unspecified category,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5620 RPM,110.0 km/h (68.4 mph),6.5:1,70.0 x 90.0 mm (2.8 x 3.5 inches),2,Overhead Valves (OHV),Air,4-speed,Chain   (final drive),3.25-19 ,3.25-19 ,Expanding brake,Expanding brake,170.0 kg (374.8 pounds),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha RD 350 F (reduced effect),1986,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",347.0 ccm (21.17 cubic inches),"Twin, two-stroke",50.0 HP (36.5  kW)) @ 9200 RPM,184.0 km/h (114.3 mph),6.0:1,64.0 x 54.0 mm (2.5 x 2.1 inches),,Membrane & power valve,Liquid,6-speed,Chain   (final drive),190/90-18 ,110/80-18 ,Dual disc,Single disc,170.0 kg (374.8 pounds),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
