Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Valves per cylinder,Cooling system,Gearbox,Transmission type,Front brakes,Dry weight,Power/weight ratio,Seat height,Starter,Rear brakes,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Fuel consumption,Greenhouse gases,Front suspension,Rear suspension,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Frame type,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Front wheel travel,Reserve fuel capacity,Comments,Exhaust system,Rear wheel travel,Chain links,Sprockets,Lubrication system,Clutch,Overall height,Overall width,Max RPM,Rake (fork angle),Trail,Engine details,Modifications compared to previous model,Alternate seat height,Electrical,Battery,Oil filter,Belt teeth,Belt width,Pulley teeth,Light
Honda GL 1500 Gold Wing Aspencade,1997,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1520.0 ccm (92.75 cubic inches),"Six cylinder boxer, four-stroke",100.0 HP (73.0  kW)),153.0 Nm (15.6 kgf-m or 112.9 ft.lbs),190.0 km/h (118.1 mph),2,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,372.0 kg (820.1 pounds),0.2688 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Grand Canyon 900 I.E.,1997,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 8000 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 5500 RPM,200.0 km/h (124.3 mph),2,Air,6-speed,Chain   (final drive),Dual disc,193.0 kg (425.5 pounds),0.3782 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GN 125,1997,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 8500 RPM,,,Air,5-speed,Chain   (final drive),Single disc,101.0 kg (222.7 pounds),0.1188 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1100 RS,1997,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1092.0 ccm (66.63 cubic inches),"In-line four, four-stroke",101.0 HP (73.7  kW)) @ 7500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5500 RPM,210.0 km/h (130.5 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Dual disc,256.0 kg (564.4 pounds),0.3945 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Moto 6.5,1997,Allround," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.0 ccm (39.60 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 4500 RPM,160.0 km/h (99.4 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,150.0 kg (330.7 pounds),0.3200 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XRV 750 Africa Twin,1997,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",742.0 ccm (45.28 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)),63.0 Nm (6.4 kgf-m or 46.5 ft.lbs),180.0 km/h (111.8 mph),3,Liquid,5-speed,Chain   (final drive),Dual disc,206.0 kg (454.2 pounds),0.2913 HP/kg,"860 mm (33.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 600 F,1997,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",86.0 HP (62.8  kW)),58.0 Nm (5.9 kgf-m or 42.8 ft.lbs),215.0 km/h (133.6 mph),4,,6-speed,Chain   (final drive),Dual disc,202.0 kg (445.3 pounds),0.4257 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 900,1997,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",85.0 HP (62.0  kW)) @ 8000 RPM,85.0 Nm (8.7 kgf-m or 62.7 ft.lbs) @ 6000 RPM,200.0 km/h (124.3 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,209.0 kg (460.8 pounds),0.4067 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 Bullet,1997,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5220 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 3000 RPM,,,Air,4-speed,Chain   (final drive),Expanding brake,168.0 kg (370.4 pounds),0.1310 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 Two Fifty,1997,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",239.0 ccm (14.58 cubic inches),"Twin, four-stroke",17.0 HP (12.4  kW)) @ 6500 RPM,17.0 Nm (1.7 kgf-m or 12.5 ft.lbs),,,Air,5-speed,,Single disc,135.0 kg (297.6 pounds),0.1259 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha GTS 1000 ABS,1997,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1003.0 ccm (61.20 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 6500 RPM,,,,5-speed,,Single disc,251.0 kg (553.4 pounds),0.3984 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650,1997,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs),165.0 km/h (102.5 mph),4,Liquid,6-speed,Chain   (final drive),Single disc,173.0 kg (381.4 pounds),0.2775 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZ 180,1997,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,176.0 ccm (10.74 cubic inches),"Single cylinder, two-stroke",13.0 HP (9.5  kW)) @ 5500 RPM,,110.0 km/h (68.4 mph),,Air,4-speed,Chain   (final drive),Single disc,128.0 kg (282.2 pounds),0.1016 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GTR 1000,1997,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 9000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 6500 RPM,,,,6-speed,,Dual disc,258.0 kg (568.8 pounds),0.3798 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 125 Virago,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",10.0 HP (7.3  kW)) @ 8000 RPM,,,,Air,5-speed,Chain   (final drive),Single disc,139.0 kg (306.4 pounds),0.0719 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 GS,1997,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",80.0 HP (58.4  kW)) @ 6750 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5250 RPM,200.0 km/h (124.3 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),Single disc,218.0 kg (480.6 pounds),0.3670 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,
Harley-Davidson 883 Sportster Standard,1997,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 6000 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 2500 RPM,150.0 km/h (93.2 mph),2,Air,5-speed,Belt   (final drive),Single disc,222.0 kg (489.4 pounds),0.2162 HP/kg,"711 mm (28.0 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 250,1997,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, two-stroke",56.0 HP (40.9  kW)),46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 9800 RPM,200.0 km/h (124.3 mph),,Liquid,6-speed,Chain   (final drive),Dual disc,141.0 kg (310.9 pounds),0.3972 HP/kg,"690 mm (27.2 inches) If adjustable, lowest setting.",Kick,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italjet Formula 125,1997,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, two-stroke",15.0 HP (10.9  kW)),,115.0 km/h (71.5 mph),,,,,,102.0 kg (224.9 pounds),0.1471 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S,1997,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",60.0 HP (43.8  kW)) @ 9800 RPM,46.0 Nm (4.7 kgf-m or 33.9 ft.lbs) @ 8500 RPM,195.0 km/h (121.2 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,176.0 kg (388.0 pounds),0.3409 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 SE,1997,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),,,Air,5-speed,Chain   (final drive),Single disc,152.0 kg (335.1 pounds),0.2895 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"890 mm (35.0 inches) If adjustable, highest setting.",,,,,,,
Bimota Mantra,1997,Unspecified category," 3.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)) @ 7000 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 5700 RPM,200.0 km/h (124.3 mph),2,Air,6-speed,Chain   (final drive),Dual disc,172.0 kg (379.2 pounds),0.5000 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Classic 125,1997,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),,,,,6-speed,Chain   (final drive),Single disc,135.0 kg (297.6 pounds),0.1111 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 80 GS Basic,1997,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",798.0 ccm (48.69 cubic inches),"Two cylinder boxer, four-stroke",50.0 HP (36.5  kW)),61.0 Nm (6.2 kgf-m or 45.0 ft.lbs),,,,5-speed,,Single disc,210.0 kg (463.0 pounds),0.2381 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Production of this model is limited to pre-ordered specimen.,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RS,1997,Sport touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7250 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,210.0 km/h (130.5 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),,239.0 kg (526.9 pounds),0.3766 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,
Aprilia Pegaso 650,1997,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 6250 RPM,160.0 km/h (99.4 mph),5,Liquid,5-speed,Chain   (final drive),Single disc,161.0 kg (354.9 pounds),0.3106 HP/kg,"845 mm (33.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster 1200 Custom,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",58.0 HP (42.3  kW)) @ 5200 RPM,89.0 Nm (9.1 kgf-m or 65.6 ft.lbs) @ 3500 RPM,160.0 km/h (99.4 mph),2,Air,5-speed,Belt   (final drive),Single disc,222.0 kg (489.4 pounds),0.2613 HP/kg,"688 mm (27.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 400 LC4 EGS,1997,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",41.0 HP (29.9  kW)) @ 8500 RPM,,155.0 km/h (96.3 mph),4,Liquid,5-speed,Chain   (final drive),Single disc,137.0 kg (302.0 pounds),0.2993 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",Kick,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motolevo 125,1997,Naked bike," 2.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 5800 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 5200 RPM,,,Air,4-speed,Chain   (final drive),Expanding brake,112.0 kg (246.9 pounds),0.0893 HP/kg,"850 mm (33.5 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Lightning 550,1997,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",535.0 ccm (32.65 cubic inches),"Single cylinder, four-stroke",26.0 HP (19.0  kW)) @ 5500 RPM,42.0 Nm (4.3 kgf-m or 31.0 ft.lbs) @ 3000 RPM,,,Air,4-speed,Chain   (final drive),Expanding brake,,,"760 mm (29.9 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDR 125,1997,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 7000 RPM,,,,,6-speed,Chain   (final drive),Single disc,122.0 kg (269.0 pounds),0.1230 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laverda 750 N,1997,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,747.0 ccm (45.58 cubic inches),"Twin, four-stroke",85.0 HP (62.0  kW)),,,4,Air,6-speed,Chain   (final drive),,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 600 GL Intruder,1997,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",598.0 ccm (36.49 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)),45.0 Nm (4.6 kgf-m or 33.2 ft.lbs),160.0 km/h (99.4 mph),4,Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,203.0 kg (447.5 pounds),0.2217 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Electra Glide Ultra Classic,1997,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",59.0 HP (43.1  kW)) @ 5000 RPM,102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3000 RPM,145.0 km/h (90.1 mph),2,Air,5-speed,Belt   (final drive),,347.0 kg (765.0 pounds),0.1700 HP/kg,"692 mm (27.2 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 1200,1997,Sport touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",147.0 HP (107.3  kW)) @ 9500 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 8000 RPM,270.0 km/h (167.8 mph),4,Liquid,6-speed,Chain   (final drive),Dual disc,225.0 kg (496.0 pounds),0.6533 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 750 Monster,1997,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 8500 RPM,71.0 Nm (7.2 kgf-m or 52.4 ft.lbs) @ 6500 RPM,185.0 km/h (115.0 mph),2,Air,5-speed,Chain   (final drive),Single disc,176.0 kg (388.0 pounds),0.3864 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WRE 125,1997,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",10.0 HP (7.3  kW)) @ 9500 RPM,,,,,6-speed,Chain   (final drive),Single disc,93.0 kg (205.0 pounds),0.1075 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Zephyr 550,1997,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",553.0 ccm (33.74 cubic inches),"In-line four, four-stroke",50.0 HP (36.5  kW)) @ 10000 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 3500 RPM,190.0 km/h (118.1 mph),2,,6-speed,Chain   (final drive),Dual disc,179.0 kg (394.6 pounds),0.2793 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimota SB6R,1997,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1074.0 ccm (65.54 cubic inches),"In-line four, four-stroke",156.0 HP (113.9  kW)) @ 10000 RPM,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 9000 RPM,280.0 km/h (174.0 mph),4,Liquid,5-speed,Chain   (final drive),Dual disc,190.0 kg (418.9 pounds),0.8211 HP/kg,"755 mm (29.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 ST,1997,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs),165.0 km/h (102.5 mph),4,Liquid,6-speed,Chain   (final drive),Single disc,173.0 kg (381.4 pounds),0.2775 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Super Duke 125,1997,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)),,,,,,,Single disc,97.0 kg (213.8 pounds),0.1031 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Trophy 1200,1997,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1180.0 ccm (72.00 cubic inches),"In-line four, four-stroke",108.0 HP (78.8  kW)),104.0 Nm (10.6 kgf-m or 76.7 ft.lbs),225.0 km/h (139.8 mph),4,Liquid,6-speed,Chain   (final drive),Double disc. Four-piston calipers. ,235.0 kg (518.1 pounds),0.4596 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,Single disc. Two-piston calipers. ,10.6:1,76.0 x 65.0 mm (3.0 x 2.6 inches),Carburettor. 36 mm Flat side CV carburetors,Double Overhead Cams/Twin Cam (DOHC),Digital  Inductive type ,,,"43mm Forks with triple rate springs adjustable for compression, rebound damping and spring preload",Monoshock with adjustable preload and rebound damping,120/70-ZR17 ,170/60-ZR17 ,255 mm (10.0 inches),,2152 mm (84.7 inches),,1490 mm (58.7 inches),25.00 litres (6.61 US gallons),,,3.50 litres (3.7 US quarts),"3,3 LITER 10W-40",DOT 4,3.00 litres (0.79 US gallons),"NGK, DPR8EA-9",1000  +/- 50  RPM,36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),43 mm (1.7 inches),,,,,,,,112,18/45 (front/rear),Wet sump,"Wet, multiple discs, cable operated",,,,27.0°,105 mm (4.1 inches),,,,,,,,,,
Yamaha XV 250 S Virago,1997,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,21.0 Nm (2.1 kgf-m or 15.5 ft.lbs) @ 6500 RPM,130.0 km/h (80.8 mph),2,,5-speed,Chain   (final drive),Single disc,139.0 kg (306.4 pounds),0.1223 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",,Expanding brake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RT,1997,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7250 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,200.0 km/h (124.3 mph),4,Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,256.0 kg (564.4 pounds),0.3516 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,Single disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,
