Model,Year,Category,Rating,Displacement,Engine type,Power,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Driveline,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Carrying capacity,Comments,Top speed,Clutch,Fuel consumption,Greenhouse gases,Instruments,Factory warranty,Engine details,Compression,Bore x stroke,Valves per cylinder,Ignition,Lubrication system,Exhaust system,Front wheel travel,Rear wheel travel,Dry weight,Torque,Power/weight ratio,Oil capacity,"Weight incl. oil, gas, etc",Rake (fork angle),Trail,Light,Reserve fuel capacity,Seat,Emission details,Modifications compared to previous model,Front percentage of weight,Max RPM,Alternate seat height,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Rear percentage of weight,Chain size,Chain links,Sprockets,Coolant,1/4 mile (0.4 km)
Boss Hoss BHC-9 LS3 Trike,2011,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,6200.0 ccm (378.32 cubic inches),"V8, four-stroke",445.0 HP (324.8  kW)) @ 5750 RPM,Injection. MPFI,Double Overhead Cams/Twin Cam (DOHC),Liquid,Automatic,Belt   (final drive),3-speed automatic transmission with reverse.,CrMo,"Inverted forks, 63 mm, adjustable preload,","Dual 13.0 inch coilover shocks, adjustable preload",130/90-16 ,275/60-R15 ,"Double disc. Dual 4-piston caliper, floating disc",320 mm (12.6 inches),"Single disc. 4-piston caliper, floating disc",,"737 mm (29.0 inches) If adjustable, lowest setting.",,2616 mm (103.0 inches),1524 mm (60.0 inches),,2070 mm (81.5 inches),32.17 litres (8.50 US gallons),,Electric,,,Three wheel bike. Two additional version with length 129´ and 132 available.,,,10.23 litres/100 km (9.8 km/l or 22.99 mpg),237.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"One year, unlimited mileage",,,,4,,,2.5 inch with dual mufflers,89 mm (3.5 inches),,"660.0 kg (1,455.0 pounds)",603.4 Nm (61.5 kgf-m or 445.1 ft.lbs) @ 4750 RPM,0.6743 HP/kg,,,33.0°,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha X-Max 125,2011,Scooter," 2.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",,Injection. Electronic Fuel Injection,Single Overhead Cams (SOHC),Liquid,Automatic,Belt   (final drive),,,Telescopic fork,Unit swing,120/70-15 ,140/70-14 ,Single disc,240 mm (9.4 inches),Single disc,,"775 mm (30.5 inches) If adjustable, lowest setting.",1337 mm (52.6 inches),2220 mm (87.4 inches),776 mm (30.6 inches),135 mm (5.3 inches),1545 mm (60.8 inches),11.80 litres (3.12 US gallons),"Blue, white, black, grey",Electric,,Underseat storage for two full-face helmets,,,,,,sports car inspired dashboard,,,11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),,TCI,Wet sump,,110 mm (4.3 inches),95 mm (3.7 inches),,,,,173.0 kg (381.4 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
CR&S VUN Road,2011,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",53.6 HP (39.2  kW)) @ 7000 RPM,"Injection. Integrated CR and S/Walbro/Dell’Orto ignition/injection system, 52 mm throttle housing, twin injectors, twin spark",Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),O-ring chain,Steel tubes and machined light alloy plates compound,Tele-hydraulic fork with 46mm diameter rods,"Oscillating swingarm, single shock absorber",120/70-ZR17 ,160/60-ZR17 ,Single disc. Four opposing pistons radial caliper with 4 pads ,220 mm (8.7 inches),Single disc. Floating caliper,,"780 mm (30.7 inches) If adjustable, lowest setting.",,1980 mm (78.0 inches),740 mm (29.1 inches),150 mm (5.9 inches),1368 mm (53.9 inches),12.50 litres (3.30 US gallons),,Electric,,,CR and S is an abbreviation of Cafe Racers  and  Superbikes. The VUN is available in a tuned-up version not certified for road use and a depowered version.,,Wet multiplate,,,"Speedo, revs counter, odometer, clock and water, oil pressure, side stand, neutral, indicators, full beam, reserve, excessive revs, battery, servicing lights",,Bombardier-Rotax / CR and S type 654,9.7:1,100.0 x 83.0 mm (3.9 x 3.3 inches),4,Walbro integrated,Dry sump,Stainless steel catalytic exhaust system,120 mm (4.7 inches),128 mm (5.0 inches),135.0 kg (297.6 pounds),58.9 Nm (6.0 kgf-m or 43.4 ft.lbs) @ 5000 RPM,0.3973 HP/kg,3.50 litres (3.7 US quarts),,,,,3.00 litres (0.79 US gallons),,Euro 3,,,,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,
Sym Jet BasiX 50,2011,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Air,,Belt   (final drive),Automatic CVT,,Telescopic Fork,Unit Swing Arm,120/70-12 ,130/70-12 ,Single disc,190 mm (7.5 inches),Expanding brake (drum brake),,,1125 mm (44.3 inches),1850 mm (72.8 inches),677 mm (26.7 inches),,1275 mm (50.2 inches),6.30 litres (1.66 US gallons),"Blue, red, silver black",Electric & kick,,,Taiwanese made scooter.,,,,,,,,,39.0 x 41.4 mm (1.5 x 1.6 inches),,,,Euro 2,,,94.0 kg (207.2 pounds),,,,,,,12V35W/35W × 2 headlight.. Dual taillights.,,,Euro 2,,,,,,,,,,,,,,,,,,,,
Honda Interceptor,2011,Naked bike," 2.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",782.0 ccm (47.72 cubic inches),"V4, four-stroke",,"Injection. PGM-FI with automatic enricher circuit, 36mm throttle bodies, and 12-hole injectors",Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),#530 O-ring chain,,43mm HMAS cartridge fork with spring-preload adjustability,Pro Arm single-side swingarm with Pro-Link single HMAS gas-charged shock with seven-position spring-preload and rebound damping adjustability,120/70-ZR17 ,180/55-ZR17 ,Double disc,256 mm (10.1 inches),Single disc,,"805 mm (31.7 inches) If adjustable, lowest setting.",,,,,1458 mm (57.4 inches),21.95 litres (5.80 US gallons),Black,Electric,,,Model ID: VFR800,,,,,,"One Year. Transferable, unlimited-mileage limited warranty.;",,11.6:1,72.0 x 48.0 mm (2.8 x 1.9 inches),4,Computer-controlled digital with three-dimensional mapping and electronic advance,,,109 mm (4.3 inches),119 mm (4.7 inches),320.0 kg (705.5 pounds),,,,244.9 kg (540.0 pounds),25.3°,100 mm (3.9 inches),,,,Meets current California Air Resources Board (CARB) and EPA standards.,,,,,,,,,,,,,,,,,,,,
Kawasaki 1400 GTR,2011,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1352.0 ccm (82.50 cubic inches),"In-line four, four-stroke",,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),,"Monocoque, pressed-aluminium",43 mm inverted fork with adjustable rebound damping and spring preload,"Bottom-Link Uni-Trak with gas-charged shock, Tetra-Lever.",120/70-ZR17 ,190/50-ZR17 ,"Double disc. semi-floating 310 mm petal discs Dual radial-mount, opposed 4-piston, 4-pad. Optional ABS",,Single disc. 270 mm petal disc Opposed 2-piston. Optional ABS,,"815 mm (32.1 inches) If adjustable, lowest setting.",1345 mm (53.0 inches),2230 mm (87.8 inches),790 mm (31.1 inches),125 mm (4.9 inches),1520 mm (59.8 inches),22.00 litres (5.81 US gallons),"Green/black, gray/black",Electric,,,"ABS adds 4 kg to the weight. Maximum power with RAM Air is 117.6 kW (160 PS) at 8,800 rpm.",,"Wet mDouble disk, manual",,,,,,10.7:1,84.0 x 61.0 mm (3.3 x 2.4 inches),4,Digital,"Forced lubrication, wet sump",,113 mm (4.4 inches),136 mm (5.4 inches),300.0 kg (661.4 pounds),136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 6200 RPM,,,,26.1°,112 mm (4.4 inches),,,,,,,,,,,,,,,,,,,,,,,,
Ural Wolf 750 Solo,2011,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",38.9 HP (28.4  kW)) @ 5600 RPM,Carburettor. 2 x KEIHIN L 22 AA,Overhead Valves (OHV),Air,4-speed,Shaft drive (cardan)   (final drive),,,Telescopic fork,Double sided swinging arm with hydraulic spring shock absorbers - 2 x adjustable,2.15-18 ,3.15-16 ,Single disc. Bremo,,Single disc. Bremo,,"670 mm (26.4 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),2530 mm (99.6 inches),850 mm (33.5 inches),150 mm (5.9 inches),,21.00 litres (5.55 US gallons),Black,Electric & kick,14 VDC w/22 Amp 770 Watt Alternator,,Russian made bike.,130.0 km/h (80.8 mph),Dry double disc,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"2 years parts and labor, unlimited mileage",,,78.0 x 78.0 mm (3.1 x 3.1 inches),,,,,,,250.0 kg (551.2 pounds),52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 4000 RPM,0.1555 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI GTR 50,2011,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",4.4 HP (3.2  kW)) @ 6550 RPM,Carburettor,,Liquid,Automatic,Belt   (final drive),,,Hydraulic telescope fork,"Hydraulic gas pressure suspension, adjustable",110/70-17 ,130/60-17 ,Single disc,210 mm (8.3 inches),Expanding brake (drum brake),Black 5-spoke alloy wheels,,1280 mm (50.4 inches),1960 mm (77.2 inches),690 mm (27.2 inches),,,9.00 litres (2.38 US gallons),"Red, yellow",Electric & kick,,,"2 back mirrors,  central ignition- steering lock, lockable fuel tank cap, multifunctional digital dashboard with tachometer, side stand, polyelipsodal halogen headlight, high- and low beam, underseat box which can be opened through ignition key.",,,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1 year parts  and  labour (Canada),,,40.0 x 39.2 mm (1.6 x 1.5 inches),,,,Stainless steel,,,,5.1 Nm (0.5 kgf-m or 3.8 ft.lbs) @ 5000 RPM,,,,,,,,,Euro 2,,,,,,,,,,,,,,,,,,,,
Kreidler RMC-H Galactica 50 DD,2011,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 6300 RPM,Carburettor,,Air,Automatic,Shaft drive (cardan)   (final drive),,,Telescopic fork,Hydraulic shock absorbers,130/60-13 ,130/60-13 ,Single disc,180 mm (7.1 inches),Single disc,Painted rims,"770 mm (30.3 inches) If adjustable, lowest setting.",1135 mm (44.7 inches),1850 mm (72.8 inches),,,1350 mm (53.1 inches),5.50 litres (1.45 US gallons),"Red, White",Electric & kick,,Helmet box,German brand. Also available in throttled (25km/h in Germany/Netherlands and 30 km/h in Denmark) moped version.,,,,,,,,,,,,,,,,95.0 kg (209.4 pounds),,0.0421 HP/kg,,,,,Dual front lights,,,Euro 2,,,,,,,,,,,,,,,,,,,,
Yamaha CP250 Maxam,2011,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Automatic,Belt   (final drive),,"aluminium, Monocoque frame",Twin shock,Swing arm,120/70-13 ,130/70-13 ,Double disc,,Single disc,,,,2990 mm (117.7 inches),,,,,,Electric,,,,,,3.92 litres/100 km (25.5 km/l or 60.01 mpg),90.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,66.0 x 73.0 mm (2.6 x 2.9 inches),4,TCI,Wet sump,,,,201.0 kg (443.1 pounds),,,,,,,,,Tandem cruiser two seats,,,,,,,,,,,,,,,,,,,,,
Adiva AR 125,2011,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",13.0 HP (9.5  kW)) @ 8500 RPM,Carburettor,Single Overhead Cams (SOHC),Liquid,Automatic,Belt   (final drive),CVT with automatic clutch,high-resistance steel pipe and traily mixed frame,Telescopic fork,Twin shock,120/70-14 ,140/70-14 ,Single disc,240 mm (9.4 inches),Single disc,,,1759 mm (69.3 inches),2180 mm (85.8 inches),720 mm (28.3 inches),,1560 mm (61.4 inches),12.00 litres (3.17 US gallons),"Graphite, Silver, Black",Electric,,,Scooter with roof.,,Centrifugal,,,,,,,48.8 x 57.0 mm (1.9 x 2.2 inches),,,,,,,171.0 kg (377.0 pounds),10.9 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 7500 RPM,0.0761 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Tuono 1000 R,2011,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",136.8 HP (99.8  kW)) @ 9500 RPM,Injection. Integrated electronic engine management system. Indirect multi-point electronic injection. 57 mm diameter throttle bodies.,,Oil & air,6-speed,Chain   (final drive),Primary drive: Spur gears. Transmission ratio: 60/31 (1.935:1). Final drive: Chain Transmission ratio: 40/16 (2.5:1). ,Box section sloping twin-spar frame in aluminium alloy. ,"Showa 43 mm upside-down fork with adjustment for spring preload, compression and rebound damping.",Aluminium alloy double banana swingarm. APS (Aprilia Progressive System) rising rate linkages.  Sachs hydraulic monoshock with adjustment for spring preload and rebound damping.,120/70-17. ,190/50-17 ,Double disc,220 mm (8.7 inches),Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2025 mm (79.7 inches),830 mm (32.7 inches),,1410 mm (55.5 inches),18.00 litres (4.76 US gallons),"Diablo black, Ice white",Electric,,,,,Multiple disc in oil bath with patented PPC power-assisted hydraulic control.  Metal braid clutch line.  Radial master cylinder with 15 mm piston.,,,,,V60 Magnesium Evolution. Longitudinal 60° V twin,11.8:1,97.0 x 67.5 mm (3.8 x 2.7 inches),4,"Digital electronic ignition, integrated with the injection control system. One spark plug per cylinder.",Dry sump with separate oil reservoir.  Double trochoid pump with oil cooler.  Steel oil reservoir,Two silencers with three way catalytic converter and lambda probe oxygen sensor (Euro 3).,,,185.0 kg (407.9 pounds),107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 8500 RPM,0.7394 HP/kg,,,25.0°,104 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,
Neander Turbo-Diesel,2011,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1340.0 ccm (81.77 cubic inches),Diesel,112.0 HP (81.8  kW)) @ 4200 RPM,Turbo. Common rail injection. Turbo charger with intercooler.,Double Overhead Cams/Twin Cam (DOHC),Oil & air,6-speed,Belt   (final drive),,Tubular frame with the engine as supporting element,"Twin diameter slide tube, 41 mm","White Power shocks, adjustable",150/80-17 ,260/40-18 ,"Single disc. Bremo, 6-piston",,"Single disc. Bremo, 6-piston",,"650 mm (25.6 inches) If adjustable, lowest setting.",,2480 mm (97.6 inches),,,1920 mm (75.6 inches),14.00 litres (3.70 US gallons),"Black, white",Electric,,,Counter rotating crankshafts cancel out vibrations. Particle filter. Neander Motor is a German company.,220.0 km/h (136.7 mph),Wet,,,,,"Twin cylinder, 4 stroke, diesel",,108.0 x 76.0 mm (4.3 x 3.0 inches),4,,Dry sump with three oil-duct system,,120 mm (4.7 inches),100 mm (3.9 inches),295.0 kg (650.4 pounds),214.0 Nm (21.8 kgf-m or 157.8 ft.lbs) @ 2600 RPM,0.3797 HP/kg,,,34.0°,,,,,,,,,,4.50 seconds,,,,,,,,,,,,,,,
Kawasaki Vulcan 1700 Vaquero,2011,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1700.0 ccm (103.73 cubic inches),"V2, four-stroke",,"Injection. Digital fuel injection, dual 42mm throttle bodies",Single Overhead Cams (SOHC),Liquid,6-speed,Belt   (final drive),,"Steel, double-cradle with box-section single-tube backbone",45mm hydraulic fork / 5.5 in.,"Swingarm with twin air-assisted shocks, with 4-way rebound damping / 3.1 in.",130/90-16 ,170/70-16 ,Double disc,,Single disc,,"729 mm (28.7 inches) If adjustable, lowest setting.",1290 mm (50.8 inches),2510 mm (98.8 inches),970 mm (38.2 inches),,1666 mm (65.6 inches),20.06 litres (5.30 US gallons),"Ebony,  Candy Fire Red",Electric,,,,,,,,,36 months,52° V-twin,9.5:1,102.0 x 104.0 mm (4.0 x 4.1 inches),,TCBI with Digital Advance,,,,,,146.5 Nm (14.9 kgf-m or 108.0 ft.lbs) @ 2750 RPM,,,379.1 kg (835.7 pounds),30.0°,178 mm (7.0 inches),,,,,,,,,,,,,,,,,,,,,,,,
Honda VT750S,2011,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",43.2 HP (31.5  kW)) @ 5500 RPM,Injection. PGM-FI electronic fuel injection with automatic choke ,Single Overhead Cams (SOHC),Liquid,5-speed,Chain   (final drive),O-ring sealed chain ,,"41mm telescopic fork, 118mm axle travel ","Dual conventional dampers with 5-step adjustable spring preload, 90mm axle travel ",100/90-M19 ,150/80-B16 ,Single disc,180 mm (7.1 inches),Expanding brake (drum brake),Steel rim/wire spoke,"750 mm (29.5 inches) If adjustable, lowest setting.",1135 mm (44.7 inches),2285 mm (90.0 inches),870 mm (34.3 inches),155 mm (6.1 inches),1560 mm (61.4 inches),10.70 litres (2.83 US gallons),,Electric,,,,,,,,,,,9.6:1,79.0 x 76.0 mm (3.1 x 3.0 inches),,,,,,,232.0 kg (511.5 pounds),62.0 Nm (6.3 kgf-m or 45.7 ft.lbs) @ 3250 RPM,0.1861 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym X-Wolf ,2011,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Carburettor,Overhead Valves (OHV),Air,,Chain   (final drive),,Steel,Telescopic Fork,Unit Swing Arm,2.75-18 ,110/90-16 ,Single disc,,Expanding brake (drum brake),,,1115 mm (43.9 inches),2030 mm (79.9 inches),,150 mm (5.9 inches),1260 mm (49.6 inches),12.50 litres (3.30 US gallons),Dark blue,Electric & kick,,,SYM bikes are made in Taiwan.,,,,,,,Ceramic cylinder,,,,,,,,,126.0 kg (277.8 pounds),,,,138.0 kg (304.2 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R125LW E,2011,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Carburettor. Mikuni® VM20,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),,,Telescopic fork,Single shock,70/100-19 ,90/90-16 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,"805 mm (31.7 inches) If adjustable, lowest setting.",,1885 mm (74.2 inches),,295 mm (11.6 inches),1270 mm (50.0 inches),6.05 litres (1.60 US gallons),Blue/white,Electric,,,,,,,,,,,10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),2,CDI,,,180 mm (7.1 inches),167 mm (6.6 inches),81.0 kg (178.6 pounds),,,,89.8 kg (198.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda DRD Racing 50 SM,2011,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,Carburettor. 17.5 mm,Single Overhead Cams (SOHC),Liquid,6-speed,Chain   (final drive),Primary transmission: Gear assembly,,40 mm upside down fork.,Monoshock with progressive link system.,100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,,"875 mm (34.4 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),2050 mm (80.7 inches),805 mm (31.7 inches),,1400 mm (55.1 inches),7.00 litres (1.85 US gallons),"Blue/white, red/white",Kick,Battery 12V 4Ah,,Bike made in Spain. DRD is an abbreviation of Derbi Racing Development.,,Multi-plate,,,,,,11.0:1,39.9 x 40.0 mm (1.6 x 1.6 inches),,CDI,Oil  pump,,195 mm (7.7 inches),182 mm (7.2 inches),96.0 kg (211.6 pounds),,,1.00 litres (1.06 US quarts),,,,,1.30 litres (0.34 US gallons),,,,,,,,,,,,,,,,,,,,,,
Scorpa SR 125-2T,2011,Trial," 2.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dell´Orto PHBL 26BL,Single Overhead Cams (SOHC),Liquid,5-speed,Chain   (final drive),,"Perimetric, 25CD4S Steel","Marzocchi 40 mm hydraulic fork, adjustable compression  and  rebond damping",SACHS adjustable hydraulic monoshock,1.60-21 ,2.15-18 ,Single disc. Floating Wave disk with 4-piston calipers,150 mm (5.9 inches),Single disc. Floating Wave disk with 2-piston calipers,Black rims,"699 mm (27.5 inches) If adjustable, lowest setting.",,2050 mm (80.7 inches),,295 mm (11.6 inches),1345 mm (53.0 inches),2.60 litres (0.69 US gallons),Orange/black/white,Kick,,,French brand,,Wet multiplate,,,,,,,56.0 x 50.7 mm (2.2 x 2.0 inches),,CDI,2% mixture,,170 mm (6.7 inches),165 mm (6.5 inches),69.0 kg (152.1 pounds),,,1.00 litres (1.06 US quarts),72.0 kg (158.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Scarabeo 500,2011,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",,Injection. Electronic fuel injection with electric fuel pump,Single Overhead Cams (SOHC),Liquid,Automatic,Belt   (final drive),,High strength steel tube,Hydraulic fork,Double acting hydraulic shock absorber with preload adjustment,110/70-16 ,150/70-14 ,Double disc,240 mm (9.4 inches),Single disc,,"785 mm (30.9 inches) If adjustable, lowest setting.",,2270 mm (89.4 inches),770 mm (30.3 inches),,1540 mm (60.6 inches),13.50 litres (3.57 US gallons),"Black, blue, silver",Electric,,,,140.0 km/h (87.0 mph),Automatic dry centifuge with damper buffers,,,,,Piaggio Master engine,10.4:1,94.0 x 71.0 mm (3.7 x 2.8 inches),4,Electronic inductive discharge with variable advance,Separate oil petrol pump mixer,,,,169.0 kg (372.6 pounds),44.0 Nm (4.5 kgf-m or 32.5 ft.lbs) @ 5250 RPM,,,,,,,3.00 litres (0.79 US gallons),,Euro 3,,,,,,,,,,,,,,,,,,,,
Dafier TZX 125,2011,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 9500 RPM,Carburettor,,Air,,Chain   (final drive),,Steel,Telescopic fork,Dual shocks,2.75-18 ,90/90-18 ,Single disc,,Expanding brake (drum brake),Black rims,,1085 mm (42.7 inches),2050 mm (80.7 inches),720 mm (28.3 inches),150 mm (5.9 inches),1330 mm (52.4 inches),17.50 litres (4.62 US gallons),,Electric & kick,12 Volt,,Made in China.,108.0 km/h (67.1 mph),,1.90 litres/100 km (52.6 km/l or 123.80 mpg),44.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Analogue,,,9.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),,CDI,,,,,113.0 kg (249.1 pounds),,0.1068 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 450F,2011,Cross / motocross," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,Carburettor. 43mm Keihin throttle body,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),,"Backbone frame, high-tensile steel","Uni-Trak  linkage system and Kayaba shock with 50mm piston, 22-position low-speed and stepless high-speed compression damping, 33-position rebound dampening and fully adjustable spring preload / 12.4 in.","Uni-Trak  linkage system and Kayaba shock with 50mm piston, 22-position low-speed and stepless high-speed compression dampening, 33-position rebound dampening and fully adjustable spring preload / 12.4 in.",90/100-21 ,120/80-19 ,Single disc,240 mm (9.4 inches),Single disc,,"960 mm (37.8 inches) If adjustable, lowest setting.",1280 mm (50.4 inches),2184 mm (86.0 inches),820 mm (32.3 inches),335 mm (13.2 inches),1481 mm (58.3 inches),7.19 litres (1.90 US gallons),Lime Green,,,,,,,,,,,,12.5:1,96.0 x 62.1 mm (3.8 x 2.4 inches),4,Digital DC-CDI,,,,,,,,,113.4 kg (249.9 pounds),26.7°,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Faze,2011,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",22.8 HP (16.6  kW)) @ 7500 RPM,Injection,Overhead Cams (OHC),Liquid,Automatic,Belt   (final drive),V-matic,Backbone,Telescopic fork,Swing Type Unit,110/90-13M ,140/70-13M ,Single disc,,Single disc,,"755 mm (29.7 inches) If adjustable, lowest setting.",,2180 mm (85.8 inches),,130 mm (5.1 inches),1540 mm (60.6 inches),12.00 litres (3.17 US gallons),"Gray/white, blue/gray",Electric,,,Sold in Japan,,,2.44 litres/100 km (41.0 km/l or 96.40 mpg),56.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,MF11E engine,10.2:1,68.0 x 68.5 mm (2.7 x 2.7 inches),,,,,,,180.0 kg (396.8 pounds),23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 6000 RPM,0.1267 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Street Triple,2011,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",675.0 ccm (41.19 cubic inches),"In-line three, four-stroke",105.0 HP (76.6  kW)) @ 11700 RPM,Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),O ring chain. Primary drive: Gear.,Aluminum beam twin-spar. ,Kayaba 41mm upside down forks. 120mm travel,Kayaba monoshock with adjustable preload. 126mm rear wheel travel,120/70-ZR17 ,180/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",1059 mm (41.7 inches),1999 mm (78.7 inches),734 mm (28.9 inches),,1410 mm (55.5 inches),17.41 litres (4.60 US gallons),Phantom Black. Diablo Red. Crystal White,Electric,,,,,Wet. multi-plate,,,,,,12.7:1,74.0 x 52.3 mm (2.9 x 2.1 inches),4,Digital-inductive type via engine management system,,,,,,67.8 Nm (6.9 kgf-m or 50.0 ft.lbs) @ 9200 RPM,,,188.7 kg (416.0 pounds),24.3°,,,,,,,,,,,,,,,,,,,,,,,,,
