Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Color options,Starter,Clutch,Dry weight,Comments,Fuel consumption,Greenhouse gases,Power/weight ratio,Lubrication system,Exhaust system,Top speed,Valves per cylinder,Front wheel travel,Rear wheel travel,Rake (fork angle),Trail,0-100 km/h (0-62 mph),Alternate seat height,Oil capacity,Engine details,Driveline,Wheels,Seat,Modifications compared to previous model,Max RPM,Front percentage of weight,Electrical,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Rear percentage of weight,Emission details,Factory warranty,Tire pressure front,Tire pressure rear,Fork tube size
Peugeot Vogue VS2,2010,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.1 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,,Air,Automatic,,,,,2.25-16 ,2.25-16 ,Expanding brake (drum brake),90 mm (3.5 inches),Expanding brake (drum brake),,,,1690 mm (66.5 inches),620 mm (24.4 inches),,1120 mm (44.1 inches),5.00 litres (1.32 US gallons),,"Aluminum, black, blue/aluminum",,,41.0 kg (90.4 pounds),Available in a S2 version at Eur 799.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot XPS Street Evo 3,2010,Allround," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,,39.8 x 39.9 mm (1.6 x 1.6 inches),,,,Liquid,6-speed,,,"Paioli fork, 38 mm",Paioli single shock,100/80-17 ,130/70-17 ,Single disc,220 mm (8.7 inches),Single disc,109.0 kg (240.3 pounds),"854 mm (33.6 inches) If adjustable, lowest setting.",,1980 mm (78.0 inches),820 mm (32.3 inches),,1380 mm (54.3 inches),7.80 litres (2.06 US gallons),,Black,,,101.0 kg (222.7 pounds),,,,,,,,,210 mm (8.3 inches),180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL125V Varadero ,2010,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",14.2 HP (10.4  kW)) @ 11000 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 8500 RPM,11.8:1,42.0 x 45.0 mm (1.7 x 1.8 inches),Injection. PGM-FI electronic fuel injection ,Single Overhead Cams (SOHC),Fully transistorised with electronic advance ,Liquid,5-speed,Chain   (final drive),,"35mm telescopic fork, 132mm axle travel ","Monoshock swingarm with adjustable spring preload, 150mm axle travel ",100/90-M18 ,130/80-M17 ,Single disc,220 mm (8.7 inches),Single disc,,"800 mm (31.5 inches) If adjustable, lowest setting.",1250 mm (49.2 inches),2150 mm (84.6 inches),833 mm (32.8 inches),190 mm (7.5 inches),1450 mm (57.1 inches),16.80 litres (4.44 US gallons),,"Black, silver",Electric,,152.0 kg (335.1 pounds),,,,0.0935 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WT Motors Bomber 151,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.6 ccm (9.13 cubic inches),"Single cylinder, four-stroke",10.7 HP (7.8  kW)),9.0 Nm (0.9 kgf-m or 6.6 ft.lbs),9.2:1,59.0 x 57.8 mm (2.3 x 2.3 inches),Carburettor. PO24J,,,,Automatic,,,,,100/80-16 ,120/80-16 ,Single disc,,Single disc,,"710 mm (28.0 inches) If adjustable, lowest setting.",,1990 mm (78.3 inches),,,1330 mm (52.4 inches),9.68 litres (2.56 US gallons),,Black,Electric,,125.0 kg (275.6 pounds),Italian brand.,,,0.0858 HP/kg,,,,,,,,,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Jordan 125 Legacy,2010,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,,,,,Air,Automatic,Belt   (final drive),,,,130/60-12 ,130/60-12 ,Single disc. ABS,,Single disc,114.0 kg (251.3 pounds),,,,,,,4.50 litres (1.19 US gallons),,Blue,,,109.0 kg (240.3 pounds),South-African brand.,2.90 litres/100 km (34.5 km/l or 81.11 mpg),67.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voxan VX-10,2010,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 6500 RPM,10.5:1,98.0 x 66.0 mm (3.9 x 2.6 inches),"Injection. Magnetti Marelli, 54 mm",,,Liquid,6-speed,Chain   (final drive),Double tubular,"Inverted fork, 43 mm",,120/70-ZR17 ,180/55-ZR17 ,"Double disc. Bremo, 4-piston calipers",245 mm (9.6 inches),"Single disc. Bremo, 2-piston calipers",245.0 kg (540.1 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",,2100 mm (82.7 inches),790 mm (31.1 inches),160 mm (6.3 inches),1475 mm (58.1 inches),18.60 litres (4.91 US gallons),4.00 litres (1.06 US gallons),,Electric,Multidisk in oil bath,221.0 kg (487.2 pounds),French brand.,,,0.4525 HP/kg,Dry sump,,,4,120 mm (4.7 inches),120 mm (4.7 inches),25.0°,,,,3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
KTM 990 Supermoto,2010,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"Twin, four-stroke",114.0 HP (83.2  kW)) @ 9000 RPM,97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 7000 RPM,11.5:1,101.0 x 62.4 mm (4.0 x 2.5 inches),"Injection. Keihin EFI, throttle valve Ø 48 mm",Double Overhead Cams/Twin Cam (DOHC),Keihin,Liquid,6-speed,Chain   (final drive),"Chromium-Molybdenum trellis frame, powder-coated",WP USD fork 48 mm ,WP mono shock,120/70-17 ,180/55-17 ,"Double disc. 2 x Brembo four piston fixed-caliper, radially bolted",240 mm (9.4 inches),"Single disc. Brembo 2-piston floating caliper, brake disc",,"875 mm (34.4 inches) If adjustable, lowest setting.",,,,195 mm (7.7 inches),1510 mm (59.4 inches),19.00 litres (5.02 US gallons),,Black/orange,Electric,"Wet mDouble disk clutch, operated hydraulically",191.0 kg (421.1 pounds),,,,0.5968 HP/kg,Pressure lubrication with 2 pumps,Twin stainless-steel silencer with regulated catalytic converters,,4,275 mm (10.8 inches),265 mm (10.4 inches),24.9°,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler Insignio 250 Smokey,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",13.4 HP (9.8  kW)) @ 5750 RPM,,,,Carburettor,,,Liquid,Automatic,Belt   (final drive),,,,130/60-13 ,130/60-13 ,Single disc,,Single disc,,"770 mm (30.3 inches) If adjustable, lowest setting.",1365 mm (53.7 inches),2190 mm (86.2 inches),755 mm (29.7 inches),,1605 mm (63.2 inches),11.00 litres (2.91 US gallons),,Smokey,Electric,,158.0 kg (348.3 pounds),,,,0.0849 HP/kg,,Euro 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Jet Dark Side,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,,39.9 x 39.8 mm (1.6 x 1.6 inches),Carburettor,,,Liquid,Automatic,,Perimetric steel tube,Telescopic,Hydraulic,120/70-12 ,130/70-12 ,Single disc,190 mm (7.5 inches),Single disc,,"820 mm (32.3 inches) If adjustable, lowest setting.",,1915 mm (75.4 inches),720 mm (28.3 inches),,1314 mm (51.7 inches),,,Black,Electric,Centrfugal automatic,106.0 kg (233.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco SE 3.0i -F,2010,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",290.1 ccm (17.70 cubic inches),"Single cylinder, four-stroke",,,,84.0 x 52.2 mm (3.3 x 2.1 inches),Injection. Magnetti Marelli,Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Chain   (final drive),Simple Chrome-Molybdenum and aluminium double cradle design,Ceriani telescopic fork,"Sachs progressive, multiadjustable shock ",1.60-21 ,2.15-18 ,Single disc,,Single disc,,"900 mm (35.4 inches) If adjustable, lowest setting.",,,,385 mm (15.2 inches),1485 mm (58.5 inches),,,Blue/white/black,Electric,Multidisc in oil bath,102.0 kg (224.9 pounds),,,,,Dry sump,Stainless steel header pipe and muffler with catalytic converter meets Euro 3 stds.,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voxan Cafe Racer 05,2010,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 9000 RPM,,10.5:1,,Injection. Magnetti Marelli,Overhead Valves (OHV),,Liquid,6-speed,Chain   (final drive),,"Inverted fork, 41 mm","Paoli shocks, aluminum",120/70-ZR17 ,180/55-ZR17 ,Double disc. 4-piston clipers,245 mm (9.6 inches),Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,,1475 mm (58.1 inches),18.50 litres (4.89 US gallons),3.50 litres (0.92 US gallons),"Orange, blue , silver, red",Electric,"Multidisk in oil bath, hydraulic",,French brand.,,,,Dry sump,,,4,120 mm (4.7 inches),120 mm (4.7 inches),24.7°,,,,3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat TBX 700 H1 EFI,2010,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,695.0 ccm (42.41 cubic inches),"Single cylinder, four-stroke",,,,102.0 x 85.0 mm (4.0 x 3.3 inches),Injection,Single Overhead Cams (SOHC),,Liquid,Automatic,Belt   (final drive),,Double A-Arm,Double A-Arm,25/8-12 ,25/10-12 ,Single disc. Hydraulic,,Single disc. Hydraulic,,,1219 mm (48.0 inches),2489 mm (98.0 inches),1206 mm (47.5 inches),279 mm (11.0 inches),1473 mm (58.0 inches),22.00 litres (5.81 US gallons),,Black,Electric,,357.4 kg (787.9 pounds),2/4WD with reverse. High/low range. Diff lock. EBS.,,,,,,,4,254 mm (10.0 inches),254 mm (10.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dafra Apache150,2010,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,147.5 ccm (9.00 cubic inches),"Single cylinder, four-stroke",14.0 HP (10.2  kW)) @ 8000 RPM,11.3 Nm (1.2 kgf-m or 8.3 ft.lbs) @ 6000 RPM,9.5:1,57.0 x 57.8 mm (2.2 x 2.3 inches),Carburettor. UCAL Mikuni BS-26,Overhead Valves (OHV),CDI,Air,5-speed,Chain   (final drive),,,,130/60-13 ,130/60-13 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),136.0 kg (299.8 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",,2020 mm (79.5 inches),,,1300 mm (51.2 inches),5.50 litres (1.45 US gallons),,"Red, gray, yellow, black",Electric & kick,,130.0 kg (286.6 pounds),Brazilian brand.,,,0.1077 HP/kg,,,118.0 km/h (73.3 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 RT,2010,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, two-stroke",108.6 HP (79.3  kW)) @ 7500 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 6000 RPM,12.0:1,101.0 x 73.0 mm (4.0 x 2.9 inches),"Injection. Electronic intake pipe injection/BMS-K digital engine management with overrun fuel cut-off, twin-spark ignition",Single Overhead Cams (SOHC),,Oil & air,6-speed,Shaft drive (cardan)   (final drive),"Two-section frame consisting of front and rear sections, load bearing engine-gearbox unit",BMW Motorrad Telelever,Cast aluminium single-sided swing arm with BMW Motorrad Paralever,120/70-ZR17 ,180/55-ZR17 ,Double disc,265 mm (10.4 inches),Single disc,259.0 kg (571.0 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),2230 mm (87.8 inches),905 mm (35.6 inches),,1485 mm (58.5 inches),27.00 litres (7.13 US gallons),4.00 litres (1.06 US gallons),"Light gray, gray, silver, polar",Electric,"Two-section frame consisting of front and rear sections, load bearing engine-gearbox unit",229.0 kg (504.9 pounds),,3.60 litres/100 km (27.8 km/l or 65.34 mpg),83.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.4743 HP/kg,,"Closed-loop 3-way catalytic converter, emission standard EU-3",,4,120 mm (4.7 inches),135 mm (5.3 inches),26.2°,116 mm (4.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju Tango 125  ,2010,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor. Mikuni VM20SS,,,Air,5-speed,,Highly resistant steel perimeter. Detachable sub-chassis,Paioli fork of Ø37mm.,Mono-shock shock absorber PRS system,90/100-19 ,90/100-19 ,Single disc,200 mm (7.9 inches),Single disc,,"830 mm (32.7 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),1990 mm (78.3 inches),800 mm (31.5 inches),,1305 mm (51.4 inches),5.50 litres (1.45 US gallons),,"Yellow, orange, red, black.",Electric & kick,,101.0 kg (222.7 pounds),Made in Spain.,,,,,Silencer with protector. Euro 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF Moto CF 150 ,2010,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",154.0 ccm (9.40 cubic inches),"Single cylinder, four-stroke",13.4 HP (9.8  kW)) @ 9000 RPM,11.9 Nm (1.2 kgf-m or 8.8 ft.lbs) @ 6500 RPM,10.3:1,,Carburettor,Single Overhead Cams (SOHC),ECU controlled,Liquid,Automatic,,,,,,,Single disc,,Single disc,,,,2034 mm (80.1 inches),,,,,,"Silver, red, blue",Electric,,,,,,,Pressure and splashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Active SR 125 E3,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",8.0 HP (5.9  kW)) @ 7500 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 6000 RPM,9.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,Overhead Cams (OHC),CDI,Air,4-speed,Shaft drive (cardan)   (final drive),,Telescopic fork,Single shock,2.50-17 ,2.75-17 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,1085 mm (42.7 inches),1995 mm (78.5 inches),680 mm (26.8 inches),,1265 mm (49.8 inches),3.50 litres (0.92 US gallons),,Red/white,Electric & kick,,97.0 kg (213.8 pounds),,,,0.0829 HP/kg,,,,,105 mm (4.1 inches),61 mm (2.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polaris Sportsman 550,2010,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,549.0 ccm (33.50 cubic inches),"Single cylinder, four-stroke",,,,,Injection. Electronic Fuel Injection,Single Overhead Cams (SOHC),,Liquid,Automatic,Shaft drive (cardan)   (final drive),,Dual A-Arm 9 in. (22.9 cm) Travel,"Dual A-Arm, Rolled 10.25 in. (26 cm) Travel",26/8-14 ,26/10-14 ,Single disc,,Expanding brake (drum brake),,"940 mm (37.0 inches) If adjustable, lowest setting.",,2115 mm (83.3 inches),,305 mm (12.0 inches),1346 mm (53.0 inches),19.87 litres (5.25 US gallons),,"Indy Red, Sage Green, Mossy Oak Break-Up",Electric,,329.3 kg (726.0 pounds),Drive system: On-Demand True AWD/2WD. Transmission: Automatic PVT H/L/N/R/P. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Jet EuroX 100,2010,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,101.3 ccm (6.18 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,Single Overhead Cams (SOHC),,Air,Automatic,Belt   (final drive),,Telescopic Fork,Unit Swing Arm,120/70-121 ,130/70-12 ,Single disc,,Expanding brake (drum brake),104.0 kg (229.3 pounds),,1125 mm (44.3 inches),1785 mm (70.3 inches),680 mm (26.8 inches),,1275 mm (50.2 inches),6.30 litres (1.66 US gallons),,"Silver/black, silver/blue",,,97.0 kg (213.8 pounds),Bike made in Taiwan.,,,,,Euro II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI Oliver Sport,2010,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",4.2 HP (3.0  kW)) @ 7500 RPM,4.4 Nm (0.4 kgf-m or 3.2 ft.lbs) @ 5000 RPM,,,Carburettor,Overhead Cams (OHC),C.D.I,Air,Automatic,Belt   (final drive),,Hydraulic telescopic fork,"Hydraulic suspension, adjustable",120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,1139 mm (44.8 inches),1839 mm (72.4 inches),664 mm (26.1 inches),,1260 mm (49.6 inches),5.20 litres (1.37 US gallons),,"Blue/yellow, blue/orange",Electric & kick,,84.0 kg (185.2 pounds),,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.0495 HP/kg,,Inox,,,,,,,,,1.40 litres (1.48 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Redneck Titanium Lowlife ,2010,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1638.8 ccm (100.00 cubic inches),"V2, four-stroke",,,,,,,,,6-speed,,,Redneck 3 Deg/ Duece ,,80/90-21 ,250-18 ,Single disc. HHI 4 Piston,,Single disc. HHI 4 Piston,,,,,,,,,,Titanium,Electric,,,Custom bike by Redneck Engineering. 100 Revtec Polished engine.,,,,,V Twin Speeps,,,,,42.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boom Trikes Fun 500 Basic,2010,Custom / cruiser," 2.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",459.0 ccm (28.01 cubic inches),"Single cylinder, four-stroke",40.0 HP (29.2  kW)),,,,Carburettor,,,,Automatic,,"2-part frame, bolted,",,,,,,,,,,1330 mm (52.4 inches),2940 mm (115.7 inches),1450 mm (57.1 inches),,,25.00 litres (6.61 US gallons),,"Blue, silver",Electric,,365.0 kg (804.7 pounds),"Available with special equipment and named Basic, Trend, Ultimate. ",4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,0.1096 HP/kg,,,120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli BX 570 Motard,2010,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",567.0 ccm (34.60 cubic inches),"Single cylinder, four-stroke",,,12.5:1,104.0 x 67.0 mm (4.1 x 2.6 inches),Injection. Electronic injection with throttle body ø48 mm,,,Liquid,6-speed,Chain   (final drive),,,,120/70-R17 ,150/60-R17 ,Single disc,220 mm (8.7 inches),Single disc,,,,,,,1450 mm (57.1 inches),,,Light green,Electric & kick,Wet multiplate,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am Outlander 650 EFI XT,2010,ATV," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",649.6 ccm (39.64 cubic inches),"V2, four-stroke",,,,82.0 x 62.0 mm (3.2 x 2.4 inches),Injection. Siemens VDO injectors,Single Overhead Cams (SOHC),,Liquid,,Belt   (final drive),SST,Double A-arm,TTI independent,26/8-12 ,26/10-12 ,Double disc,,Single disc,,"877 mm (34.5 inches) If adjustable, lowest setting.",1143 mm (45.0 inches),2184 mm (86.0 inches),,305 mm (12.0 inches),1295 mm (51.0 inches),20.06 litres (5.30 US gallons),,"Red, yellow, camo",Electric,,299.4 kg (660.0 pounds),"CVT, sub-transmission with high, low, park, neutral  and  reverse, standard engine braking. Selectable 2w/4w shaft driven with Visco-lok† front differential. ",,,,,,,4,,,,,,,,,,,,New dual-mode Dynamic Power Steering (DPS).,,,,,,,,,,,,,,,,,,,
GreenTrans Ema98,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,1.8 HP (1.3  kW)),,,,,,,Air,Automatic,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,1000 mm (39.4 inches),1630 mm (64.2 inches),620 mm (24.4 inches),,,,,Blue/white,Electric,,63.0 kg (138.9 pounds),Lithium Iron Phosphate. 40V 10Ah. 2 ho recharge time. 40 km range. Battery weight 8.5 kg. Made in Taiwan.,,,0.0287 HP/kg,,,45.0 km/h (28.0 mph),,,,,,,,,DC brushless,,,,,,,,,,,,,,,,,,,,,,,
Derbi Cross City 125,2010,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,9.2:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,,Electronic C.D.I.,Air,5-speed,Chain   (final drive),,37 mm hydraulic fork.,Mono-shock,100/90-18 ,130/80-17 ,Single disc,220 mm (8.7 inches),Single disc,110.0 kg (242.5 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",1085 mm (42.7 inches),2022 mm (79.6 inches),825 mm (32.5 inches),,1384 mm (54.5 inches),8.00 litres (2.11 US gallons),1.50 litres (0.40 US gallons),Black,Electric,Multi-plate in oil  bath,110.0 kg (242.5 pounds),Made in Spain.,,,,Wet  sump,Euro 3,,,113 mm (4.4 inches),135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM V2C 650S,2010,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,647.0 ccm (39.48 cubic inches),"V2, four-stroke",,,11.5:1,81.5 x 62.0 mm (3.2 x 2.4 inches),Carburettor. Mikuni,Double Overhead Cams/Twin Cam (DOHC),CDI,Liquid,6-speed,Belt   (final drive),,41mm Hydraulic Inverted Forks - Rebound  and  Compression Adjustable,Swingarm with dual 5-way preload adjustable shock absorbers,120/70-18 ,180/55-17 ,Double disc,,Single disc,,"698 mm (27.5 inches) If adjustable, lowest setting.",1155 mm (45.5 inches),2430 mm (95.7 inches),840 mm (33.1 inches),,1659 mm (65.3 inches),15.90 litres (4.20 US gallons),,"Black, Burgundy, Silver",Electric,,225.0 kg (496.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF50F,2010,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,10.0:1,39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor. 13mm piston-valve carburator,Single Overhead Cams (SOHC),CD,Air,3-speed,Chain   (final drive),,Inverted telescopic fork,Single-shock,2.50-10 ,2.50-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),49.9 kg (110.0 pounds),"549 mm (21.6 inches) If adjustable, lowest setting.",,,,147 mm (5.8 inches),914 mm (36.0 inches),2.64 litres (0.70 US gallons),0.75 litres (0.20 US gallons),Red,,Automatic,,Model ID: CRF50F,,,,,,,,89 mm (3.5 inches),71 mm (2.8 inches),25.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voxan Black Classic,2010,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"V2, four-stroke",,,10.5:1,98.0 x 66.0 mm (3.9 x 2.6 inches),"Injection. MSPFI, 54 mm",,,Liquid,6-speed,Chain   (final drive),Double tubular,"Inverted fork, 43 mm",Monoshock,120/70-ZR17 ,180/55-ZR17 ,Double disc,,Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",,2100 mm (82.7 inches),740 mm (29.1 inches),159 mm (6.3 inches),,19.00 litres (5.02 US gallons),,Silver,Electric,,185.0 kg (407.9 pounds),French brand.,,,,Dry sump,,,4,120 mm (4.7 inches),120 mm (4.7 inches),24.7°,,,,3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,,,,
Triumph Scrambler,2010,Classic," 4.0  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",865.0 ccm (52.78 cubic inches),"Twin, four-stroke",59.0 HP (43.1  kW)) @ 6800 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 4750 RPM,9.2:1,90.0 x 68.0 mm (3.5 x 2.7 inches),Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),,Air,5-speed,Chain   (final drive),"Tubular steel cradle. Twin-sided, tubular steel swingarm.     ",Kayaba 41mm forks. 120mm travel,Kayaba chromed spring twin shocks with adjustable preload. 106mm  travel,100/90-19 ,130/80-17 ,Single disc. Nissin 2 piston floating caliper,255 mm (10.0 inches),Single disc. Nissin 2 piston floating caliper,230.0 kg (507.1 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",1202 mm (47.3 inches),2213 mm (87.1 inches),860 mm (33.9 inches),,1500 mm (59.1 inches),16.00 litres (4.23 US gallons),,Jet Black. Matt Khaki Green,Electric,Wet. multi-plate,205.0 kg (451.9 pounds),,,,0.2878 HP/kg,,,,4,,,27.8°,105 mm (4.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Dafra Laser 150,2010,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.6 ccm (9.13 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 8900 RPM,,9.0:1,57.4 x 57.8 mm (2.3 x 2.3 inches),Carburettor. PD24J,Overhead Valves (OHV),CDI,Air,,,,,,130/60-13 ,130/60-13 ,Single disc,,Expanding brake (drum brake),,,,1980 mm (78.0 inches),,,,4.00 litres (1.06 US gallons),,"Red, silver, yellow, black",Electric & kick,,120.0 kg (264.6 pounds),Brazilian brand.,,,0.0958 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
